ticker,entry_date,entry_price,shares,shares_remaining,tier,hold_days,profit_target,partial_enabled,partial_frac,partial_trigger,partial_done,entry_commission,consec_down_at_entry,rsi2_at_entry
LIN,2026-06-03,500.87,20.0,10.0,1,8,0.04,1,0.5,0.008,1,0.35,6,0.0
AAL,2026-06-04,13.83,806.0,806.0,2,8,0.02,0,0.0,0.0,0,4.03,5,0.0
DY,2026-06-04,477.78,19.0,19.0,3,8,0.02,0,0.0,0.0,0,0.35,4,0.0
OMCL,2026-06-04,43.1,225.0,225.0,3,8,0.02,0,0.0,0.0,0,1.125,4,0.0
HON,2026-06-05,217.35,44.0,44.0,3,8,0.02,0,0.0,0.0,0,0.35,4,0.0
OHI,2026-06-05,44.13,219.0,219.0,1,8,0.02,1,0.5,0.008,0,1.095,7,0.0
APP,2026-06-08,561.76,15.0,15.0,3,8,0.02,0,0.0,0.0,0,0.35,4,0.0
CRWD,2026-06-08,671.8,13.0,13.0,3,8,0.02,0,0.0,0.0,0,0.35,4,0.0
DDOG,2026-06-08,232.19,37.0,37.0,3,8,0.02,0,0.0,0.0,0,0.35,4,0.0
CIEN,2026-06-09,466.0,21.0,21.0,3,8,0.02,0,0.0,0.0,0,0.35,4,0.0
CMC,2026-06-09,75.41,131.0,131.0,3,8,0.02,0,0.0,0.0,0,0.655,4,0.0
OPLN,2026-06-09,37.2,265.0,265.0,3,8,0.02,0,0.0,0.0,0,1.325,4,0.0
AAON,2026-06-10,130.0,82.0,82.0,3,8,0.02,0,0.0,0.0,0,0.41000000000000003,4,0.0
SANM,2026-06-10,241.41,44.0,44.0,3,8,0.02,0,0.0,0.0,0,0.35,4,0.0
