date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51271073351,100130.51271073351,0.0
2004-10-27,100056.36777419633,100130.51271073351,-0.07404829410129737
2004-10-27,100184.12091910127,100184.12091910127,0.0
2004-11-01,100293.71518964402,100293.71518964402,0.0
2004-11-03,100436.70774698758,100436.70774698758,0.0
2004-11-04,101477.43267744937,101477.43267744937,0.0
2004-11-04,101983.72624621258,101983.72624621258,0.0
2004-11-05,102001.41363567332,102001.41363567332,0.0
2004-11-05,102180.75962912028,102180.75962912028,0.0
2004-11-05,102424.45386480636,102424.45386480636,0.0
2004-11-08,102614.59055845263,102614.59055845263,0.0
2004-11-09,102950.8596103492,102950.8596103492,0.0
2004-11-11,103132.95881811577,103132.95881811577,0.0
2004-11-15,103412.69221009804,103412.69221009804,0.0
2004-11-17,105036.06051533112,105036.06051533112,0.0
2004-11-19,104919.16995200912,105036.06051533112,-0.11128612663927637
2004-11-22,105169.58702303986,105169.58702303986,0.0
2004-11-24,105394.13016898204,105394.13016898204,0.0
2004-11-24,107359.64418980773,107359.64418980773,0.0
2004-11-24,107605.3206351251,107605.3206351251,0.0
2004-11-24,107783.22969779615,107783.22969779615,0.0
2004-11-24,108179.90757588216,108179.90757588216,0.0
2004-11-24,108461.47024368451,108461.47024368451,0.0
2004-11-24,109024.55621703771,109024.55621703771,0.0
2004-11-24,109297.44601426611,109297.44601426611,0.0
2004-11-24,109261.7692180716,109297.44601426611,-0.03264193034287229
2004-11-24,109070.48321019104,109297.44601426611,-0.20765609110888475
2004-11-24,109481.3891641916,109481.3891641916,0.0
2004-11-26,109710.23577575886,109710.23577575886,0.0
2004-11-26,110035.4539898898,110035.4539898898,0.0
2004-11-26,109993.0740455025,110035.4539898898,-0.038514808500897724
2004-11-26,110188.74129558272,110188.74129558272,0.0
2004-11-26,110058.15942676333,110188.74129558272,-0.11850745120056826
2004-11-26,110291.16455389463,110291.16455389463,0.0
2004-11-26,110297.19200433839,110297.19200433839,0.0
2004-11-29,110330.71649089444,110330.71649089444,0.0
2004-11-29,110332.19645533612,110332.19645533612,0.0
2004-11-29,110043.94334000666,110332.19645533612,-0.2612592920201162
2004-11-29,109844.02803978983,110332.19645533612,-0.4424532740485259
2004-11-29,109802.88583037758,110332.19645533612,-0.4797426698314771
2004-11-29,110000.02546108853,110332.19645533612,-0.3010644262684043
2004-11-30,110616.70152069294,110616.70152069294,0.0
2004-11-30,110700.50395101085,110700.50395101085,0.0
2004-11-30,109954.00565166173,110700.50395101085,-0.6743404706445308
2004-11-30,109737.47836287464,110700.50395101085,-0.8699378537268314
2004-12-01,110022.10765518155,110700.50395101085,-0.612821325663986
2004-12-02,110274.67455039994,110700.50395101085,-0.3846679874188756
2004-12-02,110559.63847269207,110700.50395101085,-0.12724917528931895
2004-12-02,111038.19927164195,111038.19927164195,0.0
2004-12-02,111127.59232916891,111127.59232916891,0.0
2004-12-06,111410.47956652037,111410.47956652037,0.0
2004-12-08,111467.13356909,111467.13356909,0.0
2004-12-09,111657.14067509813,111657.14067509813,0.0
2004-12-09,111708.83814462747,111708.83814462747,0.0
2004-12-10,112119.60410940011,112119.60410940011,0.0
2004-12-10,112471.485716444,112471.485716444,0.0
2004-12-10,112712.53072835045,112712.53072835045,0.0
2004-12-10,112915.28965906406,112915.28965906406,0.0
2004-12-10,112560.24097994048,112915.28965906406,-0.3144380891158379
2004-12-10,112877.97060493335,112915.28965906406,-0.03305048788644405
2004-12-10,112825.90563605659,112915.28965906406,-0.07916024771964615
2004-12-10,113036.84510578676,113036.84510578676,0.0
2004-12-13,113513.00911935889,113513.00911935889,0.0
2004-12-13,113796.36277302838,113796.36277302838,0.0
2004-12-13,114072.095357446,114072.095357446,0.0
2004-12-13,114278.93302106301,114278.93302106301,0.0
2004-12-13,114495.75991545706,114495.75991545706,0.0
2004-12-13,114920.50627702639,114920.50627702639,0.0
2004-12-13,115224.66187511293,115224.66187511293,0.0
2004-12-13,115205.14990274631,115224.66187511293,-0.016933850834608747
2004-12-13,115433.07642393961,115433.07642393961,0.0
2004-12-13,115707.69149505616,115707.69149505616,0.0
2004-12-14,115944.30019828663,115944.30019828663,0.0
2004-12-14,116241.63379465544,116241.63379465544,0.0
2004-12-14,116854.22574527885,116854.22574527885,0.0
2004-12-14,117225.72379770433,117225.72379770433,0.0
2004-12-14,117507.89854256964,117507.89854256964,0.0
2004-12-14,117838.31334928042,117838.31334928042,0.0
2004-12-14,118073.18793957743,118073.18793957743,0.0
2004-12-15,118549.21493879247,118549.21493879247,0.0
2004-12-15,118876.84420281334,118876.84420281334,0.0
2004-12-15,119356.66520766719,119356.66520766719,0.0
2004-12-16,119621.8915892474,119621.8915892474,0.0
2004-12-16,119611.77475272681,119621.8915892474,-0.008457345379000183
2004-12-16,120080.6373885939,120080.6373885939,0.0
2004-12-16,120196.70381771911,120196.70381771911,0.0
2004-12-16,119534.4548179268,120196.70381771911,-0.5509710156416819
2004-12-16,119554.058601173,120196.70381771911,-0.5346612645224398
2004-12-16,119231.8628402538,120196.70381771911,-0.8027183332152885
2004-12-16,119219.49669551438,120196.70381771911,-0.8130065893376691
2004-12-16,119207.26632490153,120196.70381771911,-0.8231818855183294
2004-12-16,119206.15991248825,120196.70381771911,-0.824102386978137
2004-12-17,119206.5079693782,120196.70381771911,-0.8238128142370394
2004-12-17,119344.33700825991,120196.70381771911,-0.7091432480143816
2004-12-17,119356.05016949108,120196.70381771911,-0.6993982543006376
2004-12-20,119466.02391641852,120196.70381771911,-0.6079034433495669
2004-12-20,119458.34196871876,120196.70381771911,-0.6142945900746987
2004-12-20,119496.07561780422,120196.70381771911,-0.5829013422675966
2004-12-20,119107.76532618508,120196.70381771911,-0.9059636886427709
2004-12-21,119072.80021849439,120196.70381771911,-0.935053594255918
2004-12-21,119062.2310041353,120196.70381771911,-0.943846858982307
2004-12-22,119186.16111259033,120196.70381771911,-0.8407407799312816
2004-12-22,119874.92205104246,120196.70381771911,-0.2677126380808566
2004-12-23,120112.36612149139,120196.70381771911,-0.07016639687193517
2004-12-23,120521.61912838023,120521.61912838023,0.0
2004-12-23,120597.83111586946,120597.83111586946,0.0
2004-12-23,120828.55339740228,120828.55339740228,0.0
2004-12-27,120889.78376312085,120889.78376312085,0.0
2004-12-28,121119.46661859118,121119.46661859118,0.0
2004-12-28,121452.91910548911,121452.91910548911,0.0
2004-12-28,121052.28197773613,121452.91910548911,-0.32987031575997455
2004-12-28,121352.64323751224,121452.91910548911,-0.08256357172426496
2004-12-28,121495.10248343601,121495.10248343601,0.0
2004-12-28,121671.46330645487,121671.46330645487,0.0
2004-12-28,121885.83178322799,121885.83178322799,0.0
2004-12-28,122037.54190873986,122037.54190873986,0.0
2004-12-29,122140.5320721345,122140.5320721345,0.0
2004-12-29,122275.51162837727,122275.51162837727,0.0
2004-12-29,122027.61204163473,122275.51162837727,-0.20273853974617798
2004-12-29,121998.02734487726,122275.51162837727,-0.22693365155840753
2004-12-29,122162.1711640788,122275.51162837727,-0.09269269274696226
2004-12-29,122420.52478698763,122420.52478698763,0.0
2004-12-30,122583.19922385745,122583.19922385745,0.0
2004-12-30,122661.91808932774,122661.91808932774,0.0
2004-12-30,122681.1801949527,122681.1801949527,0.0
2005-01-05,122040.43425458453,122681.1801949527,-0.522285438850492
2005-01-06,122167.22113034758,122681.1801949527,-0.4189388003835547
2005-01-06,121327.29061265354,122681.1801949527,-1.1035837608895638
2005-01-07,121406.1166079639,122681.1801949527,-1.0393310408023484
2005-01-07,121505.04703025201,122681.1801949527,-0.9586907811220063
2005-01-07,121596.34284669663,122681.1801949527,-0.8842736486005072
2005-01-10,121703.94074574509,122681.1801949527,-0.7965683470396041
2005-01-10,121841.1468309949,122681.1801949527,-0.6847287926501072
2005-01-10,121951.40687839942,122681.1801949527,-0.5948535181953757
2005-01-10,122033.95543290458,122681.1801949527,-0.5275664621253366
2005-01-10,122200.23605888817,122681.1801949527,-0.39202764050709343
2005-01-12,122220.96221898696,122681.1801949527,-0.37513331322246185
2005-01-12,122114.4993208579,122681.1801949527,-0.4619134517570591
2005-01-12,121800.42843789607,122681.1801949527,-0.7179192078662955
2005-01-12,121573.37497731064,122681.1801949527,-0.9029952400862521
2005-01-12,121533.56517752357,122681.1801949527,-0.9354450418600878
2005-01-12,121234.93378970567,122681.1801949527,-1.1788657420386734
2005-01-12,121043.90653111855,122681.1801949527,-1.3345760623042204
2005-01-12,121201.43424974594,122681.1801949527,-1.206171918834895
