date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51173917612,100130.51173917612,0.0
2004-10-27,100056.36621685655,100130.51173917612,-0.07404887983864837
2004-10-27,100184.12055987396,100184.12055987396,0.0
2004-11-01,100293.7171734667,100293.7171734667,0.0
2004-11-03,100436.70973029503,100436.70973029503,0.0
2004-11-04,101477.43468134249,101477.43468134249,0.0
2004-11-04,101983.7311504742,101983.7311504742,0.0
2004-11-05,102001.4173042087,102001.4173042087,0.0
2004-11-05,102180.7706562743,102180.7706562743,0.0
2004-11-05,102424.46310321207,102424.46310321207,0.0
2004-11-08,102614.59926756607,102614.59926756607,0.0
2004-11-09,102950.86832611408,102950.86832611408,0.0
2004-11-11,103132.96672191173,103132.96672191173,0.0
2004-11-15,103412.70361346641,103412.70361346641,0.0
2004-11-17,105036.06866110365,105036.06866110365,0.0
2004-11-19,104919.17753328106,105036.06866110365,-0.11128665544379085
2004-11-22,105169.59462373218,105169.59462373218,0.0
2004-11-24,105394.13934557841,105394.13934557841,0.0
2004-11-24,107359.65350842863,107359.65350842863,0.0
2004-11-24,107605.32702727354,107605.32702727354,0.0
2004-11-24,107783.23697846931,107783.23697846931,0.0
2004-11-24,108179.91754674361,108179.91754674361,0.0
2004-11-24,108461.47251474012,108461.47251474012,0.0
2004-11-24,109024.5599639739,109024.5599639739,0.0
2004-11-24,109297.4503685252,109297.4503685252,0.0
2004-11-24,109261.78081345106,109297.4503685252,-0.03263530389215218
2004-11-24,109070.49196710167,109297.4503685252,-0.20765205469869571
2004-11-24,109481.39676131454,109481.39676131454,0.0
2004-11-26,109710.24898603153,109710.24898603153,0.0
2004-11-26,110035.46721486624,110035.46721486624,0.0
2004-11-26,109993.0872645302,110035.46721486624,-0.038514809278066484
2004-11-26,110188.75496658366,110188.75496658366,0.0
2004-11-26,110058.1689237735,110188.75496658366,-0.11851122453444618
2004-11-26,110291.17022019722,110291.17022019722,0.0
2004-11-26,110297.19418067948,110297.19418067948,0.0
2004-11-29,110494.33470830526,110494.33470830526,0.0
2004-11-29,110527.86938533942,110527.86938533942,0.0
2004-11-29,110529.3506567804,110529.3506567804,0.0
2004-11-29,110241.09443923827,110529.3506567804,-0.2607960834197215
2004-11-29,110041.18090173001,110529.3506567804,-0.44166527003878847
2004-11-29,110000.03866569055,110529.3506567804,-0.47888817580543935
2004-11-30,110083.84689683373,110529.3506567804,-0.4030637629728486
2004-11-30,110700.52300100581,110700.52300100581,0.0
2004-11-30,110483.99558680592,110700.52300100581,-0.19559746271291673
2004-11-30,109737.49691291514,110700.52300100581,-0.8699381556507386
2004-12-01,110022.12681422323,110700.52300100581,-0.6128211217000499
2004-12-02,110274.68498149262,110700.52300100581,-0.38467570700575754
2004-12-02,110559.63937079327,110700.52300100581,-0.1272655506887369
2004-12-02,111038.2016142271,111038.2016142271,0.0
2004-12-02,111127.59540763628,111127.59540763628,0.0
2004-12-03,111404.13361626398,111404.13361626398,0.0
2004-12-06,111687.01778966289,111687.01778966289,0.0
2004-12-08,111743.66878556999,111743.66878556999,0.0
2004-12-09,111933.67778932922,111933.67778932922,0.0
2004-12-09,111985.37380980265,111985.37380980265,0.0
2004-12-10,112397.15752921888,112397.15752921888,0.0
2004-12-10,112749.91362976411,112749.91362976411,0.0
2004-12-10,112991.55695306415,112991.55695306415,0.0
2004-12-10,113194.81916313391,113194.81916313391,0.0
2004-12-10,113142.75190915981,113194.81916313391,-0.04599791258915135
2004-12-10,113461.27018874133,113461.27018874133,0.0
2004-12-10,113486.31050446899,113486.31050446899,0.0
2004-12-10,113131.25891009202,113486.31050446899,-0.31285852258188435
2004-12-10,113342.7206379559,113486.31050446899,-0.12652615621637145
2004-12-13,113550.07252049539,113550.07252049539,0.0
2004-12-13,114570.48118874367,114570.48118874367,0.0
2004-12-13,114846.89277845151,114846.89277845151,0.0
2004-12-13,115130.95347842538,115130.95347842538,0.0
2004-12-13,115608.29765784777,115608.29765784777,0.0
2004-12-13,115912.45465472751,115912.45465472751,0.0
2004-12-13,116187.74595878158,116187.74595878158,0.0
2004-12-13,116613.54547993987,116613.54547993987,0.0
2004-12-13,116594.03735088599,116613.54547993987,-0.01672887053865963
2004-12-13,116821.96933376213,116821.96933376213,0.0
2004-12-13,117039.34900410024,117039.34900410024,0.0
2004-12-14,117274.809530617,117274.809530617,0.0
2004-12-14,117512.00395961654,117512.00395961654,0.0
2004-12-14,117794.8771758616,117794.8771758616,0.0
2004-12-14,118126.11795214139,118126.11795214139,0.0
2004-12-14,118740.23325040487,118740.23325040487,0.0
