date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51076761914,100130.51076761914,0.0
2004-10-27,100056.3643750022,100130.51076761914,-0.07404974972015828
2004-10-27,100184.1182350409,100184.1182350409,0.0
2004-11-01,100293.71329271457,100293.71329271457,0.0
2004-11-03,100436.70584620842,100436.70584620842,0.0
2004-11-04,101477.43075698621,101477.43075698621,0.0
2004-11-04,101983.72779740811,101983.72779740811,0.0
2004-11-05,102001.41550156768,102001.41550156768,0.0
2004-11-05,102180.76888762272,102180.76888762272,0.0
2004-11-05,102424.46072727504,102424.46072727504,0.0
2004-11-08,102614.6007243597,102614.6007243597,0.0
2004-11-09,102950.86976989616,102950.86976989616,0.0
2004-11-11,103132.9658440048,103132.9658440048,0.0
2004-11-15,103412.70794383071,103412.70794383071,0.0
2004-11-17,105036.07475421243,105036.07475421243,0.0
2004-11-19,104919.17807595374,105036.07475421243,-0.11129193330218762
2004-11-22,105169.59518093147,105169.59518093147,0.0
2004-11-24,105394.13676986034,105394.13676986034,0.0
2004-11-24,107359.65094287677,107359.65094287677,0.0
2004-11-24,107605.32954726073,107605.32954726073,0.0
2004-11-24,107783.23686560955,107783.23686560955,0.0
2004-11-24,108179.91375939154,108179.91375939154,0.0
2004-11-24,108461.4752652745,108461.4752652745,0.0
2004-11-24,109024.5627471728,109024.5627471728,0.0
2004-11-24,109352.02773467136,109352.02773467136,0.0
2004-11-24,109316.3487399494,109352.02773467136,-0.032627648029099024
2004-11-24,109125.05781816249,109352.02773467136,-0.2075589462863744
2004-11-24,109535.96895490281,109535.96895490281,0.0
2004-11-26,109764.81744195137,109764.81744195137,0.0
2004-11-26,110090.03402126595,110090.03402126595,0.0
2004-11-26,110047.64983436237,110090.03402126595,-0.038499567449852
2004-11-26,110243.31533829687,110243.31533829687,0.0
2004-11-26,110112.72761976044,110243.31533829687,-0.11845409232814753
2004-11-26,110345.73660765808,110345.73660765808,0.0
2004-11-26,110351.76144324354,110351.76144324354,0.0
2004-11-29,110385.2935949391,110385.2935949391,0.0
2004-11-29,110386.77616424706,110386.77616424706,0.0
2004-11-29,110098.51692787436,110386.77616424706,-0.26113565989443704
2004-11-29,109898.60601951464,110386.77616424706,-0.44223607364532147
