date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51077865742,100130.51077865742,0.0
2004-10-27,100056.36467055547,100130.51077865742,-0.07404946556784728
2004-10-27,100184.11733248206,100184.11733248206,0.0
2004-11-01,100293.71368729732,100293.71368729732,0.0
2004-11-03,100436.70623949665,100436.70623949665,0.0
2004-11-04,101477.43115436894,101477.43115436894,0.0
2004-11-04,101983.7259613582,101983.7259613582,0.0
2004-11-05,102001.41211452296,102001.41211452296,0.0
2004-11-05,102180.76633443106,102180.76633443106,0.0
2004-11-05,102424.46222593127,102424.46222593127,0.0
2004-11-08,102614.6005702464,102614.6005702464,0.0
2004-11-09,102950.86961710584,102950.86961710584,0.0
2004-11-11,103132.96878912776,103132.96878912776,0.0
2004-11-15,103412.70105314422,103412.70105314422,0.0
2004-11-17,105036.06194335048,105036.06194335048,0.0
2004-11-19,104919.16710641888,105036.06194335048,-0.11129019383327285
2004-11-22,105169.58418085417,105169.58418085417,0.0
2004-11-24,105394.12966758492,105394.12966758492,0.0
2004-11-24,107359.64363510245,107359.64363510245,0.0
2004-11-24,107605.32005429243,107605.32005429243,0.0
2004-11-24,107783.22690268795,107783.22690268795,0.0
2004-11-24,108179.9045628224,108179.9045628224,0.0
2004-11-24,108461.46182245514,108461.46182245514,0.0
2004-11-24,109024.54523476983,109024.54523476983,0.0
2004-11-24,109352.01455401351,109352.01455401351,0.0
2004-11-24,109316.33556166897,109352.01455401351,-0.0326276497877626
2004-11-24,109125.04883126322,109352.01455401351,-0.20755513620481356
2004-11-24,109535.95996486615,109535.95996486615,0.0
2004-11-26,109764.80470080898,109764.80470080898,0.0
2004-11-26,110090.01643317853,110090.01643317853,0.0
2004-11-26,110047.64326580826,110090.01643317853,-0.03848956403416535
2004-11-26,110243.30741586705,110243.30741586705,0.0
2004-11-26,110112.72470142633,110243.30741586705,-0.11844956170276202
2004-11-26,110345.72824064136,110345.72824064136,0.0
2004-11-26,110351.75394509405,110351.75394509405,0.0
2004-11-29,110385.29183486811,110385.29183486811,0.0
2004-11-29,110386.76786047134,110386.76786047134,0.0
2004-11-29,110098.51476065927,110386.76786047134,-0.26113012039307976
2004-11-29,109898.60478055051,110386.76786047134,-0.44222970685931595
2004-11-29,109857.45950882902,110386.76786047134,-0.4795034422163406
2004-11-29,110094.02923410988,110386.76786047134,-0.2651935843718894
2004-11-30,110710.70527704875,110710.70527704875,0.0
2004-11-30,110794.50852705397,110794.50852705397,0.0
2004-11-30,110048.00636265031,110794.50852705397,-0.6737718090255155
2004-11-30,109788.17698506259,110794.50852705397,-0.9082864804131132
2004-12-01,110072.80632930638,110794.50852705397,-0.6513880582550441
2004-12-02,110325.36639403326,110794.50852705397,-0.42343446372719157
2004-12-02,110610.3261002594,110794.50852705397,-0.1662378661570611
2004-12-02,111089.28733838379,111089.28733838379,0.0
2004-12-02,111178.75859533445,111178.75859533445,0.0
2004-12-06,111461.88548388597,111461.88548388597,0.0
2004-12-08,111518.58670389968,111518.58670389968,0.0
2004-12-09,111708.68249636887,111708.68249636887,0.0
2004-12-09,111760.4041927184,111760.4041927184,0.0
2004-12-10,112171.35786205299,112171.35786205299,0.0
2004-12-10,112523.40184452594,112523.40184452594,0.0
2004-12-10,112764.55807702862,112764.55807702862,0.0
2004-12-10,113007.97888855197,113007.97888855197,0.0
2004-12-10,112652.77223488536,113007.97888855197,-0.31431997736806994
2004-12-10,113034.22370925565,113034.22370925565,0.0
2004-12-10,112982.13364655193,113034.22370925565,-0.04608344357519898
2004-12-10,113235.38414780462,113235.38414780462,0.0
2004-12-13,113807.0432432187,113807.0432432187,0.0
2004-12-13,114090.52843881556,114090.52843881556,0.0
2004-12-13,114366.38837897073,114366.38837897073,0.0
2004-12-13,114614.7116101145,114614.7116101145,0.0
2004-12-13,114831.6410052631,114831.6410052631,0.0
2004-12-13,115256.58222408782,115256.58222408782,0.0
2004-12-13,115560.88133692616,115560.88133692616,0.0
2004-12-13,115541.36423053453,115560.88133692616,-0.016889025218431383
2004-12-13,115769.39562455848,115769.39562455848,0.0
2004-12-13,116044.13381003671,116044.13381003671,0.0
2004-12-14,116328.19531937924,116328.19531937924,0.0
2004-12-14,116685.16735488285,116685.16735488285,0.0
2004-12-14,117298.04122556421,117298.04122556421,0.0
2004-12-14,117669.70869879055,117669.70869879055,0.0
2004-12-14,117952.01468224055,117952.01468224055,0.0
2004-12-14,118282.58008556548,118282.58008556548,0.0
2004-12-14,118517.56878488766,118517.56878488766,0.0
2004-12-15,118993.81542775454,118993.81542775454,0.0
2004-12-15,119321.59938615255,119321.59938615255,0.0
2004-12-15,119898.3903284287,119898.3903284287,0.0
2004-12-16,120163.7423859871,120163.7423859871,0.0
2004-12-16,120153.61474204033,120163.7423859871,-0.008428202838627262
2004-12-16,120623.29958720617,120623.29958720617,0.0
2004-12-16,120739.41795667156,120739.41795667156,0.0
2004-12-16,120076.86105753419,120739.41795667156,-0.5487494559358713
2004-12-16,120096.47734687343,120739.41795667156,-0.532502657937983
2004-12-16,119774.13759371347,120739.41795667156,-0.7994740899815238
2004-12-16,119761.7627298614,120739.41795667156,-0.8097233226360313
2004-12-16,119749.53024495991,120739.41795667156,-0.8198546327818808
2004-12-16,119748.4290669176,120739.41795667156,-0.8207666613976798
2004-12-17,119748.7862655642,120739.41795667156,-0.8204708187866729
2004-12-17,119886.68175596221,120739.41795667156,-0.7062616460643857
2004-12-17,119898.40646014863,120739.41795667156,-0.6965508951059662
2004-12-20,120008.43408108791,120739.41795667156,-0.6054227260280266
2004-12-20,120000.75086475804,120739.41795667156,-0.6117861957712921
2004-12-20,120038.49151909274,120739.41795667156,-0.5805282561742617
2004-12-20,119650.00197910343,120739.41795667156,-0.9022869217069438
2004-12-21,119614.97448837041,120739.41795667156,-0.9312977379969368
2004-12-21,119604.38747502072,120739.41795667156,-0.940066219350303
2004-12-22,119728.68081405493,120739.41795667156,-0.837122755535684
2004-12-22,120420.0339766469,120739.41795667156,-0.2645233722588244
2004-12-23,120658.55624043562,120739.41795667156,-0.06697209379041577
2004-12-23,121069.66952775013,121069.66952775013,0.0
