ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val,experiment,trade_type
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,548.8223245193442,5.4882,85.06743936458815,3.0185220869927196,6,profit_target,2,5,100085.06743936459,V36c_inverse,main
HOG,2004-10-19,2004-10-27,36.15901843617192,36.71674728393555,82.96685390660188,0.8297,45.44333929283625,1.5424335943967424,8,time_stop,2,5,100130.51077865742,V36c_inverse,main
LPX,2004-10-19,2004-10-27,19.536421811108948,19.06357192993164,153.559337989627,1.5356,-74.14610810195737,-2.4203504907353697,8,time_stop,3,4,100056.36467055547,V36c_inverse,main
TTC,2004-10-19,2004-10-27,6.161875986867328,6.434274673461914,486.8647156148281,4.8686,127.75266192657774,4.420710302757534,8,time_stop,2,5,100184.11733248206,V36c_inverse,main
MKC,2004-10-28,2004-11-01,11.019434735212055,11.431258201599121,272.7475221909941,2.7275,109.59635481526844,3.737246748883629,4,profit_target,2,5,100293.71368729732,V36c_inverse,main
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,57.2480670471326,0.7,142.99255219932311,4.780949183872768,2,profit_target,3,4,100436.70623949665,V36c_inverse,main
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,511.41271540766155,5.1141,1040.7249148722851,11.586402948966374,2,profit_target,3,4,101477.43115436894,V36c_inverse,main
OII,2004-11-02,2004-11-04,7.701694539373171,8.143684387207031,1172.0062624804393,11.7201,506.29480698925653,5.738864941660401,2,profit_target,3,4,101983.7259613582,V36c_inverse,main
MUR,2004-10-28,2004-11-05,18.683245831363177,18.80318832397461,160.86731112476997,1.6087,17.686153164756043,0.6419788814751212,8,time_stop,3,4,102001.41211452296,V36c_inverse,main
XRAY,2004-11-02,2004-11-05,21.184843268999245,21.61578369140625,426.07982118355125,4.2608,179.35421990810525,2.034192167178409,3,profit_target,3,4,102180.76633443106,V36c_inverse,main
SPGI,2004-11-03,2004-11-05,29.533218543974375,30.340557098388672,305.6366585449052,3.0564,243.69589150021088,2.7336626152418377,2,profit_target,3,4,102424.46222593127,V36c_inverse,main
IRM,2004-11-03,2004-11-08,7.939564092233683,8.11680793762207,1136.892923464933,11.3689,190.13834431512117,2.2324128041458073,5,profit_target,3,4,102614.6005702464,V36c_inverse,main
