date,equity,peak,dd
2004-01-22,100052.4652135978,100052.4652135978,0.0
2004-01-30,100053.83493612075,100053.83493612075,0.0
2004-02-06,100052.86976045788,100053.83493612075,-0.0009646563407488351
2004-03-04,100086.85638348911,100086.85638348911,0.0
2004-03-22,100115.52362735181,100115.52362735181,0.0
2004-03-31,100056.60049446119,100115.52362735181,-0.058855141296508366
2004-04-06,100080.32885292014,100115.52362735181,-0.0351541630673307
2004-04-16,100073.43606223309,100115.52362735181,-0.04203900014085828
2004-04-22,100125.11620496535,100125.11620496535,0.0
2004-04-27,100140.85264570196,100140.85264570196,0.0
2004-05-05,100099.81063343484,100140.85264570196,-0.04098428481763264
2004-05-11,99982.72165208137,100140.85264570196,-0.15790857521461432
2004-05-14,100011.13644472977,100140.85264570196,-0.12953374925928554
2004-05-20,100015.01860454665,100140.85264570196,-0.12565704987604576
2004-06-07,99987.23157008972,100140.85264570196,-0.15340500061024684
2004-06-15,100084.31249097205,100140.85264570196,-0.05646062844097253
2004-07-16,100174.38887217306,100174.38887217306,0.0
2004-07-22,100187.81791814404,100187.81791814404,0.0
2004-07-29,100227.96414510382,100227.96414510382,0.0
2004-08-12,100268.51354526765,100268.51354526765,0.0
2004-08-25,100287.69189390382,100287.69189390382,0.0
2004-09-08,100349.37437636481,100349.37437636481,0.0
2004-09-27,100355.420944142,100355.420944142,0.0
2004-10-05,100337.63772423037,100355.420944142,-0.01772023847273972
2004-10-08,100337.89439319025,100355.420944142,-0.017464478537241965
2004-10-25,100423.24927066288,100423.24927066288,0.0
2004-10-27,100468.84616045127,100468.84616045127,0.0
2004-10-27,100394.44951680726,100468.84616045127,-0.07404946556786
2004-10-27,100522.63384781564,100522.63384781564,0.0
2004-11-01,100632.60052256897,100632.60052256897,0.0
2004-11-03,100776.07860384561,100776.07860384561,0.0
2004-11-04,101820.32006985378,101820.32006985378,0.0
2004-11-04,102328.32561860887,102328.32561860887,0.0
2004-11-05,102346.07153229354,102346.07153229354,0.0
2004-11-05,102526.03178005466,102526.03178005466,0.0
2004-11-05,102770.55110630869,102770.55110630869,0.0
2004-11-08,102961.33191742856,102961.33191742856,0.0
2004-11-09,103298.73719854337,103298.73719854337,0.0
2004-11-11,103481.451677746,103481.451677746,0.0
2004-11-15,103762.12914782554,103762.12914782554,0.0
2004-11-17,105390.9753207572,105390.9753207572,0.0
2004-11-19,105273.68550004008,105390.9753207572,-0.11129019383315554
2004-11-22,105524.94872548297,105524.94872548297,0.0
2004-11-24,105750.25294398262,105750.25294398262,0.0
2004-11-24,105996.759495663,105996.759495663,0.0
2004-11-24,106175.26748541188,106175.26748541188,0.0
2004-11-24,106573.28550623289,106573.28550623289,0.0
2004-11-24,106985.58509495821,106985.58509495821,0.0
2004-11-24,108957.74046912833,108957.74046912833,0.0
2004-11-24,109240.24910142396,109240.24910142396,0.0
2004-11-24,109568.82492866062,109568.82492866062,0.0
2004-11-24,109533.02537818163,109568.82492866062,-0.03267311710451922
2004-11-24,109341.092296244,109568.82492866062,-0.2078443686558613
2004-11-24,109906.07834877509,109906.07834877509,0.0
2004-11-26,110139.86919923848,110139.86919923848,0.0
2004-11-26,110008.84525012696,110139.86919923848,-0.11896141702738348
2004-11-26,110014.8913152356,110139.86919923848,-0.11347197423742043
2004-11-26,109972.37497033502,110139.86919923848,-0.1520741127815178
2004-11-26,110168.70026308185,110168.70026308185,0.0
2004-11-26,110495.01087513303,110495.01087513303,0.0
2004-11-26,110724.62886986557,110724.62886986557,0.0
2004-11-29,110683.34456963254,110724.62886986557,-0.03728556207811278
2004-11-29,110920.71365618645,110920.71365618645,0.0
2004-11-29,110720.12818687042,110920.71365618645,-0.1808368001830237
2004-11-29,110721.60919991531,110920.71365618645,-0.1795016004749871
2004-11-29,110755.26041310906,110920.71365618645,-0.14916352196419128
2004-11-29,110466.03331561171,110920.71365618645,-0.40991472700408016
2004-11-30,110205.3259831555,110920.71365618645,-0.6449540842735485
2004-11-30,109456.30141264191,110920.71365618645,-1.320233340802037
2004-11-30,109540.38783105565,110920.71365618645,-1.2444256619275853
2004-11-30,110159.14760193629,110920.71365618645,-0.6865859668111521
2004-12-01,110444.7386993152,110920.71365618645,-0.42911277901311656
2004-12-02,110730.66127495866,110920.71365618645,-0.17134074868727872
2004-12-02,110984.07473178643,110984.07473178643,0.0
2004-12-02,111464.65436408445,111464.65436408445,0.0
2004-12-02,111554.42912408995,111554.42912408995,0.0
2004-12-06,111838.51268902852,111838.51268902852,0.0
2004-12-08,111895.4066832267,111895.4066832267,0.0
2004-12-09,112086.14480308791,112086.14480308791,0.0
2004-12-09,112138.04363061466,112138.04363061466,0.0
