ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val,experiment,trade_type
IEF,2004-01-21,2004-01-22,47.00724572052068,47.26387023925781,212.7331615950128,2.1273,52.46521359779892,0.5459254521374904,1,mean_rev,0,2,100052.4652135978,V36e_bonds,bond
IEF,2004-01-27,2004-01-30,46.70149442388077,46.71788787841797,214.2382517901527,2.1424,1.3697225229498768,0.0351026337367456,3,mean_rev,0,2,100053.83493612075,V36e_bonds,bond
IEF,2004-02-06,2004-02-06,46.87946335823217,46.88494110107422,213.42785895724427,2.1343,-0.9651756628760886,0.011684738795297212,0,mean_rev,0,2,100052.86976045788,V36e_bonds,bond
IEF,2004-03-04,2004-03-04,47.18035490801442,47.35062026977539,212.06468233553312,2.1206,33.986623031229065,0.36088190114917046,0,mean_rev,0,2,100086.85638348911,V36e_bonds,bond
IEF,2004-03-19,2004-03-22,48.28430425658095,48.43260192871094,207.28652493703,2.0729,28.667243862705313,0.30713432535330054,3,mean_rev,0,2,100115.52362735181,V36e_bonds,bond
IEF,2004-03-26,2004-03-31,48.361247320545885,48.08661651611328,207.01600801106414,2.0702,-58.923132890615626,-0.5678736998082545,5,time_stop,0,2,100056.60049446119,V36e_bonds,bond
IEF,2004-04-05,2004-04-06,46.89454839447459,47.0157585144043,213.36510089145136,2.1337,23.72835845895227,0.2584737972313822,1,mean_rev,0,2,100080.32885292014,V36e_bonds,bond
IEF,2004-04-13,2004-04-16,46.51442154752657,46.49238586425781,215.15978383319694,2.1516,-6.892790687053933,-0.04737387359797454,3,mean_rev,0,2,100073.43606223309,V36e_bonds,bond
IEF,2004-04-21,2004-04-22,46.06274113897214,46.31061935424805,217.2546261637137,2.1725,51.68014273225789,0.5381317072035523,1,mean_rev,0,2,100125.11620496535,V36e_bonds,bond
IEF,2004-04-27,2004-04-27,46.21150264677251,46.294132232666016,216.66708605061618,2.1667,15.736440736609078,0.17880739893940212,0,mean_rev,0,2,100140.85264570196,V36e_bonds,bond
IEF,2004-04-30,2004-05-05,45.91952709081334,45.741329193115234,218.07901559538521,2.1808,-41.04201226712378,-0.3880656204182804,5,time_stop,0,2,100099.81063343484,V36e_bonds,bond
IEF,2004-05-06,2004-05-11,45.735781812718564,45.21080017089844,218.86541929758442,2.1887,-117.08898135347205,-1.1478575876757733,5,time_stop,0,3,99982.72165208137,V36e_bonds,bond
IEF,2004-05-14,2004-05-14,45.09476362097835,45.2329216003418,221.7169214865755,2.2172,28.414792648403907,0.30637255474863323,0,mean_rev,0,2,100011.13644472977,V36e_bonds,bond
IEF,2004-05-20,2004-05-20,45.426277584406215,45.45391082763672,220.1614170540385,2.2016,3.882159816886288,0.060830965467418854,0,mean_rev,0,2,100015.01860454665,V36e_bonds,bond
IEF,2004-06-02,2004-06-07,45.5134104917998,45.3969612121582,219.74845990187103,2.1975,-27.78703445694259,-0.2558570724173278,5,time_stop,0,2,99987.23157008972,V36e_bonds,bond
IEF,2004-06-10,2004-06-15,45.230578397111174,45.67973709106445,221.06113853382823,2.2106,97.08092088234099,0.993042118563681,5,time_stop,0,2,100084.31249097205,V36e_bonds,bond
IEF,2004-07-15,2004-07-16,46.48686854643341,46.915252685546875,215.29587950412886,2.153,90.0763812010105,0.9215164464897652,1,mean_rev,0,2,100174.38887217306,V36e_bonds,bond
IEF,2004-07-21,2004-07-22,46.48130808642767,46.553619384765625,215.51542543920692,2.1552,13.429045970974345,0.1555707042570785,1,mean_rev,0,2,100187.81791814404,V36e_bonds,bond
IEF,2004-07-28,2004-07-29,46.097458322130905,46.29217529296875,217.33913661362308,2.1734,40.1462269597811,0.4224028350482043,1,mean_rev,0,2,100227.96414510382,V36e_bonds,bond
IEF,2004-08-11,2004-08-12,47.19140328153708,47.39232635498047,212.38606435828643,2.1239,40.549400163829965,0.4257620233174957,1,mean_rev,0,2,100268.51354526765,V36e_bonds,bond
IEF,2004-08-24,2004-08-25,47.30303458006075,47.40351104736328,211.9705732103982,2.1197,19.178348636168668,0.2124101935415382,1,mean_rev,0,2,100287.69189390382,V36e_bonds,bond
IEF,2004-09-03,2004-09-08,47.534019470214844,47.83638000488281,210.98087856160538,2.1098,61.68248246098874,0.6360929246840361,5,time_stop,0,2,100349.37437636481,V36e_bonds,bond
IEF,2004-09-27,2004-09-27,48.44659486392624,48.48578643798828,207.13400943496617,2.0713,6.046567777189095,0.08089644725728115,0,mean_rev,0,2,100355.420944142,V36e_bonds,bond
IEF,2004-09-30,2004-10-05,47.98192743288166,47.90690231323242,209.15254203683608,2.0915,-17.78321991162468,-0.15636120444345844,5,time_stop,0,2,100337.63772423037,V36e_bonds,bond
IEF,2004-10-08,2004-10-08,48.05850711879893,48.06973648071289,208.78226091417963,2.0878,0.25666895987878346,0.023366023181293338,0,mean_rev,0,2,100337.89439319025,V36e_bonds,bond
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,550.6767643824714,5.5068,85.35487747263161,3.0185220869927196,6,profit_target,2,5,100423.24927066288,V36e_bonds,main
HOG,2004-10-19,2004-10-27,36.15901843617192,36.71674728393555,83.24719425415863,0.8325,45.59688978838516,1.5424335943967424,8,time_stop,2,5,100468.84616045127,V36e_bonds,main
LPX,2004-10-19,2004-10-27,19.536421811108948,19.06357192993164,154.078206382914,1.5408,-74.39664364400264,-2.4203504907353697,8,time_stop,3,4,100394.44951680726,V36e_bonds,main
TTC,2004-10-19,2004-10-27,6.161875986867328,6.434274673461914,488.50980419131224,4.8851,128.18433100837893,4.420710302757534,8,time_stop,2,5,100522.63384781564,V36e_bonds,main
MKC,2004-10-28,2004-11-01,11.019434735212055,11.431258201599121,273.6691207760428,2.7367,109.96667475333011,3.737246748883629,4,profit_target,2,5,100632.60052256897,V36e_bonds,main
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,57.441505055894645,0.7,143.47808127663657,4.780949183872768,2,profit_target,3,4,100776.07860384561,V36e_bonds,main
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,513.1407502990861,5.1314,1044.2414660081724,11.586402948966374,2,profit_target,3,4,101820.32006985378,V36e_bonds,main
