date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100010.92337312546,100085.06743936459,-0.07408104738905676
2004-10-27,100138.6762765412,100138.6762765412,0.0
2004-11-04,100419.51603732213,100419.51603732213,0.0
2004-11-05,100437.19416848203,100437.19416848203,0.0
2004-11-05,100572.3689110374,100572.3689110374,0.0
2004-11-11,100673.23362878662,100673.23362878662,0.0
2004-11-15,100824.93490593838,100824.93490593838,0.0
2004-11-19,100761.4946912128,100824.93490593838,-0.06292115614531239
2004-11-22,100895.03763701498,100895.03763701498,0.0
2004-11-24,101943.71862885491,101943.71862885491,0.0
2004-11-24,102162.95568167802,102162.95568167802,0.0
2004-11-24,102463.24020016789,102463.24020016789,0.0
2004-11-24,102637.87768247507,102637.87768247507,0.0
2004-11-24,102618.55832379802,102637.87768247507,-0.0188228353053222
2004-11-24,102768.70893254022,102768.70893254022,0.0
2004-11-26,102699.07106574679,102768.70893254022,-0.06776174140627292
2004-11-26,102702.28353498127,102768.70893254022,-0.06463581984138368
2004-11-26,102679.68171164788,102768.70893254022,-0.08662872368162289
2004-11-26,102853.0141175153,102853.0141175153,0.0
2004-11-29,102870.89653313016,102870.89653313016,0.0
2004-11-29,102871.68471901212,102871.68471901212,0.0
2004-11-29,102849.74463727964,102871.68471901212,-0.021327619735602273
2004-11-30,102734.22082658089,102871.68471901212,-0.13362655895711792
2004-11-30,103062.89397252248,103062.89397252248,0.0
2004-12-02,103197.5016049518,103197.5016049518,0.0
2004-12-02,103446.08407168239,103446.08407168239,0.0
2004-12-06,103593.02621857899,103593.02621857899,0.0
2004-12-09,103619.66465793557,103619.66465793557,0.0
2004-12-10,103592.56693228644,103619.66465793557,-0.02615114200435334
2004-12-10,103407.79520857651,103619.66465793557,-0.20446837968301945
2004-12-10,103604.75198499688,103619.66465793557,-0.014391740204835354
2004-12-10,103735.51123430578,103735.51123430578,0.0
2004-12-10,103861.19628995952,103861.19628995952,0.0
2004-12-10,103985.71371185656,103985.71371185656,0.0
2004-12-10,104167.48745555688,104167.48745555688,0.0
2004-12-10,104379.67722842118,104379.67722842118,0.0
2004-12-13,104525.69502377567,104525.69502377567,0.0
2004-12-13,104653.60165155164,104653.60165155164,0.0
2004-12-13,104948.61777496219,104948.61777496219,0.0
2004-12-13,105060.62978326449,105060.62978326449,0.0
2004-12-13,105280.04127293489,105280.04127293489,0.0
2004-12-13,105437.3357492221,105437.3357492221,0.0
2004-12-13,105427.20274592952,105437.3357492221,-0.009610450814763628
2004-12-13,105569.06109049359,105569.06109049359,0.0
2004-12-14,105722.65386325719,105722.65386325719,0.0
2004-12-14,105914.56152456289,105914.56152456289,0.0
2004-12-14,106060.32650934182,106060.32650934182,0.0
2004-12-14,106382.72432521377,106382.72432521377,0.0
2004-12-14,106553.32469999322,106553.32469999322,0.0
2004-12-14,106674.36168116539,106674.36168116539,0.0
2004-12-15,106843.19997181893,106843.19997181893,0.0
2004-12-15,107138.58051939664,107138.58051939664,0.0
2004-12-16,107379.10938526703,107379.10938526703,0.0
2004-12-16,107439.06578916633,107439.06578916633,0.0
2004-12-16,107272.63097956713,107439.06578916633,-0.1549108868144917
2004-12-16,106930.53084268334,107439.06578916633,-0.47332405838386465
2004-12-16,106924.144065028,107439.06578916633,-0.47926861645352536
2004-12-17,106924.32607997663,107439.06578916633,-0.47909920419431284
2004-12-17,106995.4879164555,107439.06578916633,-0.41286460325454055
2004-12-20,107063.49470823926,107439.06578916633,-0.3495665921593843
2004-12-20,107082.93762367437,107439.06578916633,-0.331469901451683
2004-12-20,106882.83119387442,107439.06578916633,-0.5177209902247691
2004-12-21,106864.89136059851,107439.06578916633,-0.5344186719703508
2004-12-21,106859.47007174515,107439.06578916633,-0.5394645915467591
2004-12-23,106897.71952872131,107439.06578916633,-0.5038635215865817
2004-12-23,107035.60293073696,107439.06578916633,-0.37552714691423833
2004-12-23,107153.85087160736,107439.06578916633,-0.26546667682187974
2004-12-28,107268.37400160266,107439.06578916633,-0.15887311222403017
2004-12-28,107434.44007025393,107439.06578916633,-0.00430543478614946
2004-12-28,107522.27200326102,107522.27200326102,0.0
2004-12-28,107629.03268780731,107629.03268780731,0.0
2004-12-29,107614.28369072708,107629.03268780731,-0.013703548858428009
2004-12-29,107741.56957916118,107741.56957916118,0.0
2004-12-30,107780.82009069742,107780.82009069742,0.0
2004-12-30,107790.42413638762,107790.42413638762,0.0
2005-01-05,107474.90206409318,107790.42413638762,-0.29271809144679184
2005-01-06,107459.98680018219,107790.42413638762,-0.30655537247662046
2005-01-06,107571.3845801164,107790.42413638762,-0.20320873400968384
2005-01-07,107651.59947700548,107790.42413638762,-0.12879127296733084
2005-01-10,107791.70811807454,107791.70811807454,0.0
2005-01-10,107915.06657184639,107915.06657184639,0.0
2005-01-10,108031.58572166637,108031.58572166637,0.0
2005-01-10,108145.06926427294,108145.06926427294,0.0
2005-01-10,108265.62159430163,108265.62159430163,0.0
2005-01-10,108441.34178738881,108441.34178738881,0.0
2005-01-12,108273.50240684334,108441.34178738881,-0.1547743487668536
2005-01-12,108011.11797582095,108441.34178738881,-0.3967341278489194
2005-01-12,107735.17031052397,108441.34178738881,-0.6512013455618845
2005-01-12,107641.62875144048,108441.34178738881,-0.7374613987313552
2005-01-12,107659.83921847558,108441.34178738881,-0.7206684794120793
2005-01-12,107452.35625604616,108441.34178738881,-0.9120004557686748
2005-01-12,107151.37930980852,108441.34178738881,-1.1895486133963635
2005-01-12,107116.40153084508,108441.34178738881,-1.2218036356848345
2005-01-12,107075.56703873239,108441.34178738881,-1.2594594701107353
2005-01-12,107037.30133580344,108441.34178738881,-1.294746476245332
2005-01-12,106947.73259060015,108441.34178738881,-1.3773429691759493
2005-01-12,106749.19275500334,108441.34178738881,-1.5604279737732418
2005-01-12,106655.2510702186,108441.34178738881,-1.6470570058714697
2005-01-12,106493.56713030225,108441.34178738881,-1.7961550687056078
2005-01-12,106441.94020154733,108441.34178738881,-1.8437632298588906
2005-01-12,106239.21554178662,108441.34178738881,-2.0307073015748043
2005-01-12,106077.22177071637,108441.34178738881,-2.1800910775408537
2005-01-13,106063.39593180882,108441.34178738881,-2.192840679011717
2005-01-13,106112.64304075223,108441.34178738881,-2.147427086620021
2005-01-13,106072.70269043307,108441.34178738881,-2.184258381457247
2005-01-13,106113.08373484231,108441.34178738881,-2.1470206972459898
2005-01-13,106182.455816352,108441.34178738881,-2.083048709841314
2005-01-13,106134.03726386774,108441.34178738881,-2.1276982426543545
2005-01-13,106122.76212986314,108441.34178738881,-2.138095692389623
