ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val,experiment
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,548.8223245193442,5.4882,85.06743936458815,3.0185220869927196,6,profit_target,2,5,100085.06743936459,V37_vol_peak
LPX,2004-10-19,2004-10-27,19.536415999985476,19.063579559326172,153.55938366598204,1.5356,-74.14406623911918,-2.420282413415313,8,time_stop,3,4,100010.92337312546,V37_vol_peak
TTC,2004-10-19,2004-10-27,6.161875511118023,6.434274673461914,486.86475320493355,4.8686,127.75290341573991,4.420718364926309,8,time_stop,2,5,100138.6762765412,V37_vol_peak
OII,2004-11-02,2004-11-04,7.7016950167582205,8.143684387207031,650.108035040651,6.5011,280.8397607809242,5.738858387498858,2,profit_target,3,4,100419.51603732213,V37_vol_peak
MUR,2004-10-28,2004-11-05,18.683245831363177,18.80318832397461,160.7943456619949,1.6079,17.678131159904,0.6419788814751212,8,time_stop,3,4,100437.19416848203,V37_vol_peak
SPGI,2004-11-03,2004-11-05,29.533216639295915,30.340539932250977,169.53567486329956,1.6954,135.17474255536462,2.7336111159692096,2,profit_target,3,4,100572.3689110374,V37_vol_peak
HBAN,2004-11-04,2004-11-11,11.015930602056951,11.247846603393555,454.5175523248249,4.5452,100.8647177492257,2.1052783438314253,7,profit_target,3,4,100673.23362878662,V37_vol_peak
TGT,2004-11-12,2004-11-15,30.6559023607619,31.58979034423828,164.19877719476884,1.642,151.70127715176264,3.046356204055875,3,profit_target,3,4,100824.93490593838,V37_vol_peak
VFC,2004-11-11,2004-11-19,7.1498326775415615,7.069631576538086,703.3197380055248,7.0332,-63.44021472557429,-1.1217199705301684,8,time_stop,3,4,100761.4946912128,V37_vol_peak
VRTX,2004-11-18,2004-11-22,10.569999694824219,10.859999656677246,476.93915712840106,4.7694,133.5429458021673,2.7436137202069246,4,profit_target,3,4,100895.03763701498,V37_vol_peak
JBHT,2004-11-16,2004-11-24,16.09042188116439,16.038759231567383,313.30730682694247,3.1331,-19.319358677051348,-0.32107703563374346,8,time_stop,3,4,100875.71827833792,V37_vol_peak
AEP,2004-11-19,2004-11-24,14.847883095400903,15.286513328552246,407.4315547534261,4.0743,174.6374823071754,2.9541600666778427,5,profit_target,3,4,101050.3557606451,V37_vol_peak
CCL,2004-11-19,2004-11-24,33.88282028804757,34.902000427246094,148.78474408091876,1.4878,150.15060874219856,3.00795544920459,5,profit_target,3,4,101200.50636938731,V37_vol_peak
DCI,2004-11-19,2004-11-24,11.818489474963421,12.532464027404785,426.5559279784799,4.2656,300.28451848986106,6.041165869410515,5,profit_target,3,4,101500.79088787717,V37_vol_peak
BC,2004-11-22,2004-11-24,34.96572187463088,36.497291564941406,144.08610674833452,1.4409,219.23705282311278,4.380203262503627,2,profit_target,2,5,101720.02794070028,V37_vol_peak
SYNA,2004-11-22,2004-11-24,21.34666633605957,25.799999237060547,236.01224918432067,2.3601,1048.6809918399326,20.861959572011692,2,profit_target,3,4,102768.70893254022,V37_vol_peak
JPM,2004-11-18,2004-11-26,21.61750585775843,21.328889846801758,233.20205293191293,2.332,-69.63786679343477,-1.3351031930128519,8,time_stop,3,4,102699.07106574679,V37_vol_peak
RMD,2004-11-18,2004-11-26,10.326392395543008,10.342972755432129,488.1905076038734,4.8819,3.2124692344859263,0.1605629464194758,8,time_stop,3,4,102702.28353498127,V37_vol_peak
XRAY,2004-11-18,2004-11-26,21.274286419863365,21.188905715942383,236.96431672509638,2.3696,-22.601823333394368,-0.40133286840241283,8,time_stop,3,4,102679.68171164788,V37_vol_peak
RYN,2004-11-23,2004-11-26,5.616312380904453,5.8192830085754395,898.2320675400788,8.9823,173.33240586741724,3.613948333092903,3,profit_target,2,5,102853.0141175153,V37_vol_peak
BAC,2004-11-19,2004-11-29,28.390148365688837,28.5008544921875,177.57028531029314,1.7757,17.88241561486199,0.38994557221989545,10,time_stop,3,4,102870.89653313016,V37_vol_peak
