date,equity,peak,dd
2004-10-27,99925.85506346282,99925.85506346282,0.0
2004-10-27,100053.60820836776,100053.60820836776,0.0
2004-11-03,100196.41357331995,100196.41357331995,0.0
2004-11-04,101234.64696858515,101234.64696858515,0.0
2004-11-04,101739.72845122508,101739.72845122508,0.0
2004-11-05,101820.17577928,101820.17577928,0.0
2004-11-09,102155.63979023464,102155.63979023464,0.0
2004-11-11,102337.30332682443,102337.30332682443,0.0
2004-11-17,103948.13230352201,103948.13230352201,0.0
2004-11-19,103832.14463399895,103948.13230352201,-0.11158225448860065
2004-11-22,104079.96796917405,104079.96796917405,0.0
2004-11-24,106025.11808982288,106025.11808982288,0.0
2004-11-24,106268.24918030927,106268.24918030927,0.0
2004-11-24,106660.81723845702,106660.81723845702,0.0
2004-11-24,107067.46596114775,107067.46596114775,0.0
2004-11-24,107337.52925757575,107337.52925757575,0.0
2004-11-24,107148.23243344048,107337.52925757575,-0.17635660653322174
2004-11-26,107019.00308772927,107337.52925757575,-0.2967519115165337
2004-11-26,106977.06210056189,107337.52925757575,-0.3358258379032127
2004-11-26,107298.91086186132,107337.52925757575,-0.03597846529684149
2004-11-29,107300.37549732874,107337.52925757575,-0.03461395143337809
2004-11-29,107259.65942509353,107337.52925757575,-0.07254669733952544
2004-11-29,107454.75657276376,107454.75657276376,0.0
2004-11-30,107197.6158487931,107454.75657276376,-0.23930138801862696
2004-11-30,107063.69589182641,107454.75657276376,-0.3639305447335247
2004-11-30,107146.63007887184,107454.75657276376,-0.286749980847306
2004-11-30,107756.91701017758,107756.91701017758,0.0
2004-12-01,108038.59737486231,108038.59737486231,0.0
2004-12-02,108506.08484989582,108506.08484989582,0.0
2004-12-02,108593.40136051919,108593.40136051919,0.0
2004-12-08,108648.73635871912,108648.73635871912,0.0
2004-12-09,108835.31418298584,108835.31418298584,0.0
2004-12-10,108784.18785638027,108835.31418298584,-0.04697586163954286
2004-12-10,109155.82263427791,109155.82263427791,0.0
