ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val,experiment
LPX,2004-10-19,2004-10-27,19.536421811108948,19.063579559326172,153.559337989627,1.5356,-74.1449365371839,-2.4203114385762534,8,time_stop,3,4,99925.85506346282,V38a_all
TTC,2004-10-19,2004-10-27,6.161875035368717,6.434274673461914,486.8647907950448,4.8686,127.75314490493983,4.4207264270963424,8,time_stop,2,5,100053.60820836776,V38a_all
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,57.173490404781575,0.7,142.80536495219647,4.780949183872768,2,profit_target,3,4,100196.41357331995,V38a_all
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,510.18838149430707,5.1019,1038.2333952651995,11.586402948966374,2,profit_target,3,4,101234.64696858515,V38a_all
OII,2004-11-02,2004-11-04,7.70169644891337,8.143685340881348,1169.2001623906622,11.692,505.081482639922,5.738851107671714,2,profit_target,3,4,101739.72845122508,V38a_all
MUR,2004-10-29,2004-11-05,18.302657061799998,18.803194046020508,163.99849683660278,1.64,80.44732805492394,2.734777702114055,7,profit_target,2,5,101820.17577928,V38a_all
FCN,2004-11-03,2004-11-09,18.790000915527344,19.5,479.2349281532952,4.7923,335.4640109546258,3.7786005847713398,6,profit_target,3,4,102155.63979023464,V38a_all
HBAN,2004-11-04,2004-11-11,11.01593431513324,11.24785327911377,818.6030311755471,8.186,181.6635365897985,2.105304528386019,7,profit_target,3,4,102337.30332682443,V38a_all
NTAP,2004-11-11,2004-11-17,18.462542726861138,21.707258224487305,497.981654918245,4.9798,1610.8289766975731,17.57458626164983,6,profit_target,3,4,103948.13230352201,V38a_all
VFC,2004-11-11,2004-11-19,7.14982885370314,7.069629669189453,1285.905966316834,12.8591,-115.98766952306242,-1.1216937657486525,8,time_stop,3,4,103832.14463399895,V38a_all
VRTX,2004-11-18,2004-11-22,10.569999694824219,10.859999656677246,885.0834604941359,8.8508,247.82333517510347,2.7436137202069246,4,profit_target,3,4,104079.96796917405,V38a_all
HL,2004-11-16,2004-11-24,6.350226655388543,6.229712963104248,1450.3981982436273,14.504,-189.2968241352642,-1.897785682689478,8,time_stop,3,4,103890.67114503878,V38a_all
AEP,2004-11-19,2004-11-24,14.847891726433613,15.286510467529297,630.0781336290148,6.3008,270.0632964279867,2.954080950865327,5,profit_target,3,4,104160.73444146678,V38a_all
BC,2004-11-22,2004-11-24,34.96571428075965,36.49726867675781,267.2587478701116,2.6726,406.6487226907333,4.380160472914812,2,profit_target,2,5,104567.38316415751,V38a_all
GME,2004-11-22,2004-11-24,1.7253311566444929,1.8078103065490723,5416.289493800311,54.1629,392.5680581477512,4.780482262024921,2,profit_target,2,5,104959.95122230526,V38a_all
PSA,2004-11-22,2004-11-24,24.796876553470245,25.452030181884766,376.8576657995306,3.7686,243.131090486394,2.6420812597175027,2,profit_target,3,4,105203.08231279165,V38a_all
SYNA,2004-11-22,2004-11-24,21.34666633605957,25.799999237060547,437.7682617952467,4.3777,1945.1501206488285,20.861959572011692,2,profit_target,3,4,107148.23243344048,V38a_all
JPM,2004-11-18,2004-11-26,21.617507784271385,21.328895568847656,432.76644101054967,4.3277,-129.22934571120282,-1.3350855163504074,8,time_stop,3,4,107019.00308772927,V38a_all
XRAY,2004-11-18,2004-11-26,21.274290247727393,21.188915252685547,439.7482500416838,4.3975,-41.94098716738609,-0.40130596155124937,8,time_stop,3,4,106977.06210056189,V38a_all
RYN,2004-11-23,2004-11-26,5.61630911858383,5.819280624389648,1667.856401676771,16.6786,321.8487612994403,3.6139660677544447,3,profit_target,2,5,107298.91086186132,V38a_all
D,2004-11-19,2004-11-29,13.796656003704094,13.808815956115723,678.0869150325473,6.7809,1.4646354674187196,0.08813695440666545,10,time_stop,3,4,107300.37549732874,V38a_all
USB,2004-11-19,2004-11-29,14.798003440675785,14.743599891662598,632.2023065356003,6.322,-40.71607223521576,-0.3676411431534516,10,time_stop,3,4,107259.65942509353,V38a_all
BHE,2004-11-24,2004-11-29,19.92280545276979,20.34775161743164,470.1746016359046,4.7017,195.09714767023212,2.1329634808172666,5,profit_target,3,4,107454.75657276376,V38a_all
ABT,2004-11-22,2004-11-30,12.645057620624907,12.36509895324707,886.8185465743813,8.8682,-257.14072397065803,-2.2139770001617585,8,time_stop,3,4,107197.6158487931,V38a_all
ETD,2004-11-22,2004-11-30,17.20161831054743,16.965105056762695,543.2566197175729,5.4326,-133.91995696667578,-1.3749476910536622,8,time_stop,2,5,107063.69589182641,V38a_all
ZION,2004-11-22,2004-11-30,43.58163751762984,43.978416442871094,214.42271445811707,2.1442,82.9341870454235,0.9104268399294324,8,time_stop,3,4,107146.63007887184,V38a_all
UNFI,2004-11-24,2004-11-30,26.399999618530273,28.1299991607666,354.8180777491674,3.5482,610.2869313057417,6.553028663765714,6,profit_target,3,4,107756.91701017758,V38a_all
PBI,2004-11-23,2004-12-01,15.340425645615928,15.811726570129395,610.6217215623788,6.1062,281.68036468472957,3.072280622462109,8,time_stop,2,5,108038.59737486231,V38a_all
EG,2004-11-30,2004-12-02,53.900911640979224,56.51645278930664,179.4204921052991,1.7942,467.48747503351126,4.852498907159299,2,profit_target,3,4,108506.08484989582,V38a_all
GE,2004-11-30,2004-12-02,100.74791266253864,102.574462890625,47.99567472897483,0.35,87.31651062336779,1.8129906415078834,2,partial_exit,1,6,108593.40136051919,V38a_all
GE,2004-11-30,2004-12-08,100.74791266253864,101.91812133789062,47.99567472897483,0.83,55.3349981999287,1.161521508908748,8,time_stop,1,6,108648.73635871912,V38a_all
BBY,2004-12-01,2004-12-09,20.863035673380782,21.274410247802734,464.84714318395424,4.6485,186.5778242667199,1.9717867565496539,8,time_stop,3,4,108835.31418298584,V38a_all
OKE,2004-12-02,2004-12-10,4.230338074536772,4.218094825744629,2298.509857229872,22.9851,-51.126326605557395,-0.28941537476254225,8,time_stop,3,4,108784.18785638027,V38a_all
ALKS,2004-12-08,2004-12-10,13.569999694824219,14.010000228881836,864.2658519299248,8.6427,371.63477789762914,3.2424505818186518,2,profit_target,3,4,109155.82263427791,V38a_all
CVS,2004-12-08,2004-12-10,14.452256606519539,14.766292572021484,811.5056123239211,8.1151,246.72689235315093,2.172919939438947,2,profit_target,3,4,109402.54952663106,V38a_all
DIS,2004-12-08,2004-12-10,21.47308511558979,21.917301177978516,546.1761681567266,5.4618,237.15846510757655,2.0687109467387077,2,profit_target,3,4,109639.70799173864,V38a_all
IART,2004-12-08,2004-12-10,15.004521369934082,15.375226020812988,651.3640709680074,6.5136,234.9500498135782,2.4706196335040764,2,profit_target,3,4,109874.65804155222,V38a_all
NVRI,2004-12-08,2004-12-10,18.179455673733962,18.827438354492188,537.6071923081579,5.3761,342.98407774366154,3.5643678908078855,2,profit_target,3,4,110217.64211929588,V38a_all
OLN,2004-12-08,2004-12-10,10.012836344611094,10.433024406433105,976.0876724712246,9.7609,400.3795105393304,4.196493854093172,2,profit_target,3,4,110618.02162983522,V38a_all
EIX,2004-12-03,2004-12-13,14.865635396020574,14.846633911132812,657.4496052192292,6.5745,-19.06701479023012,-0.1278215453397161,10,time_stop,3,4,110598.95461504499,V38a_all
PCG,2004-12-03,2004-12-13,19.622302481029887,19.458024978637695,498.07641747930916,4.9808,-86.80351403874475,-0.8371978902629263,10,time_stop,2,5,110512.15110100624,V38a_all
BALL,2004-12-07,2004-12-13,8.707309860966031,9.086155891418457,1122.4369269617812,11.2244,414.0064049430723,4.350896390523016,6,profit_target,3,4,110926.1575059493,V38a_all
PCAR,2004-12-08,2004-12-13,10.87869526268234,11.186637878417969,898.3987405155896,8.984,267.6712707228089,2.830694382919037,5,profit_target,3,4,111193.82877667212,V38a_all
TXT,2004-12-08,2004-12-13,31.897524370984396,32.5972900390625,306.4001459416428,3.064,211.34430136466585,2.193793035282219,5,profit_target,3,4,111405.17307803678,V38a_all
ETD,2004-12-08,2004-12-14,16.195324209830165,16.685571670532227,724.1650241134049,7.2417,347.77841395970984,3.027092600001754,6,profit_target,3,4,111752.95149199649,V38a_all
FBP,2004-12-08,2004-12-14,325.2414460310347,345.1346435546875,30.049694593702377,0.7,597.0845100779635,6.11643988378855,6,profit_target,3,4,112350.03600207446,V38a_all
R,2004-12-08,2004-12-14,30.368082720265146,31.503219604492188,321.8315167432274,3.2183,362.1045099945377,3.7379273979306724,6,profit_target,3,4,112712.14051206899,V38a_all
