date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51299411144,100130.51299411144,0.0
2004-10-27,100056.36747458385,100130.51299411144,-0.07404887612225908
2004-10-27,100184.12035933165,100184.12035933165,0.0
2004-11-01,100293.71646221117,100293.71646221117,0.0
2004-11-03,100436.70901875186,100436.70901875186,0.0
2004-11-04,101477.4339624188,101477.4339624188,0.0
2004-11-04,101983.73154567221,101983.73154567221,0.0
2004-11-05,102001.41675385408,102001.41675385408,0.0
2004-11-05,102180.77173001287,102180.77173001287,0.0
2004-11-05,102424.46827081354,102424.46827081354,0.0
2004-11-08,102614.60605109775,102614.60605109775,0.0
2004-11-09,102950.87510726105,102950.87510726105,0.0
2004-11-11,103132.97039906644,103132.97039906644,0.0
2004-11-15,103412.71019249008,103412.71019249008,0.0
2004-11-17,105036.07891654267,105036.07891654267,0.0
2004-11-19,104919.18405437571,105036.07891654267,-0.11129019987487819
2004-11-22,105169.60116927688,105169.60116927688,0.0
2004-11-24,105394.14586091686,105394.14586091686,0.0
2004-11-24,107359.66014593068,107359.66014593068,0.0
2004-11-24,107605.33067742994,107605.33067742994,0.0
2004-11-24,107783.23932279967,107783.23932279967,0.0
2004-11-24,108179.9189007086,108179.9189007086,0.0
2004-11-24,108461.48046301404,108461.48046301404,0.0
2004-11-24,109024.57354047419,109024.57354047419,0.0
2004-11-24,109297.4732474988,109297.4732474988,0.0
2004-11-24,109261.79816041247,109297.4732474988,-0.032640358488021035
2004-11-24,109070.51072882296,109297.4732474988,-0.2076557782464827
2004-11-24,109481.41974896002,109481.41974896002,0.0
2004-11-26,109710.26917790392,109710.26917790392,0.0
2004-11-26,110035.48820420128,110035.48820420128,0.0
2004-11-26,109993.10994745311,110035.48820420128,-0.03851326280256414
2004-11-26,110188.77940802758,110188.77940802758,0.0
2004-11-26,110058.19501410452,110188.77940802758,-0.1185097018268096
2004-11-26,110291.20322646231,110291.20322646231,0.0
2004-11-26,110297.22980149125,110297.22980149125,0.0
2004-11-29,110330.76069087334,110330.76069087334,0.0
2004-11-29,110332.23802815078,110332.23802815078,0.0
2004-11-29,110043.98386161852,110332.23802815078,-0.26126014633974654
2004-11-29,109844.07472945421,110332.23802815078,-0.4424484696594461
2004-11-29,109802.93311034124,110332.23802815078,-0.4797373163721097
2004-11-29,110000.07456816614,110332.23802815078,-0.30105748412344707
2004-11-30,110616.75071071892,110616.75071071892,0.0
2004-11-30,110700.55896075477,110700.55896075477,0.0
2004-11-30,109954.06131929379,110700.55896075477,-0.6743395412534734
2004-11-30,109737.53746811127,110700.55896075477,-0.8699337218205986
2004-12-01,110022.16860871782,110700.55896075477,-0.6128156518861394
2004-12-02,110274.726885721,110700.55896075477,-0.38467021217547614
2004-12-02,110559.68123624728,110700.55896075477,-0.12726017450140648
2004-12-02,111038.23870283201,111038.23870283201,0.0
2004-12-02,111127.63404338452,111127.63404338452,0.0
2004-12-06,111410.51120619306,111410.51120619306,0.0
