date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51233904767,100130.51233904767,0.0
2004-10-27,100056.36739971855,100130.51233904767,-0.07404829716445707
2004-10-27,100184.12032180224,100184.12032180224,0.0
2004-11-01,100293.71668718578,100293.71668718578,0.0
2004-11-04,101334.44163318722,101334.44163318722,0.0
2004-11-04,101840.73757303259,101840.73757303259,0.0
2004-11-05,101858.42279789253,101858.42279789253,0.0
2004-11-05,102037.77212660428,102037.77212660428,0.0
2004-11-05,102281.46814459788,102281.46814459788,0.0
2004-11-08,102471.60809375944,102471.60809375944,0.0
2004-11-09,102807.87715067703,102807.87715067703,0.0
2004-11-11,102989.71239442541,102989.71239442541,0.0
2004-11-15,103269.05838694416,103269.05838694416,0.0
2004-11-17,104890.16870006485,104890.16870006485,0.0
2004-11-19,104773.43686530052,104890.16870006485,-0.1112895862510499
2004-11-24,104997.6704342612,104997.6704342612,0.0
2004-11-24,106960.45434937452,106960.45434937452,0.0
2004-11-24,107205.79168633824,107205.79168633824,0.0
2004-11-24,107383.45362596132,107383.45362596132,0.0
2004-11-24,107779.58101346125,107779.58101346125,0.0
2004-11-24,108341.88245274678,108341.88245274678,0.0
2004-11-24,108623.05399357455,108623.05399357455,0.0
2004-11-24,108950.06773608929,108950.06773608929,0.0
2004-11-24,108914.44663942263,108950.06773608929,-0.032694882533657724
2004-11-24,108723.42420039566,108950.06773608929,-0.2080251443648735
2004-11-24,109133.76458815462,109133.76458815462,0.0
2004-11-26,109329.15873413043,109329.15873413043,0.0
2004-11-26,109557.14798219505,109557.14798219505,0.0
2004-11-26,109881.13468010697,109881.13468010697,0.0
2004-11-26,109838.81360014193,109881.13468010697,-0.03851532848495641
2004-11-26,109844.8291964941,109881.13468010697,-0.033040688666500444
2004-11-26,109714.42954124308,109881.13468010697,-0.15171406752325275
2004-11-26,109947.11100764424,109947.11100764424,0.0
2004-11-29,109980.60296775938,109980.60296775938,0.0
2004-11-29,109982.08151092991,109982.08151092991,0.0
