date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51141164429,100130.51141164429,0.0
2004-10-27,100056.36559922554,100130.51141164429,-0.07404916980192902
2004-10-27,100184.11874413048,100184.11874413048,0.0
2004-11-04,101223.70641735816,101223.70641735816,0.0
2004-11-04,101729.45020878993,101729.45020878993,0.0
2004-11-05,101810.00027465561,101810.00027465561,0.0
2004-11-05,101989.1510986895,101989.1510986895,0.0
2004-11-05,102232.57661773388,102232.57661773388,0.0
2004-11-08,102422.50548428473,102422.50548428473,0.0
2004-11-09,102758.40707653786,102758.40707653786,0.0
2004-11-11,102940.04052681809,102940.04052681809,0.0
2004-11-15,103219.2483367658,103219.2483367658,0.0
2004-11-17,104839.5778072789,104839.5778072789,0.0
2004-11-19,104722.90154483225,104839.5778072789,-0.11129028262697695
2004-11-24,104947.02541725781,104947.02541725781,0.0
2004-11-24,106908.86262376704,106908.86262376704,0.0
2004-11-24,107154.07866914889,107154.07866914889,0.0
2004-11-24,107550.01423810645,107550.01423810645,0.0
2004-11-24,107960.15362181466,107960.15362181466,0.0
2004-11-24,108241.18525287938,108241.18525287938,0.0
2004-11-24,108568.0434510481,108568.0434510481,0.0
2004-11-24,108532.43394919985,108568.0434510481,-0.03279924802577892
2004-11-24,108341.50296355542,108568.0434510481,-0.208662217989421
2004-11-24,108903.53309893953,108903.53309893953,0.0
2004-11-26,109136.09998249564,109136.09998249564,0.0
2004-11-26,109005.768197528,109136.09998249564,-0.11942133261912657
2004-11-26,109011.77740852433,109136.09998249564,-0.11391517013275076
2004-11-26,108969.47335807112,109136.09998249564,-0.15267782562437646
2004-11-26,109293.30623207332,109293.30623207332,0.0
2004-11-26,109521.18085850157,109521.18085850157,0.0
2004-11-29,109756.74472770633,109756.74472770633,0.0
2004-11-29,109758.22058745417,109758.22058745417,0.0
2004-11-29,109470.50666518595,109758.22058745417,-0.26213428090242125
2004-11-29,109270.97326770623,109758.22058745417,-0.4439278599270911
2004-11-29,109229.90437907685,109758.22058745417,-0.4813454569048555
2004-11-30,109313.55333863762,109758.22058745417,-0.4051334345952187
2004-11-30,109927.61019768813,109927.61019768813,0.0
2004-11-30,109668.26764412949,109927.61019768813,-0.23592121496342433
2004-11-30,108923.16961494871,109927.61019768813,-0.9137291176739748
2004-12-01,109206.59067979963,109927.61019768813,-0.6559039322258166
2004-12-02,109458.08044008748,109927.61019768813,-0.4271263213639212
2004-12-02,109933.28929686076,109933.28929686076,0.0
2004-12-02,110022.0551771332,110022.0551771332,0.0
2004-12-06,110302.96593219615,110302.96593219615,0.0
2004-12-08,110359.21935883208,110359.21935883208,0.0
2004-12-09,110547.82015824287,110547.82015824287,0.0
2004-12-09,110599.12047240973,110599.12047240973,0.0
2004-12-10,111005.80028383556,111005.80028383556,0.0
2004-12-10,111354.18494761173,111354.18494761173,0.0
2004-12-10,111592.83376987597,111592.83376987597,0.0
2004-12-10,111240.41772731533,111592.83376987597,-0.3158052633445823
2004-12-10,111491.03192858731,111592.83376987597,-0.09122614584606102
2004-12-10,111868.51727974204,111868.51727974204,0.0
2004-12-10,112109.41037457211,112109.41037457211,0.0
2004-12-13,112389.95192999447,112389.95192999447,0.0
2004-12-13,112662.94663138215,112662.94663138215,0.0
2004-12-13,113228.66131166377,113228.66131166377,0.0
2004-12-13,113443.33997017733,113443.33997017733,0.0
2004-12-13,113715.22682607421,113715.22682607421,0.0
2004-12-13,113992.58050038962,113992.58050038962,0.0
2004-12-13,114293.71231278213,114293.71231278213,0.0
2004-12-13,114274.31537865977,114293.71231278213,-0.016971129670960212
2004-12-13,114499.97496422684,114499.97496422684,0.0
2004-12-13,114920.49795534313,114920.49795534313,0.0
2004-12-14,115153.04711196659,115153.04711196659,0.0
2004-12-14,115480.18044745384,115480.18044745384,0.0
2004-12-14,115906.05525571496,115906.05525571496,0.0
2004-12-14,116512.548765135,116512.548765135,0.0
2004-12-14,116865.80649374721,116865.80649374721,0.0
2004-12-14,117145.17918628354,117145.17918628354,0.0
2004-12-15,117616.4740777652,117616.4740777652,0.0
2004-12-15,117940.85680101138,117940.85680101138,0.0
2004-12-15,118511.91515104804,118511.91515104804,0.0
2004-12-16,118501.89483508425,118511.91515104804,-0.008455112678770053
2004-12-16,118966.90926654707,118966.90926654707,0.0
2004-12-16,119081.83071633025,119081.83071633025,0.0
2004-12-16,119344.4231224592,119344.4231224592,0.0
2004-12-16,118688.75416698898,119344.4231224592,-0.5493922031006306
2004-12-16,118676.51215214617,119344.4231224592,-0.5596499214945977
2004-12-16,118357.51838304865,119344.4231224592,-0.8269382963943626
2004-12-16,118356.42367416574,119344.4231224592,-0.8278555649639958
2004-12-16,118344.3160471925,119344.4231224592,-0.8380006782893334
2004-12-16,118363.7181019861,119344.4231224592,-0.8217434839555015
2004-12-17,118364.06825807829,119344.4231224592,-0.821450084328585
2004-12-17,118500.52658533546,119344.4231224592,-0.7071101565071095
2004-12-17,118512.1186416959,119344.4231224592,-0.6973970454482578
2004-12-20,118621.00507623822,119344.4231224592,-0.6061599086860375
2004-12-20,118613.39943272143,119344.4231224592,-0.6125327607370971
2004-12-20,118650.75914098271,119344.4231224592,-0.5812286517692666
2004-12-20,118266.30633101024,119344.4231224592,-0.9033658743674132
2004-12-21,118231.6290615351,119344.4231224592,-0.9324223384801597
2004-12-21,118221.15114787247,119344.4231224592,-0.9412018971629142
2004-12-22,118344.24375929126,119344.4231224592,-0.8380612491139607
2004-12-22,119027.59130804024,119344.4231224592,-0.2654768493822736
2004-12-23,119433.94536018795,119433.94536018795,0.0
2004-12-23,119669.70760109196,119669.70760109196,0.0
2004-12-23,119745.31659565427,119745.31659565427,0.0
2004-12-23,120020.21868443133,120020.21868443133,0.0
2004-12-27,120081.01632764305,120081.01632764305,0.0
2004-12-28,120412.10620859097,120412.10620859097,0.0
2004-12-28,120624.95705994066,120624.95705994066,0.0
2004-12-28,120800.06780843741,120800.06780843741,0.0
2004-12-28,120941.51756763156,120941.51756763156,0.0
2004-12-28,121092.15080504592,121092.15080504592,0.0
2004-12-28,120694.35264693014,121092.15080504592,-0.3285086237804307
2004-12-28,120922.41104030106,121092.15080504592,-0.14017404399575165
2004-12-28,121220.65309990587,121220.65309990587,0.0
2004-12-29,121383.63725765736,121383.63725765736,0.0
2004-12-29,121354.26156750109,121383.63725765736,-0.02420070020963278
2004-12-29,121610.88682243938,121610.88682243938,0.0
2004-12-29,121744.90263632218,121744.90263632218,0.0
2004-12-29,121867.62491540339,121867.62491540339,0.0
2004-12-29,121621.4697905228,121867.62491540339,-0.20198565866157217
2004-12-30,121640.59939317315,121867.62491540339,-0.18628862455293646
2004-12-30,121802.1213094355,121867.62491540339,-0.05374980107584179
2004-12-30,121895.91664467624,121895.91664467624,0.0
2005-01-05,121259.46091991241,121895.91664467624,-0.5221304718673089
2005-01-07,121357.75873352379,121895.91664467624,-0.4414896954433393
2005-01-07,121448.47061143309,121895.91664467624,-0.3670722084542363
2005-01-10,121576.89625226139,121895.91664467624,-0.26171540540179766
2005-01-10,121713.22410225579,121895.91664467624,-0.14987585101230036
2005-01-10,121844.68945780431,121895.91664467624,-0.04202535103883047
2005-01-10,121943.11135945078,121943.11135945078,0.0
2005-01-11,120588.90847345158,121943.11135945078,-1.1105202015121833
2005-01-12,120542.73101793767,121943.11135945078,-1.1483882327597998
2005-01-12,120308.09617577422,121943.11135945078,-1.3408015962927469
2005-01-12,120202.31594817179,121943.11135945078,-1.4275471503655988
2005-01-12,119890.25633252013,121943.11135945078,-1.6834530495777316
2005-01-12,119664.65620655601,121943.11135945078,-1.868457453228808
2005-01-12,119763.8431060393,121943.11135945078,-1.7871187877006514
2005-01-12,119467.12344248271,121943.11135945078,-2.0304450898170163
2005-01-12,119277.31995908814,121943.11135945078,-2.1860942948263005
2005-01-12,119433.83699707537,121943.11135945078,-2.057741789922711
2005-01-12,119236.24334450818,121943.11135945078,-2.2197793583957184
2005-01-12,118895.88068713411,121943.11135945078,-2.4988952949825687
2005-01-12,118794.58959722503,121943.11135945078,-2.5819595113863167
2005-01-12,118611.3957414813,121943.11135945078,-2.7321884613462086
2005-01-12,118568.12361821922,121943.11135945078,-2.767673961740347
