ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,548.8223245193442,5.4882,85.06743936458815,3.0185220869927196,6,profit_target,2,5,100085.06743936459
HOG,2004-10-19,2004-10-27,36.15901843617192,36.71675491333008,82.96685390660188,0.8297,45.44397227969772,1.5424546939587913,8,time_stop,2,5,100130.51141164429
LPX,2004-10-19,2004-10-27,19.536423748150106,19.063575744628906,153.55932276418136,1.5356,-74.14581241875256,-2.4203406397036913,8,time_stop,3,4,100056.36559922554
TTC,2004-10-19,2004-10-27,6.161875035368717,6.434274673461914,486.8647907950448,4.8686,127.75314490493983,4.4207264270963424,8,time_stop,2,5,100184.11874413048
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,510.85387432561083,5.1085,1039.5876732276754,11.586402948966374,2,profit_target,3,4,101223.70641735816
OII,2004-11-02,2004-11-04,7.701694539373171,8.143686294555664,1170.725564468516,11.7073,505.7437914317694,5.738889706971763,2,profit_target,3,4,101729.45020878993
MUR,2004-10-29,2004-11-05,18.302658953178604,18.80318260192871,164.21240050489757,1.6421,80.55006586567632,2.7347045586684104,7,profit_target,2,5,101810.00027465561
XRAY,2004-11-02,2004-11-05,21.18485285541303,21.61577606201172,425.6140341644092,4.2561,179.1508240338868,2.034109981975076,3,profit_target,3,4,101989.1510986895
SPGI,2004-11-03,2004-11-05,29.533218543974375,30.340543746948242,305.3026771716821,3.053,243.42551904437659,2.733617407028551,2,profit_target,3,4,102232.57661773388
IRM,2004-11-03,2004-11-08,7.9395683654729305,8.11681079864502,1135.6499839692053,11.3565,189.92886655085377,2.2323938155488294,5,profit_target,3,4,102422.50548428473
FCN,2004-11-03,2004-11-09,18.790000915527344,19.5,479.86004511158865,4.7986,335.90159225311953,3.7786005847713398,6,profit_target,3,4,102758.40707653786
HBAN,2004-11-04,2004-11-11,11.015936171671386,11.247845649719238,818.502444681804,8.185,181.6334502802299,2.1052180625758434,7,profit_target,3,4,102940.04052681809
TGT,2004-11-12,2004-11-15,30.65590609186146,31.589784622192383,302.2126835739883,3.0221,279.20780994770035,3.0463249969925,3,profit_target,3,4,103219.2483367658
NTAP,2004-11-11,2004-11-17,18.46254656444653,21.70725440979004,500.9198814803721,5.0092,1620.3294705131002,17.574541161032837,6,profit_target,3,4,104839.5778072789
VFC,2004-11-11,2004-11-19,7.149836979359786,7.069634437561035,1293.4919584301515,12.9349,-116.67626244664358,-1.121739447071032,8,time_stop,3,4,104722.90154483225
HL,2004-11-16,2004-11-24,6.350226173628309,6.229710578918457,1462.897871084972,14.629,-190.93098564443176,-1.8978157850556299,8,time_stop,3,4,104531.97055918782
JBHT,2004-11-16,2004-11-24,16.090427695130618,16.03874969482422,577.3452717555939,5.7735,-35.609501848239674,-0.32117232236181237,8,time_stop,3,4,104496.36105733957
