date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51138956757,100130.51138956757,0.0
2004-10-27,100056.36615734725,100130.51138956757,-0.07404859037607084
2004-10-27,100184.12069518353,100184.12069518353,0.0
2004-11-01,100293.69037453839,100293.69037453839,0.0
2004-11-03,100436.68293156079,100436.68293156079,0.0
2004-11-04,101477.40760452191,101477.40760452191,0.0
2004-11-04,101983.70682872317,101983.70682872317,0.0
2004-11-05,102001.39207033376,102001.39207033376,0.0
2004-11-05,102180.74043698858,102180.74043698858,0.0
2004-11-05,102424.43697400292,102424.43697400292,0.0
2004-11-08,102614.57635834669,102614.57635834669,0.0
2004-11-09,102950.84532704212,102950.84532704212,0.0
2004-11-11,103132.94368525584,103132.94368525584,0.0
2004-11-15,103412.67933747864,103412.67933747864,0.0
2004-11-17,105036.04210802252,105036.04210802252,0.0
2004-11-19,104919.1479166113,105036.04210802252,-0.11128960027930618
2004-11-22,105169.56494375707,105169.56494375707,0.0
2004-11-24,105394.07296116716,105394.07296116716,0.0
2004-11-24,107359.58656919046,107359.58656919046,0.0
2004-11-24,107605.26213926556,107605.26213926556,0.0
2004-11-24,107783.17292266963,107783.17292266963,0.0
2004-11-24,108179.84855295754,108179.84855295754,0.0
2004-11-24,108461.40802380072,108461.40802380072,0.0
2004-11-24,109024.49614020926,109024.49614020926,0.0
2004-11-24,109379.26718635576,109379.26718635576,0.0
2004-11-24,109343.5943432925,109379.26718635576,-0.032613898393090215
2004-11-24,109152.30765305512,109379.26718635576,-0.2074977636428663
2004-11-24,109563.21340128501,109563.21340128501,0.0
2004-11-26,109792.05995700159,109792.05995700159,0.0
2004-11-26,110117.27643401372,110117.27643401372,0.0
2004-11-26,110074.89649794078,110117.27643401372,-0.03848618259128657
2004-11-26,110270.56634389215,110270.56634389215,0.0
2004-11-26,110139.98533203232,110270.56634389215,-0.11841873692078295
2004-11-26,110372.99272534839,110372.99272534839,0.0
2004-11-26,110379.01580955416,110379.01580955416,0.0
2004-11-29,110412.54089252872,110412.54089252872,0.0
2004-11-29,110414.01953162087,110414.01953162087,0.0
2004-11-29,110125.7674772291,110414.01953162087,-0.2610647231343775
2004-11-29,109925.83557855868,110414.01953162087,-0.4421394630256951
2004-11-29,109884.69581716332,110414.01953162087,-0.4793990081177726
2004-11-29,110140.97608997607,110414.01953162087,-0.24729055495221922
2004-11-30,110757.65202011562,110757.65202011562,0.0
2004-11-30,110841.45856087616,110841.45856087616,0.0
2004-11-30,110094.96166124508,110841.45856087616,-0.6734816641023254
2004-11-30,109813.41975843984,110841.45856087616,-0.9274858124243307
2004-12-01,110098.0502871114,110841.45856087616,-0.6706951382784823
2004-12-02,110350.5718013854,110841.45856087616,-0.44287287975477674
2004-12-02,110635.29922485583,110841.45856087616,-0.1859947881388619
2004-12-02,111114.46828316589,111114.46828316589,0.0
2004-12-02,111203.97970650019,111203.97970650019,0.0
2004-12-06,111487.22030971239,111487.22030971239,0.0
2004-12-08,111543.94547510971,111543.94547510971,0.0
2004-12-09,111734.08955244476,111734.08955244476,0.0
2004-12-09,111785.81786892292,111785.81786892292,0.0
2004-12-10,112196.86964076164,112196.86964076164,0.0
2004-12-10,112548.99046947337,112548.99046947337,0.0
2004-12-10,112790.20151579085,112790.20151579085,0.0
2004-12-10,113053.97316293059,113053.97316293059,0.0
2004-12-10,112698.68318357714,113053.97316293059,-0.3142658054497652
2004-12-10,113112.01620835025,113112.01620835025,0.0
2004-12-10,113059.91643319259,113112.01620835025,-0.04606033638521508
2004-12-10,113334.24867339732,113334.24867339732,0.0
2004-12-13,113953.68079324006,113953.68079324006,0.0
2004-12-13,114237.2305017229,114237.2305017229,0.0
2004-12-13,114513.15313359341,114513.15313359341,0.0
2004-12-13,114782.22927108563,114782.22927108563,0.0
2004-12-13,114999.20555963201,114999.20555963201,0.0
2004-12-13,115424.2445173737,115424.2445173737,0.0
2004-12-13,115728.61126971655,115728.61126971655,0.0
2004-12-13,115709.00790439796,115728.61126971655,-0.016939082827927693
2004-12-13,115937.09781238568,115937.09781238568,0.0
2004-12-13,116211.89755207863,116211.89755207863,0.0
2004-12-14,116519.70083065775,116519.70083065775,0.0
2004-12-14,116906.50393479694,116906.50393479694,0.0
2004-12-14,117519.51750385125,117519.51750385125,0.0
2004-12-14,117891.2688253553,117891.2688253553,0.0
2004-12-14,118173.63895377146,118173.63895377146,0.0
2004-12-14,118504.28409672943,118504.28409672943,0.0
2004-12-14,118739.08435237964,118739.08435237964,0.0
2004-12-15,119215.43924413981,119215.43924413981,0.0
2004-12-15,119543.29423245361,119543.29423245361,0.0
2004-12-15,120168.59255431093,120168.59255431093,0.0
2004-12-16,120433.99758613715,120433.99758613715,0.0
