start,end,days,strat_ret,spy_ret,sh_approx,cash_ret,vs_cash,vs_spy
2008-01-25,2008-05-06,102,-1.04,7.3,-6.94,0.0,-1.04,-8.35
2008-05-07,2008-05-15,8,3.07,2.16,-2.05,0.0,3.07,0.92
2008-05-21,2009-05-29,373,-18.86,-31.92,30.32,0.0,-18.86,13.06
2011-08-30,2011-09-19,20,-3.23,-0.61,0.58,0.0,-3.23,-2.62
2011-09-26,2011-10-27,31,-6.99,10.66,-10.13,0.0,-6.99,-17.65
2011-10-31,2011-11-08,8,0.12,1.9,-1.8,0.0,0.12,-1.78
2011-11-09,2011-11-11,2,-2.09,2.84,-2.7,0.0,-2.09,-4.93
2011-11-14,2011-12-05,21,1.01,0.61,-0.58,0.0,1.01,0.4
2011-12-08,2011-12-09,1,1.27,1.69,-1.61,0.0,1.27,-0.42
2011-12-12,2011-12-22,10,1.35,1.49,-1.42,0.0,1.35,-0.15
2015-09-10,2015-10-22,42,1.68,5.35,-5.08,0.0,1.68,-3.67
2015-12-21,2015-12-23,2,2.4,2.16,-2.05,0.0,2.4,0.24
2015-12-31,2016-03-11,71,7.93,-0.54,0.52,0.0,7.93,8.47
2018-11-12,2018-11-28,16,-0.07,0.74,-0.7,0.0,-0.07,-0.81
2018-12-19,2019-01-31,43,-7.58,8.06,-7.66,0.0,-7.58,-15.64
2020-03-23,2020-05-26,64,-12.9,34.15,-32.44,0.0,-12.9,-47.05
2022-05-09,2022-08-16,99,-22.18,8.38,-7.97,0.0,-22.18,-30.56
2022-08-17,2022-11-30,105,26.3,-4.05,3.85,0.0,26.3,30.36
2022-12-05,2022-12-13,8,-1.34,0.6,-0.57,0.0,-1.34,-1.93
2022-12-14,2023-01-11,28,6.27,-0.52,0.49,0.0,6.27,6.79
2023-01-18,2023-01-20,2,1.25,1.12,-1.07,0.0,1.25,0.13
2025-04-23,2025-05-12,19,-1.8,8.88,-8.44,0.0,-1.8,-10.68
