date,action,ticker,shares,price,value,reason
2008-01-25,BUY,GLD,1107.419674644777,90.30000305175781,100000.0,rebalance
2008-02-01,BUY,GLD,0.0,89.3499984741211,0.0,rebalance
2008-03-03,BUY,GLD,0.0,97.23999786376953,0.0,rebalance
2008-04-01,SELL,GLD,1107.419674644777,86.86000061035156,96190.47361556065,rebalance
2008-04-01,BUY,SH,264.50824942553163,363.6577453613281,96190.47361556065,rebalance
2008-05-01,SELL,SH,264.50824942553163,352.5934143066406,93263.86677722071,rebalance
2008-05-01,BUY,XLE,4097.850537235098,22.75921630859375,93263.86677722071,rebalance
2008-05-06,SELL,XLE,4097.850537235098,24.148225784301758,98955.82000347541,regime_exit
2008-05-07,BUY,XLE,4175.6157269802725,23.698497772216797,98955.82000347541,rebalance
2008-05-15,SELL,XLE,4175.6157269802725,24.42716407775879,101998.45048861716,regime_exit
2008-05-21,BUY,XLE,4024.1603303346683,25.34651756286621,101998.45048861716,rebalance
2008-06-02,BUY,XLE,0.0,24.623558044433594,0.0,rebalance
2008-07-01,BUY,XLE,0.0,25.356382369995117,0.0,rebalance
2008-08-01,SELL,XLE,4024.1603303346683,21.2297306060791,85431.83972867529,rebalance
2008-08-01,BUY,SH,217.7894329032594,392.26806640625,85431.83972867529,rebalance
2008-09-02,BUY,SH,0.0,386.9456481933594,0.0,rebalance
2008-10-01,BUY,SH,0.0,416.6343078613281,0.0,rebalance
2008-11-03,BUY,SH,0.0,471.9776916503906,0.0,rebalance
2008-12-01,BUY,SH,0.0,534.4727783203125,0.0,rebalance
2009-01-02,SELL,SH,217.7894329032594,460.7872619628906,100354.59647194359,rebalance
2009-01-02,BUY,TLT,1432.6605453186216,70.04771423339844,100354.59647194359,rebalance
2009-02-02,SELL,TLT,1432.6605453186216,63.62406921386719,91151.6936953287,rebalance
2009-02-02,BUY,GLD,1026.02090784252,88.83999633789062,91151.6936953287,rebalance
2009-03-02,SELL,GLD,1026.02090784252,90.93000030517578,93296.08146323707,rebalance
2009-03-02,BUY,SH,157.36998580214473,592.845458984375,93296.08146323706,rebalance
2009-04-01,SELL,SH,157.36998580214473,503.46746826171875,79230.66833218843,rebalance
2009-04-01,BUY,GLD,870.3797582628116,91.02999877929688,79230.66833218845,rebalance
2009-05-01,SELL,GLD,870.3797582628116,86.94999694824219,75679.51732476325,rebalance
2009-05-01,BUY,XLE,5535.831234438335,13.670849800109863,75679.51732476325,rebalance
2009-05-29,SELL,XLE,5535.831234438335,14.949409484863281,82757.40796271485,regime_exit
2011-08-30,BUY,GLD,462.07373055522396,179.10000610351562,82757.40796271485,rebalance
2011-09-01,BUY,GLD,0.0,177.8699951171875,0.0,rebalance
2011-09-19,SELL,GLD,462.07373055522396,173.30999755859375,80081.99711441617,regime_exit
2011-09-26,BUY,TLT,1005.8999394324143,79.61228942871094,80081.99711441617,rebalance
2011-10-03,BUY,TLT,0.0,83.11736297607422,0.0,rebalance
2011-10-27,SELL,TLT,1005.8999394324143,74.0477066040039,74484.58358807671,regime_exit
2011-10-31,BUY,TLT,957.4627232838694,77.79371643066406,74484.58358807671,rebalance
2011-11-01,BUY,TLT,0.0,80.39787292480469,0.0,rebalance
2011-11-08,SELL,TLT,957.4627232838694,77.88728332519531,74574.17040172382,regime_exit
2011-11-09,BUY,TLT,938.0078328552485,79.50271606445312,74574.17040172382,rebalance
2011-11-11,SELL,TLT,938.0078328552485,77.84022521972656,73014.74096732018,regime_exit
2011-11-14,BUY,TLT,923.1610504371318,79.09209442138672,73014.74096732018,rebalance
2011-12-01,BUY,TLT,0.0,78.94302368164062,0.0,rebalance
2011-12-05,SELL,TLT,923.1610504371318,79.88763427734375,73749.15237641007,regime_exit
2011-12-08,BUY,XLU,6948.151414853389,10.614212036132812,73749.15237641007,rebalance
2011-12-09,SELL,XLU,6948.151414853389,10.749348640441895,74688.1019648387,regime_exit
2011-12-12,BUY,TLT,938.0043423145679,79.62447357177734,74688.1019648387,rebalance
2011-12-22,SELL,TLT,938.0043423145679,80.6973648071289,75694.4786024297,regime_exit
2015-09-10,BUY,SH,517.9122108109938,146.15310668945312,75694.4786024297,rebalance
2015-10-01,SELL,SH,517.9122108109938,148.0631866455078,76683.73233529576,rebalance
2015-10-01,BUY,TLT,825.7462058531979,92.86598205566406,76683.73233529576,rebalance
2015-10-22,SELL,TLT,825.7462058531979,93.20348358154297,76962.42293975993,regime_exit
2015-12-21,BUY,XLU,5018.474522119161,15.335820198059082,76962.42293975993,rebalance
2015-12-23,SELL,XLU,5018.474522119161,15.70405101776123,78810.37992669421,regime_exit
2015-12-31,BUY,XLU,5043.985304457883,15.624625205993652,78810.37992669421,rebalance
2016-01-04,BUY,XLU,0.0,15.592137336730957,0.0,rebalance
2016-02-01,BUY,XLU,0.0,16.55243492126465,0.0,rebalance
2016-03-01,SELL,XLU,5043.985304457883,16.631858825683594,83890.85150256619,rebalance
2016-03-01,BUY,GLD,712.3278754674668,117.7699966430664,83890.85150256619,rebalance
2016-03-11,SELL,GLD,712.3278754674668,119.41000366210938,85059.0742181928,regime_exit
2018-11-12,BUY,XLU,3919.18311532554,21.703266143798828,85059.0742181928,rebalance
2018-11-28,SELL,XLU,3919.18311532554,21.687437057495117,84997.03713042027,regime_exit
2018-12-19,BUY,SH,811.3630893773143,104.7583236694336,84997.03713042027,rebalance
2019-01-02,BUY,SH,0.0,104.34661865234375,0.0,rebalance
2019-01-31,SELL,SH,811.3630893773143,96.81951904296875,78555.78408272883,regime_exit
2020-03-23,BUY,SH,713.0159035197365,110.17395782470703,78555.78408272883,rebalance
2020-04-01,SELL,SH,713.0159035197365,98.01403045654297,69885.56248358297,rebalance
2020-04-01,BUY,TLT,499.79481471979733,139.82850646972656,69885.56248358297,rebalance
2020-05-01,BUY,TLT,0.0,140.77264404296875,0.0,rebalance
2020-05-26,SELL,TLT,499.79481471979733,136.90028381347656,68422.05198364418,regime_exit
2022-05-09,BUY,SH,1274.973222735976,53.66548156738281,68422.05198364418,rebalance
2022-06-01,SELL,SH,1274.973222735976,51.971492767333984,66262.26162396728,rebalance
2022-06-01,BUY,XLE,1720.6651745690083,38.50967788696289,66262.26162396728,rebalance
2022-07-01,SELL,XLE,1720.6651745690083,31.89320945739746,54877.53481857875,rebalance
2022-07-01,BUY,SH,991.901652481348,55.32558059692383,54877.53481857875,rebalance
2022-08-01,SELL,SH,991.901652481348,51.226139068603516,50811.29199238717,rebalance
2022-08-01,BUY,XLU,1538.6264497736386,33.023799896240234,50811.29199238717,rebalance
2022-08-16,SELL,XLU,1538.6264497736386,34.6074104309082,53247.87704716747,regime_exit
2022-08-17,BUY,XLU,1541.2095370890622,34.549407958984375,53247.87704716747,rebalance
2022-09-01,SELL,XLU,1541.2095370890622,33.6393928527832,51845.35308659511,rebalance
2022-09-01,BUY,SH,976.5644645679772,53.089534759521484,51845.35308659511,rebalance
2022-10-03,SELL,SH,976.5644645679772,57.48964309692383,56142.34252915152,rebalance
2022-10-03,BUY,XLE,1661.0099023714122,33.80012512207031,56142.34252915152,rebalance
2022-11-01,BUY,XLE,0.0,40.36558532714844,0.0,rebalance
2022-11-30,SELL,XLE,1661.0099023714122,40.48998260498047,67254.26205371879,regime_exit
