date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51175021451,100130.51175021451,0.0
2004-10-27,100056.36593779577,100130.51175021451,-0.07404916955154736
2004-10-27,100184.11979783447,100184.11979783447,0.0
2004-11-01,100293.71563755473,100293.71563755473,0.0
2004-11-03,100436.70819329008,100436.70819329008,0.0
2004-11-04,101446.39072999291,101446.39072999291,0.0
2004-11-04,101937.58956113235,101937.58956113235,0.0
2004-11-05,101955.27447072745,101955.27447072745,0.0
2004-11-05,102129.27733934905,102129.27733934905,0.0
2004-11-05,102365.72743631189,102365.72743631189,0.0
2004-11-08,102550.20942589946,102550.20942589946,0.0
2004-11-09,102876.47770540709,102876.47770540709,0.0
2004-11-11,103044.76116911315,103044.76116911315,0.0
2004-11-15,103327.35905602753,103327.35905602753,0.0
2004-11-17,104949.97595347078,104949.97595347078,0.0
2004-11-19,104833.1373985583,104949.97595347078,-0.11132785296137616
2004-11-22,105086.1293664089,105086.1293664089,0.0
2004-11-24,105312.97802683809,105312.97802683809,0.0
2004-11-24,107298.70148491029,107298.70148491029,0.0
2004-11-24,107546.90173749394,107546.90173749394,0.0
2004-11-24,107726.64139015571,107726.64139015571,0.0
2004-11-24,108127.39633470774,108127.39633470774,0.0
2004-11-24,108411.84868420404,108411.84868420404,0.0
2004-11-24,108980.72205076835,108980.72205076835,0.0
2004-11-24,109339.12586260284,109339.12586260284,0.0
2004-11-24,109303.08019492343,109339.12586260284,-0.03296685188859877
2004-11-24,109109.82908312124,109339.12586260284,-0.20971155354739573
2004-11-24,109524.9577342721,109524.9577342721,0.0
2004-11-26,109756.16912052433,109756.16912052433,0.0
2004-11-26,110084.73500011896,110084.73500011896,0.0
2004-11-26,110041.92185283228,110084.73500011896,-0.03889108447836523
2004-11-26,110239.60095577633,110239.60095577633,0.0
2004-11-26,110107.67974505374,110239.60095577633,-0.11966771430487289
2004-11-26,110343.07781968763,110343.07781968763,0.0
2004-11-26,110349.16196011308,110349.16196011308,0.0
2004-11-29,110383.03630628079,110383.03630628079,0.0
2004-11-29,110384.52553771144,110384.52553771144,0.0
2004-11-29,110093.30027319943,110384.52553771144,-0.26382798050122447
2004-11-29,109891.3284858504,110384.52553771144,-0.4467990866097785
2004-11-29,109849.76755862887,110384.52553771144,-0.48445013146328764
2004-11-29,110108.69098741497,110384.52553771144,-0.24988516184927612
2004-11-30,110731.72420061872,110731.72420061872,0.0
2004-11-30,110816.39498244571,110816.39498244571,0.0
2004-11-30,110062.22215858403,110816.39498244571,-0.6805606913860945
2004-11-30,109777.84795531821,110816.39498244571,-0.9371781380291356
2004-12-01,110065.41626353844,110816.39498244571,-0.6776783516791252
2004-12-02,110320.57865447224,110816.39498244571,-0.4474214560508076
2004-12-02,110608.24555812456,110816.39498244571,-0.18783269781887582
2004-12-02,111092.59885615263,111092.59885615263,0.0
2004-12-02,111183.07563810467,111183.07563810467,0.0
2004-12-06,111469.3865370608,111469.3865370608,0.0
2004-12-08,111526.72666740046,111526.72666740046,0.0
2004-12-09,111718.91655213921,111718.91655213921,0.0
2004-12-09,111771.2185577094,111771.2185577094,0.0
2004-12-10,112186.76335888938,112186.76335888938,0.0
2004-12-10,112542.74183166256,112542.74183166256,0.0
2004-12-10,112786.59398727976,112786.59398727976,0.0
2004-12-10,113053.25378608832,113053.25378608832,0.0
2004-12-10,112694.12356306563,113053.25378608832,-0.3176646500614731
2004-12-10,113111.9823245837,113111.9823245837,0.0
2004-12-10,113059.31813371423,113111.9823245837,-0.046559338619270925
2004-12-10,113336.73033958288,113336.73033958288,0.0
