ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,548.8223245193442,5.4882,85.06743936458815,3.0185220869927196,6,profit_target,2,5,100085.06743936459
HOG,2004-10-19,2004-10-27,36.15901065850262,36.71675109863281,82.96687175246494,0.8297,45.44431084992009,1.5424659855814915,8,time_stop,2,5,100130.51175021451
LPX,2004-10-19,2004-10-27,19.536423748150106,19.063575744628906,153.55932276418136,1.5356,-74.14581241875256,-2.4203406397036913,8,time_stop,3,4,100056.36593779577
TTC,2004-10-19,2004-10-27,6.161874083870105,6.434275150299072,486.8648659752849,4.8686,127.75386003871112,4.420750289948798,8,time_stop,2,5,100184.11979783447
MKC,2004-10-28,2004-11-01,11.01943380648453,11.431255340576172,272.74755189022454,2.7275,109.5958397202697,3.7372295285198773,4,profit_target,2,5,100293.71563755473
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,57.24806845590541,0.7,142.99255573534052,4.780949183872768,2,profit_target,3,4,100436.70819329008
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,511.4127253523172,5.1141,1040.7249351096598,11.586402948966374,2,profit_target,3,4,101477.43312839973
OII,2004-11-02,2004-11-04,7.7016916750628726,8.143686294555664,1172.006721147564,11.7201,506.30059754513604,5.738929031967296,2,profit_target,3,4,101983.73372594487
MUR,2004-10-28,2004-11-05,18.683249726855728,18.803184509277344,160.86728154229112,1.6087,17.68490959510864,0.6419374796945478,8,time_stop,3,4,102001.41863553997
XRAY,2004-11-02,2004-11-05,21.184849020847516,21.615785598754883,426.0797137849423,4.2608,179.35253663638414,2.0341734674780674,3,profit_target,3,4,102180.77117217636
SPGI,2004-11-03,2004-11-05,29.53320330654668,30.340547561645508,305.63682217902243,3.0564,243.697764311105,2.733683328282444,2,profit_target,3,4,102424.46893648746
