date,equity,peak,dd
2004-10-25,100059.54720755521,100059.54720755521,0.0
2004-10-27,100091.23899325242,100091.23899325242,0.0
2004-10-27,100039.33692455929,100091.23899325242,-0.05185475693495166
2004-10-27,100128.76462658639,100128.76462658639,0.0
2004-11-01,100238.2999108365,100238.2999108365,0.0
2004-11-03,100381.2130714936,100381.2130714936,0.0
2004-11-04,101421.36297028892,101421.36297028892,0.0
2004-11-04,101927.38381934361,101927.38381934361,0.0
2004-11-05,101945.05895741803,101945.05895741803,0.0
2004-11-05,102124.31239561048,102124.31239561048,0.0
2004-11-05,102367.8755085267,102367.8755085267,0.0
2004-11-08,102557.90718217827,102557.90718217827,0.0
2004-11-09,102893.99043536124,102893.99043536124,0.0
2004-11-11,103075.98588768064,103075.98588768064,0.0
2004-11-15,103271.68986305606,103271.68986305606,0.0
2004-11-17,104407.4170395376,104407.4170395376,0.0
2004-11-19,104325.6375866772,104407.4170395376,-0.07832724453802964
2004-11-22,104499.88040965109,104499.88040965109,0.0
2004-11-24,104656.1692038098,104656.1692038098,0.0
2004-11-24,106024.24571882027,106024.24571882027,0.0
2004-11-24,106195.2448250649,106195.2448250649,0.0
2004-11-24,106319.0775756038,106319.0775756038,0.0
2004-11-24,106595.18018480006,106595.18018480006,0.0
2004-11-24,106791.090674761,106791.090674761,0.0
2004-11-24,107182.89007514103,107182.89007514103,0.0
2004-11-24,107429.73305782229,107429.73305782229,0.0
2004-11-24,107404.7918095355,107429.73305782229,-0.023216336461869214
2004-11-24,107271.07465927972,107429.73305782229,-0.1476857421373024
2004-11-24,107557.0801229503,107557.0801229503,0.0
2004-11-26,107716.25655735588,107716.25655735588,0.0
2004-11-26,107942.45625291998,107942.45625291998,0.0
2004-11-26,107912.96961068778,107942.45625291998,-0.02731700135033401
2004-11-26,108049.16185696796,108049.16185696796,0.0
2004-11-26,107958.30393621368,108049.16185696796,-0.08408942669500177
2004-11-26,108121.18403259292,108121.18403259292,0.0
2004-11-26,108125.37435457075,108125.37435457075,0.0
2004-11-29,108148.70458814617,108148.70458814617,0.0
2004-11-29,108149.73026453717,108149.73026453717,0.0
2004-11-29,107949.15507378701,108149.73026453717,-0.1854606481768767
2004-11-29,107810.0513121626,108149.73026453717,-0.3140821077812256
2004-11-29,107781.42710979753,108149.73026453717,-0.34054930496706654
2004-11-29,107959.68177470092,108149.73026453717,-0.17572719725826833
2004-11-30,108388.60617588,108388.60617588,0.0
2004-11-30,108446.9406371335,108446.9406371335,0.0
2004-11-30,107927.34858397524,108446.9406371335,-0.47912098774352374
2004-11-30,107731.4272096362,108446.9406371335,-0.6597820310039337
2004-12-01,107929.40231238742,108446.9406371335,-0.4772272243970281
