ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,548.8223245193442,5.4882,85.06743936458815,3.0185220869927196,6,profit_target,2,5,100085.06743936459
HOG,2004-10-19,2004-10-27,36.15902232500657,36.71674728393555,82.96684498367324,0.8297,45.443011761149414,1.5424226736995383,8,time_stop,2,5,100130.51045112574
LPX,2004-10-19,2004-10-27,19.536425685191265,19.063583374023438,153.55930753873872,1.5356,-74.1449309533358,-2.4203112625982808,8,time_stop,3,4,100056.3655201724
TTC,2004-10-19,2004-10-27,6.161875035368717,6.434274196624756,486.8647907950448,4.8686,127.75291274971656,4.4207186885889005,8,time_stop,2,5,100184.11843292211
MKC,2004-10-28,2004-11-01,11.019439378849677,11.431260108947754,272.7474102499587,2.7275,109.59556351899805,3.7372203425204273,4,profit_target,2,5,100293.71399644112
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,57.24806767595549,0.7,142.99255377766752,4.780949183872768,2,profit_target,3,4,100436.70655021879
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,511.4127169840322,5.1141,1040.7249180801996,11.586402948966374,2,profit_target,3,4,101477.431468299
OII,2004-11-02,2004-11-04,7.701694539373171,8.143685340881348,1172.0062660930132,11.7201,506.2959262621264,5.738877324316082,2,profit_target,3,4,101983.72739456112
MUR,2004-10-28,2004-11-05,18.683251674601998,18.803192138671875,160.8672625800663,1.6087,17.685821501703302,0.6419678231542765,8,time_stop,3,4,102001.41321606282
XRAY,2004-11-02,2004-11-05,21.184850938130275,21.615779876708984,426.0796682516734,4.2608,179.3492625071456,2.03413722304313,3,profit_target,3,4,102180.76247856997
SPGI,2004-11-03,2004-11-05,29.533205211225148,30.34056282043457,305.6367974664965,3.0564,243.70182611431,2.7337283692545404,2,profit_target,3,4,102424.46430468428
IRM,2004-11-03,2004-11-08,7.939565516646765,8.116804122924805,1136.8927230028032,11.3689,190.13235448263384,2.2323464162670597,5,profit_target,3,4,102614.59665916691
FCN,2004-11-03,2004-11-09,18.790000915527344,19.5,480.384982430767,4.8038,336.26904789594994,3.7786005847713398,6,profit_target,3,4,102950.86570706287
