ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,519.6582661237348,5.1966,80.54701142578922,3.0185220869927196,6,profit_target,2,5,94766.61259355182
HOG,2004-10-19,2004-10-27,36.15902232500657,36.71674728393555,78.5580412526617,0.7856,43.02819991865518,1.5424226736995383,8,time_stop,2,5,94809.64079347048
LPX,2004-10-19,2004-10-27,19.536425685191265,19.063583374023438,145.39926664358876,1.454,-70.20491794829759,-2.4203112625982808,8,time_stop,3,4,94739.43587552218
TTC,2004-10-19,2004-10-27,6.161875035368717,6.434274196624756,460.9931151084769,4.6099,120.96420674927289,4.4207186885889005,8,time_stop,2,5,94860.40008227144
MKC,2004-10-28,2004-11-01,11.019439378849677,11.431260108947754,258.25379174282625,2.5825,103.77172714869911,3.7372203425204273,4,profit_target,2,5,94964.17180942015
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,54.205942904155116,0.7,135.356825706554,4.780949183872768,2,profit_target,3,4,95099.5286351267
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,484.2365805988333,4.8424,985.4214784629451,11.586402948966374,2,profit_target,3,4,96084.95011358964
OII,2004-11-02,2004-11-04,7.701694539373171,8.143685340881348,1109.726621739457,11.0973,479.3916927801894,5.738877324316082,2,profit_target,3,4,96564.34180636983
MUR,2004-10-28,2004-11-05,18.683251674601998,18.803192138671875,152.3188817467325,1.5232,16.74600854584054,0.6419678231542765,8,time_stop,3,4,96581.08781491568
XRAY,2004-11-02,2004-11-05,21.184850938130275,21.615779876708984,403.4380741128845,4.0344,169.81876031857524,2.03413722304313,3,profit_target,3,4,96750.90657523426
SPGI,2004-11-03,2004-11-05,29.533205211225148,30.34056282043457,289.39545849223657,2.894,230.75167089943432,2.7337283692545404,2,profit_target,3,4,96981.6582461337
IRM,2004-11-03,2004-11-08,7.939565516646765,8.116804122924805,1076.4789893008526,10.7648,180.028845858267,2.2323464162670597,5,profit_target,3,4,97161.68709199196
FCN,2004-11-03,2004-11-09,18.790000915527344,19.5,454.85763951108066,4.5486,318.39993122315,3.7786005847713398,6,profit_target,3,4,97480.0870232151
HBAN,2004-11-04,2004-11-11,11.015932458595096,11.247845649719238,776.9616970085308,7.7696,172.41804956439242,2.105252478587905,7,profit_target,3,4,97652.5050727795
TGT,2004-11-12,2004-11-15,30.655900495212116,31.58979034423828,286.68952190534384,2.8669,264.86953911051177,3.0463624748913243,3,profit_target,3,4,97917.37461189002
NTAP,2004-11-11,2004-11-17,18.46254656444653,21.707256317138672,475.1894762439757,4.7519,1537.100033183059,17.574551491940472,6,profit_target,3,4,99454.47464507307
VFC,2004-11-11,2004-11-19,7.149835545420378,7.069631576538086,1227.0502973608654,12.2705,-110.68480684014634,-1.1217596317115868,8,time_stop,3,4,99343.78983823293
VRTX,2004-11-18,2004-11-22,10.569999694824219,10.859999656677246,846.8214736505187,8.4682,237.10998031846967,2.7436137202069246,4,profit_target,3,4,99580.89981855139
HL,2004-11-16,2004-11-24,6.3502252101078405,6.229712009429932,1387.7560910820744,13.8776,-181.1204892073851,-1.8977783730580833,8,time_stop,3,4,99399.779329344
JBHT,2004-11-16,2004-11-24,16.090427695130618,16.038747787475586,547.6898365937788,5.4769,-33.78145854470387,-0.3211841762955235,8,time_stop,3,4,99365.9978707993
AEP,2004-11-19,2004-11-24,14.847889808426343,15.286504745483398,783.6920723152115,7.8369,335.90212824749756,2.9540557124025564,5,profit_target,3,4,99701.8999990468
