date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51171709933,100130.51171709933,0.0
2004-10-27,100056.36473870018,100130.51171709933,-0.07405033403667974
2004-10-27,100184.11764211592,100184.11764211592,0.0
2004-11-01,100293.71243659606,100293.71243659606,0.0
2004-11-03,100436.70498923949,100436.70498923949,0.0
2004-11-04,100942.99919903444,100942.99919903444,0.0
2004-11-05,100960.68536059633,100960.68536059633,0.0
2004-11-05,101140.03297448503,101140.03297448503,0.0
2004-11-08,101330.16802751458,101330.16802751458,0.0
2004-11-11,101513.27939189652,101513.27939189652,0.0
2004-11-15,101790.68848988,101790.68848988,0.0
2004-11-19,101674.76975368171,101790.68848988,-0.11387950893938191
2004-11-22,101919.45953251881,101919.45953251881,0.0
2004-11-24,102138.86035886625,102138.86035886625,0.0
2004-11-24,104059.3892054372,104059.3892054372,0.0
2004-11-24,104299.44279709604,104299.44279709604,0.0
2004-11-24,104473.28085629572,104473.28085629572,0.0
2004-11-24,104860.88173787149,104860.88173787149,0.0
2004-11-24,105207.52413700594,105207.52413700594,0.0
2004-11-24,105757.73465369474,105757.73465369474,0.0
2004-11-24,106032.85873789381,106032.85873789381,0.0
2004-11-24,105997.45344626223,106032.85873789381,-0.03339086774893481
2004-11-24,105807.60682576193,106032.85873789381,-0.21243595128250217
2004-11-24,106209.11129992065,106209.11129992065,0.0
2004-11-26,106440.36595377802,106440.36595377802,0.0
2004-11-26,106312.77224190393,106440.36595377802,-0.11987342464558214
2004-11-26,106318.66099041178,106440.36595377802,-0.11434098546700766
2004-11-26,106277.25197373016,106440.36595377802,-0.1532444750506481
2004-11-26,106468.4426339709,106468.4426339709,0.0
2004-11-26,106786.21588548383,106786.21588548383,0.0
2004-11-26,107009.82573669318,107009.82573669318,0.0
2004-11-29,106814.48185918733,107009.82573669318,-0.18254760827898742
2004-11-29,106532.81940060752,107009.82573669318,-0.44575938032024576
