ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,548.8223245193442,5.4882,85.06743936458815,3.0185220869927196,6,profit_target,2,5,100085.06743936459
HOG,2004-10-19,2004-10-27,36.15901843617192,36.71675491333008,82.96685390660188,0.8297,45.44397227969772,1.5424546939587913,8,time_stop,2,5,100130.51141164429
LPX,2004-10-19,2004-10-27,19.536417937026634,19.06357192993164,153.55936844052735,1.5356,-74.14552790353761,-2.420331140637744,8,time_stop,3,4,100056.36588374074
TTC,2004-10-19,2004-10-27,6.161874559619411,6.434274673461914,486.86482838516196,4.8686,127.75338639417707,4.420734489267622,8,time_stop,2,5,100184.11927013492
MKC,2004-10-28,2004-11-01,11.019437521394627,11.431257247924805,272.74745850400416,2.7275,109.59530918787996,3.737211865221026,4,profit_target,2,5,100293.7145793228
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,57.248068154362805,0.7,142.99255497846906,4.780949183872768,2,profit_target,3,4,100436.70713430126
HLX_GAP,2004-11-02,2004-11-03,17.0049991607666,19.125,265.4053148371967,1.327,560.0054370434895,12.466927044163564,1,gap_profit,-2,4,100996.71257134476
OII,2004-11-02,2004-11-04,7.7016950167582205,8.143683433532715,1172.0062002582956,11.7201,506.293102899472,5.7388460048439445,2,profit_target,3,4,101503.00567424424
FCN_GAP,2004-11-03,2004-11-04,18.8799991607666,19.329999923706055,239.0475294854977,1.1952,105.18109535241041,2.383478723211878,1,gap_profit,-2,4,101608.18676959665
SPGI_GAP,2004-11-03,2004-11-04,29.57460594177246,30.212892532348633,152.60447307244968,0.763,95.87934409336265,2.1582251740998792,1,gap_profit,-2,4,101704.06611369002
MUR,2004-10-28,2004-11-05,18.683253622348275,18.803184509277344,160.8672471538331,1.6087,17.68427915745861,0.6419164956665346,8,time_stop,3,4,101721.75039284748
XRAY,2004-11-02,2004-11-05,21.18485285541303,21.61577796936035,426.07963216665297,4.2608,179.34761772038107,2.0341189853353816,3,profit_target,3,4,101901.09801056786
IRM,2004-11-03,2004-11-08,7.9395636174293225,8.116808891296387,1136.8930015654485,11.3689,190.13998140436212,2.232430929553441,5,profit_target,3,4,102091.23799197223
HBAN,2004-11-04,2004-11-11,11.015930602056951,11.247851371765137,825.1417387945193,8.2514,183.11608979163046,2.1053216299754136,7,profit_target,3,4,102274.35408176386
TGT,2004-11-12,2004-11-15,30.65591355406059,31.589805603027344,300.2582797321178,3.0026,277.40623728093914,3.0463683534332446,3,profit_target,3,4,102551.7603190448
NTAP_GAP,2004-11-11,2004-11-15,18.35243034362793,18.69011878967285,250.3268299412917,1.2516,82.02920990681329,1.840020311872042,4,gap_profit,-2,4,102633.78952895162
VFC,2004-11-11,2004-11-19,7.149831721581956,7.069633483886719,1285.0947794397232,12.8509,-115.91328437681237,-1.121680073296782,8,time_stop,3,4,102517.8762445748
