date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51141164429,100130.51141164429,0.0
2004-10-27,100056.36588374074,100130.51141164429,-0.074048885657565
2004-10-27,100184.11927013492,100184.11927013492,0.0
2004-11-01,100293.7145793228,100293.7145793228,0.0
2004-11-03,100436.70713430126,100436.70713430126,0.0
2004-11-04,101477.4320584299,101477.4320584299,0.0
2004-11-04,101983.72516132938,101983.72516132938,0.0
2004-11-05,102001.40944048684,102001.40944048684,0.0
2004-11-05,102180.75705820722,102180.75705820722,0.0
2004-11-05,102424.45598585893,102424.45598585893,0.0
2004-11-08,102614.5959672633,102614.5959672633,0.0
2004-11-09,102950.86501711357,102950.86501711357,0.0
2004-11-11,103132.96576686806,103132.96576686806,0.0
2004-11-15,103412.70087964265,103412.70087964265,0.0
2004-11-17,105036.0690956734,105036.0690956734,0.0
2004-11-19,104919.1798000954,105036.0690956734,-0.1112849105877457
2004-11-22,105169.59689158258,105169.59689158258,0.0
2004-11-24,105394.13601955901,105394.13601955901,0.0
2004-11-24,107359.65022487483,107359.65022487483,0.0
2004-11-24,107605.32893061792,107605.32893061792,0.0
2004-11-24,107783.23624513113,107783.23624513113,0.0
2004-11-24,108179.90983147711,108179.90983147711,0.0
2004-11-24,108461.47034842774,108461.47034842774,0.0
2004-11-24,109024.5555115475,109024.5555115475,0.0
2004-11-24,109379.31633288118,109379.31633288118,0.0
2004-11-24,109343.64400045203,109379.31633288118,-0.03261341689189985
2004-11-24,109152.35727036723,109379.31633288118,-0.20749723999301137
2004-11-24,109563.26524365826,109563.26524365826,0.0
2004-11-26,109792.11560386949,109792.11560386949,0.0
2004-11-26,110117.32571550464,110117.32571550464,0.0
2004-11-26,110074.94661429981,110117.32571550464,-0.03848540720496662
2004-11-26,110270.61167365753,110270.61167365753,0.0
2004-11-26,110140.03062173327,110270.61167365753,-0.11841872457433764
2004-11-26,110373.0333954946,110373.0333954946,0.0
2004-11-26,110379.05473860988,110379.05473860988,0.0
2004-11-29,110412.59010338328,110412.59010338328,0.0
2004-11-29,110414.07136572702,110414.07136572702,0.0
2004-11-29,110125.81822685033,110414.07136572702,-0.2610655827751404
2004-11-29,109925.90734697542,110414.07136572702,-0.4421212013228328
2004-11-29,109884.75962774016,110414.07136572702,-0.47938793619303505
2004-11-29,110141.04115643233,110414.07136572702,-0.2472784545643017
2004-11-30,110757.71727390226,110757.71727390226,0.0
2004-11-30,110841.52384469153,110841.52384469153,0.0
2004-11-30,110095.02056584897,110841.52384469153,-0.673487022687041
2004-11-30,109813.48400303842,110841.52384469153,-0.9274862037205247
2004-12-01,110098.11277834419,110841.52384469153,-0.6706972626873932
2004-12-02,110350.67653063717,110841.52384469153,-0.4428370316724697
2004-12-02,110635.40510370338,110841.52384469153,-0.18595805420084421
2004-12-02,111114.57241182632,111114.57241182632,0.0
2004-12-02,111204.08387593369,111204.08387593369,0.0
2004-12-06,111487.324646472,111487.324646472,0.0
2004-12-08,111544.051714891,111544.051714891,0.0
2004-12-09,111734.19593338254,111734.19593338254,0.0
2004-12-09,111785.92835060366,111785.92835060366,0.0
2004-12-10,112196.97678935564,112196.97678935564,0.0
2004-12-10,112549.10322497162,112549.10322497162,0.0
2004-12-10,112790.31449702958,112790.31449702958,0.0
2004-12-10,113054.08059784379,113054.08059784379,0.0
2004-12-10,112698.78943968429,113054.08059784379,-0.31426654949619975
2004-12-10,113112.12285128045,113112.12285128045,0.0
2004-12-10,113060.02529496365,113112.12285128045,-0.046058331329614274
2004-12-10,113334.44176733715,113334.44176733715,0.0
2004-12-13,113953.87906413154,113953.87906413154,0.0
2004-12-13,114237.42620625874,114237.42620625874,0.0
2004-12-13,114513.345489511,114513.345489511,0.0
2004-12-13,114782.42004674263,114782.42004674263,0.0
2004-12-13,114999.39891066491,114999.39891066491,0.0
2004-12-13,115424.43156725328,115424.43156725328,0.0
2004-12-13,115728.80138584129,115728.80138584129,0.0
2004-12-13,115709.20449606521,115728.80138584129,-0.016933459554929253
2004-12-13,115937.29585450768,115937.29585450768,0.0
2004-12-13,116212.10204774384,116212.10204774384,0.0
2004-12-14,116519.90563053529,116519.90563053529,0.0
2004-12-14,116906.7028799058,116906.7028799058,0.0
2004-12-14,117519.71690552756,117519.71690552756,0.0
2004-12-14,117891.47904065058,117891.47904065058,0.0
2004-12-14,118173.85144838168,118173.85144838168,0.0
2004-12-14,118504.50142124729,118504.50142124729,0.0
2004-12-14,118739.29744438664,118739.29744438664,0.0
2004-12-15,119215.65278194971,119215.65278194971,0.0
2004-12-15,119543.5093276506,119543.5093276506,0.0
2004-12-15,120168.81166368289,120168.81166368289,0.0
2004-12-16,120434.21423305744,120434.21423305744,0.0
2004-12-16,120424.08734806675,120434.21423305744,-0.008408644549376088
2004-12-16,120894.18105194463,120894.18105194463,0.0
2004-12-16,121010.32754209859,121010.32754209859,0.0
2004-12-16,120347.6210507343,121010.32754209859,-0.5476445728433649
2004-12-16,120367.24008638744,121010.32754209859,-0.5314318775704723
2004-12-16,120044.822168986,121010.32754209859,-0.7978702253960128
2004-12-16,120032.44566614609,121010.32754209859,-0.8080978671942725
2004-12-16,120020.21157246882,121010.32754209859,-0.8182078255141614
2004-12-16,120019.1051210267,121010.32754209859,-0.8191221701528294
2004-12-17,120019.46127135203,121010.32754209859,-0.8188278561611534
2004-12-17,120157.38104243313,121010.32754209859,-0.7048543020997304
2004-12-17,120169.10640337912,121010.32754209859,-0.6951647481714441
2004-12-20,120279.16128306606,121010.32754209859,-0.6042180645930086
2004-12-20,120271.45804143236,121010.32754209859,-0.6105838366640103
2004-12-20,120309.21513505718,121010.32754209859,-0.579382290158248
2004-12-20,119920.63687072558,121010.32754209859,-0.9004939441998601
2004-12-21,119885.57970860749,121010.32754209859,-0.9294643327858179
2004-12-21,119874.8612910577,121010.32754209859,-0.938321773111358
2004-12-22,119999.33096360968,121010.32754209859,-0.8354630542894682
2004-12-22,120691.97754465054,121010.32754209859,-0.26307671742917926
2004-12-23,120931.03380805344,121010.32754209859,-0.0655264188236831
2004-12-23,121343.07552789368,121343.07552789368,0.0
2004-12-23,121419.71276162064,121419.71276162064,0.0
2004-12-23,121721.68599541247,121721.68599541247,0.0
2004-12-27,121783.3388156164,121783.3388156164,0.0
2004-12-28,122014.58825378183,122014.58825378183,0.0
2004-12-28,122350.31111912569,122350.31111912569,0.0
2004-12-28,121946.94670225683,122350.31111912569,-0.3296799273980832
2004-12-28,122249.36507552488,122350.31111912569,-0.0825057514586317
2004-12-28,122392.79248404686,122392.79248404686,0.0
2004-12-28,122570.349285135,122570.349285135,0.0
2004-12-28,122786.1771162542,122786.1771162542,0.0
2004-12-28,122938.92065774175,122938.92065774175,0.0
2004-12-29,123073.7184472278,123073.7184472278,0.0
2004-12-29,123209.55215923296,123209.55215923296,0.0
2004-12-29,122959.95195493191,123209.55215923296,-0.2025818614927478
2004-12-29,122930.16535229466,123209.55215923296,-0.22675742427602522
2004-12-29,123095.42934331142,123209.55215923296,-0.09262497421794812
2004-12-29,123355.69264763202,123355.69264763202,0.0
2004-12-30,123519.4751808833,123519.4751808833,0.0
2004-12-30,123622.5081653953,123622.5081653953,0.0
2004-12-30,123641.89667878108,123641.89667878108,0.0
2005-01-05,122996.42168847454,123641.89667878108,-0.522051996649217
2005-01-06,123124.20143242883,123641.89667878108,-0.4187053581822733
2005-01-06,122278.06646961825,123641.89667878108,-1.1030485990570245
2005-01-07,122357.50975140178,123641.89667878108,-1.0387958789698157
2005-01-07,122457.21489302632,123641.89667878108,-0.9581556232775487
2005-01-07,122549.2256578235,123641.89667878108,-0.8837384821071763
2005-01-10,122690.37255193255,123641.89667878108,-0.7695806619018186
2005-01-10,122828.65309821682,123641.89667878108,-0.6577411075123255
2005-01-10,122973.11507172421,123641.89667878108,-0.5409020930780009
2005-01-10,123081.26926188469,123641.89667878108,-0.4534283539445242
2005-01-10,123299.12949355807,123641.89667878108,-0.2772257579593056
2005-01-12,123320.0179602439,123641.89667878108,-0.2603314306746769
2005-01-12,123212.72010502759,123641.89667878108,-0.34711257695154835
2005-01-12,122896.1249335273,123641.89667878108,-0.6031707417035788
