ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,519.6584685879693,5.1966,80.54704280773785,3.0185220869927196,6,profit_target,2,5,94766.6495156041
HOG,2004-10-19,2004-10-27,36.15902232500657,36.71676254272461,78.55807185968696,0.7856,43.0294153839345,1.5424648728190977,8,time_stop,2,5,94809.67893098804
LPX,2004-10-19,2004-10-27,19.53642762223242,19.06357192993164,145.39930887627133,1.454,-70.20688394750684,-2.420379515867427,8,time_stop,3,4,94739.47204704053
TTC,2004-10-19,2004-10-27,6.161875511118023,6.434274673461914,460.9932591235505,4.6099,120.96424504020008,4.420718364926309,8,time_stop,2,5,94860.43629208073
MKC,2004-10-28,2004-11-01,11.019434735212055,11.431252479553223,258.25399915195,2.5825,103.77103940632232,3.7371948220286146,4,profit_target,2,5,94964.20733148705
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,54.20596359547471,0.7,135.35687764173144,4.780949183872768,2,profit_target,3,4,95099.56420912879
OII,2004-11-02,2004-11-04,7.7016950167582205,8.143684387207031,1109.7269680553156,11.0973,479.3902543002833,5.738858387498858,2,profit_target,3,4,96109.20177407282
MUR,2004-10-28,2004-11-05,18.6832438836169,18.803186416625977,152.31900340699826,1.5232,16.7463370599836,0.6419791646259725,8,time_stop,3,4,96216.73084030095
XRAY,2004-11-02,2004-11-05,21.18485285541303,21.61577796936035,403.4381885097687,4.0344,169.81726546917523,2.0341189853353816,3,profit_target,3,4,96386.54810577013
IRM,2004-11-03,2004-11-08,7.9395659914511265,8.116806983947754,1076.4793275900117,10.7648,180.03147114825566,2.2323763375412513,5,profit_target,3,4,96566.57957691838
HBAN,2004-11-04,2004-11-11,11.015930602056951,11.247845649719238,781.2942317530981,7.8129,173.3809466777589,2.105269686602628,7,profit_target,3,4,96739.96052359614
TGT,2004-11-12,2004-11-15,30.6559023607619,31.58980369567871,284.01044420951973,2.8401,262.3976285354918,3.0463997566490186,3,profit_target,3,4,97002.35815213162
