date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51171709933,100130.51171709933,0.0
2004-10-27,100056.36473870018,100130.51171709933,-0.07405033403667974
2004-10-27,100184.11764211592,100184.11764211592,0.0
2004-11-01,100293.71243659606,100293.71243659606,0.0
2004-11-03,100436.70498923949,100436.70498923949,0.0
2004-11-04,101477.42989113354,101477.42989113354,0.0
2004-11-04,101983.72410092849,101983.72410092849,0.0
2004-11-05,102163.0717148172,102163.0717148172,0.0
2004-11-05,102406.76939684729,102406.76939684729,0.0
2004-11-05,102424.45555840917,102424.45555840917,0.0
2004-11-08,102614.59061143872,102614.59061143872,0.0
2004-11-11,102796.68666198493,102796.68666198493,0.0
2004-11-15,103075.51256449119,103075.51256449119,0.0
2004-11-17,104693.57584853428,104693.57584853428,0.0
2004-11-19,104577.0628687877,104693.57584853428,-0.11128952163707102
2004-11-22,104826.66342017069,104826.66342017069,0.0
2004-11-24,105003.99323893979,105003.99323893979,0.0
2004-11-24,105227.80101126016,105227.80101126016,0.0
2004-11-24,107186.90613398836,107186.90613398836,0.0
2004-11-24,107431.7815088039,107431.7815088039,0.0
2004-11-24,107827.16784940736,107827.16784940736,0.0
2004-11-24,108388.42075091769,108388.42075091769,0.0
2004-11-24,108669.06640535078,108669.06640535078,0.0
2004-11-24,109022.66570307332,109022.66570307332,0.0
2004-11-24,108987.10802795898,109022.66570307332,-0.032614938265388325
2004-11-24,109396.67723257003,109396.67723257003,0.0
2004-11-26,109720.83335314231,109720.83335314231,0.0
2004-11-26,109948.93468497143,109948.93468497143,0.0
2004-11-26,109906.69461493222,109948.93468497143,-0.038417898418247165
2004-11-26,110101.72558390943,110101.72558390943,0.0
2004-11-26,109971.57114514157,110101.72558390943,-0.11821289637160763
2004-11-26,110203.82111320016,110203.82111320016,0.0
2004-11-26,110209.82804524897,110209.82804524897,0.0
2004-11-29,110168.81694174567,110209.82804524897,-0.03721183875404125
