date,equity,peak,dd
2004-10-25,100080.54704280774,100080.54704280774,0.0
2004-10-27,100123.57645819167,100123.57645819167,0.0
2004-10-27,100053.36957424416,100123.57645819167,-0.07012023184851632
2004-10-27,100174.33381928437,100174.33381928437,0.0
2004-11-01,100278.10485869068,100278.10485869068,0.0
2004-11-03,100413.46173633242,100413.46173633242,0.0
2004-11-04,101398.88358339973,101398.88358339973,0.0
2004-11-04,101878.2738377,101878.2738377,0.0
2004-11-05,101895.02017476,101895.02017476,0.0
2004-11-05,102064.83744022917,102064.83744022917,0.0
2004-11-05,102295.58527716,102295.58527716,0.0
2004-11-08,102475.61674830825,102475.61674830825,0.0
2004-11-09,102794.0167986313,102794.0167986313,0.0
2004-11-11,102966.43638421013,102966.43638421013,0.0
2004-11-15,103231.30929172282,103231.30929172282,0.0
2004-11-17,104768.41040938451,104768.41040938451,0.0
2004-11-19,104657.72732723519,104768.41040938451,-0.10564547244424555
2004-11-22,104894.83739871497,104894.83739871497,0.0
2004-11-24,105107.44540884063,105107.44540884063,0.0
2004-11-24,106968.51322365271,106968.51322365271,0.0
2004-11-24,107201.13457378966,107201.13457378966,0.0
2004-11-24,107369.59047464405,107369.59047464405,0.0
2004-11-24,107745.19093853784,107745.19093853784,0.0
2004-11-24,108011.79255786283,108011.79255786283,0.0
2004-11-24,108544.95931113313,108544.95931113313,0.0
2004-11-24,108880.8638365584,108880.8638365584,0.0
2004-11-24,108847.08553724234,108880.8638365584,-0.031023173518140115
2004-11-24,108665.96300792861,108880.8638365584,-0.1973724500867104
2004-11-24,109055.036598619,109055.036598619,0.0
2004-11-26,109271.72331045721,109271.72331045721,0.0
2004-11-26,109579.65804860972,109579.65804860972,0.0
2004-11-26,109539.53175092803,109579.65804860972,-0.036618381911626495
2004-11-26,109724.80300311568,109724.80300311568,0.0
2004-11-26,109601.1617366655,109724.80300311568,-0.1126830607722059
2004-11-26,109821.78946083481,109821.78946083481,0.0
2004-11-26,109827.49579473342,109827.49579473342,0.0
2004-11-29,109859.24542685793,109859.24542685793,0.0
2004-11-29,109860.64178858759,109860.64178858759,0.0
2004-11-29,109587.7043328245,109860.64178858759,-0.2484397062674295
2004-11-29,109398.41158435468,109860.64178858759,-0.42074231199414586
2004-11-29,109359.45275341759,109860.64178858759,-0.45620435763926376
2004-11-29,109602.1156165755,109860.64178858759,-0.2353219203921914
2004-11-30,110186.02188976656,110186.02188976656,0.0
2004-11-30,110265.37816252661,110265.37816252661,0.0
2004-11-30,109558.55154349587,110265.37816252661,-0.6410231668447319
2004-11-30,109291.97144976811,110265.37816252661,-0.8827854481428785
2004-12-01,109561.47638667542,110265.37816252661,-0.6383706178503907
2004-12-02,109800.62135445746,110265.37816252661,-0.4214893340175408
2004-12-02,110070.21652717682,110265.37816252661,-0.17699266859823895
2004-12-02,110523.92915484258,110523.92915484258,0.0
2004-12-02,110608.66366244058,110608.66366244058,0.0
2004-12-06,110876.85794953792,110876.85794953792,0.0
2004-12-08,110930.55197978028,110930.55197978028,0.0
2004-12-09,111110.58947542876,111110.58947542876,0.0
2004-12-09,111159.53036446702,111159.53036446702,0.0
2004-12-10,111548.7359156673,111548.7359156673,0.0
2004-12-10,111882.14459982305,111882.14459982305,0.0
2004-12-10,112110.5380611104,112110.5380611104,0.0
2004-12-10,112360.29111019742,112360.29111019742,0.0
2004-12-10,112023.8807343058,112360.29111019742,-0.2994032612123464
2004-12-10,112415.24987611554,112415.24987611554,0.0
2004-12-10,112365.92288893828,112415.24987611554,-0.043879266586716766
2004-12-10,112625.74890308522,112625.74890308522,0.0
2004-12-13,113212.27099332155,113212.27099332155,0.0
2004-12-13,113480.75507870622,113480.75507870622,0.0
2004-12-13,113742.00753147369,113742.00753147369,0.0
2004-12-13,113996.7843671969,113996.7843671969,0.0
2004-12-13,114202.23199169607,114202.23199169607,0.0
2004-12-13,114604.68817774185,114604.68817774185,0.0
2004-12-13,114892.88331536108,114892.88331536108,0.0
2004-12-13,114874.3198026391,114892.88331536108,-0.016157234622634065
2004-12-13,115090.29164496085,115090.29164496085,0.0
2004-12-13,115350.49067539586,115350.49067539586,0.0
2004-12-14,115641.9375998062,115641.9375998062,0.0
2004-12-14,116008.18945539279,116008.18945539279,0.0
2004-12-14,116588.59117094304,116588.59117094304,0.0
2004-12-14,116940.58903554994,116940.58903554994,0.0
2004-12-14,117207.9630239166,117207.9630239166,0.0
2004-12-14,117521.03378697655,117521.03378697655,0.0
2004-12-14,117743.35383685063,117743.35383685063,0.0
2004-12-15,118194.39596029914,118194.39596029914,0.0
2004-12-15,118504.83355469524,118504.83355469524,0.0
2004-12-15,119096.90946300897,119096.90946300897,0.0
2004-12-16,119348.21445050703,119348.21445050703,0.0
2004-12-16,119338.6276402144,119348.21445050703,-0.008032638223178469
2004-12-16,119783.74186504925,119783.74186504925,0.0
2004-12-16,119893.71870292288,119893.71870292288,0.0
2004-12-16,119266.22862505056,119893.71870292288,-0.5233719369628882
2004-12-16,119284.80102090836,119893.71870292288,-0.5078812206361878
2004-12-16,118979.51699958053,119893.71870292288,-0.7625100907976591
2004-12-16,118967.80735517904,119893.71870292288,-0.7722767779337084
2004-12-16,118956.21779242695,119893.71870292288,-0.7819433083220201
2004-12-16,118955.16742774182,119893.71870292288,-0.7828193881504648
2004-12-17,118955.50253037838,119893.71870292288,-0.7825398884067071
2004-12-17,119086.09676666254,119893.71870292288,-0.6736148857485186
2004-12-17,119097.19258044727,119893.71870292288,-0.6643601775746673
2004-12-20,119201.39414656952,119893.71870292288,-0.5774485634804806
2004-12-20,119194.10134616055,119893.71870292288,-0.5835312844836114
2004-12-20,119229.84955731963,119893.71870292288,-0.5537147006410015
2004-12-20,118861.92031164582,119893.71870292288,-0.8605942016309346
2004-12-21,118828.72424879378,119893.71870292288,-0.8882821098976729
2004-12-21,118818.57761225676,119893.71870292288,-0.8967451358566525
2004-12-22,118936.43565613776,119893.71870292288,-0.7984430353329084
2004-12-22,119592.27479446206,119893.71870292288,-0.25142593934194796
