date,equity,peak,dd
2004-10-25,100082.00268888242,100082.00268888242,0.0
2004-10-27,100125.80943736655,100125.80943736655,0.0
2004-10-27,100054.3351729228,100125.80943736655,-0.07138445606121237
2004-10-27,100177.48594925283,100177.48594925283,0.0
2004-11-01,100283.13283494065,100283.13283494065,0.0
2004-11-03,100420.94853458594,100420.94853458594,0.0
2004-11-04,101424.1789456923,101424.1789456923,0.0
2004-11-04,101912.23167315766,101912.23167315766,0.0
2004-11-05,101929.27883541728,101929.27883541728,0.0
2004-11-05,102102.16504202678,102102.16504202678,0.0
2004-11-05,102337.08415437427,102337.08415437427,0.0
2004-11-08,102520.3739049025,102520.3739049025,0.0
2004-11-09,102844.52808753254,102844.52808753254,0.0
2004-11-11,103020.06819252743,103020.06819252743,0.0
2004-11-15,103289.72513488062,103289.72513488062,0.0
2004-11-17,104854.60737333546,104854.60737333546,0.0
2004-11-19,104741.92931255467,104854.60737333546,-0.10746123952340764
2004-11-22,104983.3244900626,104983.3244900626,0.0
2004-11-24,105199.77402365253,105199.77402365253,0.0
2004-11-24,107094.47557005579,107094.47557005579,0.0
2004-11-24,107331.30307424317,107331.30307424317,0.0
2004-11-24,107502.8008243042,107502.8008243042,0.0
2004-11-24,107885.1832336678,107885.1832336678,0.0
2004-11-24,108156.59981535908,108156.59981535908,0.0
2004-11-24,108699.39840029646,108699.39840029646,0.0
2004-11-24,109041.37805883381,109041.37805883381,0.0
2004-11-24,109006.99091310141,109041.37805883381,-0.03153586862580253
2004-11-24,108822.595775016,109041.37805883381,-0.20064152499958848
2004-11-24,109218.69974125462,109218.69974125462,0.0
2004-11-26,109434.97387236373,109434.97387236373,0.0
2004-11-26,109740.47937383164,109740.47937383164,0.0
2004-11-26,109699.62708776277,109740.47937383164,-0.037226269013920156
2004-11-26,109888.24281464965,109888.24281464965,0.0
2004-11-26,109762.36627794351,109888.24281464965,-0.11454959464449752
2004-11-26,109986.97453290691,109986.97453290691,0.0
2004-11-26,109992.77894178938,109992.77894178938,0.0
2004-11-29,110025.1061095725,110025.1061095725,0.0
2004-11-29,110026.5340056649,110026.5340056649,0.0
2004-11-29,109748.66592081047,110026.5340056649,-0.25254643106373353
2004-11-29,109555.95733991219,110026.5340056649,-0.4276938013229467
2004-11-29,109516.29207213891,110026.5340056649,-0.4637444395910175
2004-11-29,109758.48992092557,110026.5340056649,-0.24361767564679643
2004-11-30,110341.27725566449,110341.27725566449,0.0
2004-11-30,110422.06448113645,110422.06448113645,0.0
2004-11-30,109702.45588558787,110422.06448113645,-0.6516891338066838
2004-11-30,109431.06239502774,110422.06448113645,-0.8974674497939719
2004-12-01,109698.44539949452,110422.06448113645,-0.6553210946038258
2004-12-02,109937.1297783454,110422.06448113645,-0.4391646769780172
2004-12-02,110206.21139431922,110422.06448113645,-0.19548003185006407
2004-12-02,110659.38121725338,110659.38121725338,0.0
2004-12-02,110744.01719832473,110744.01719832473,0.0
2004-12-06,111011.89058546249,111011.89058546249,0.0
2004-12-08,111065.5209062201,111065.5209062201,0.0
2004-12-09,111245.31819805969,111245.31819805969,0.0
2004-12-09,111294.19744215003,111294.19744215003,0.0
2004-12-10,111682.87107514263,111682.87107514263,0.0
2004-12-10,112015.83003593843,112015.83003593843,0.0
2004-12-10,112243.91133388516,112243.91133388516,0.0
2004-12-10,112493.31972228584,112493.31972228584,0.0
2004-12-10,112157.36783144872,112493.31972228584,-0.2986416363802711
2004-12-10,112548.20205821302,112548.20205821302,0.0
2004-12-10,112498.94028473324,112548.20205821302,-0.04376948949775558
2004-12-10,112758.41930767821,112758.41930767821,0.0
2004-12-13,113344.13841412577,113344.13841412577,0.0
2004-12-13,113612.25098393092,113612.25098393092,0.0
2004-12-13,113873.15090884843,113873.15090884843,0.0
2004-12-13,114127.57869276941,114127.57869276941,0.0
2004-12-13,114332.74663740225,114332.74663740225,0.0
2004-12-13,114734.6432782903,114734.6432782903,0.0
2004-12-13,115022.44504398094,115022.44504398094,0.0
2004-12-13,115003.91489041393,115022.44504398094,-0.016110032750503378
2004-12-13,115219.59033419825,115219.59033419825,0.0
2004-12-13,115479.43786413476,115479.43786413476,0.0
2004-12-14,115770.48650232003,115770.48650232003,0.0
2004-12-14,116136.22902308189,116136.22902308189,0.0
2004-12-14,116715.83644544103,116715.83644544103,0.0
2004-12-14,117067.36226586759,117067.36226586759,0.0
2004-12-14,117334.36415475188,117334.36415475188,0.0
2004-12-14,117647.01566549556,117647.01566549556,0.0
