date,equity,peak,dd
2004-10-25,100086.60785893117,100086.60785893117,0.0
2004-10-27,100132.87505146308,100132.87505146308,0.0
2004-10-27,100057.38540356333,100132.87505146308,-0.07538947409724989
2004-10-27,100187.45168414875,100187.45168414875,0.0
2004-11-01,100299.03104483982,100299.03104483982,0.0
2004-11-03,100444.62561326411,100444.62561326411,0.0
2004-11-04,101504.19618647824,101504.19618647824,0.0
2004-11-04,102019.65848118371,102019.65848118371,0.0
2004-11-05,102037.66490757935,102037.66490757935,0.0
2004-11-05,102220.26018679944,102220.26018679944,0.0
2004-11-05,102468.37079909442,102468.37079909442,0.0
2004-11-08,102661.94885873339,102661.94885873339,0.0
2004-11-09,103004.30713385814,103004.30713385814,0.0
2004-11-11,103189.70064200206,103189.70064200206,0.0
2004-11-15,103474.50423177166,103474.50423177166,0.0
2004-11-17,105127.26638192928,105127.26638192928,0.0
2004-11-19,105008.25481740874,105127.26638192928,-0.11320713323617275
2004-11-22,105263.20652297231,105263.20652297231,0.0
2004-11-24,105491.81247994296,105491.81247994296,0.0
2004-11-24,107492.9185932119,107492.9185932119,0.0
2004-11-24,107743.04381816665,107743.04381816665,0.0
2004-11-24,107924.1753870074,107924.1753870074,0.0
2004-11-24,108328.03836204918,108328.03836204918,0.0
2004-11-24,108614.70074264196,108614.70074264196,0.0
2004-11-24,109187.98627306131,109187.98627306131,0.0
2004-11-24,109549.16634073717,109549.16634073717,0.0
2004-11-24,109512.84635243838,109549.16634073717,-0.03315405266144579
2004-11-24,109318.0950393611,109549.16634073717,-0.21092931064153803
2004-11-24,109736.44494291938,109736.44494291938,0.0
2004-11-26,109964.95158841666,109964.95158841666,0.0
2004-11-26,110287.7469305319,110287.7469305319,0.0
2004-11-26,110244.60128105336,110287.7469305319,-0.03912098186729172
2004-11-26,110443.81349267453,110443.81349267453,0.0
2004-11-26,110310.86868960148,110443.81349267453,-0.12037324578787725
2004-11-26,110548.09781369794,110548.09781369794,0.0
2004-11-26,110554.23352759184,110554.23352759184,0.0
2004-11-29,110588.3721991828,110588.3721991828,0.0
2004-11-29,110589.87363183954,110589.87363183954,0.0
2004-11-29,110296.39866713349,110589.87363183954,-0.26537236644563744
2004-11-29,110092.86235687889,110589.87363183954,-0.4494184310357653
2004-11-29,110050.97202159207,110589.87363183954,-0.4872974283717035
2004-11-29,110306.8717783265,110589.87363183954,-0.255902140240405
2004-11-30,110922.62925897598,110922.62925897598,0.0
2004-11-30,111007.95679045147,111007.95679045147,0.0
2004-11-30,110247.9441476524,111007.95679045147,-0.6846469971821425
2004-11-30,109961.30491237644,111007.95679045147,-0.9428620328998464
2004-12-01,110243.81587178516,111007.95679045147,-0.6883658980488834
2004-12-02,110496.00583725121,111007.95679045147,-0.4611840159950517
2004-12-02,110780.30702045604,111007.95679045147,-0.20507518251612034
2004-12-02,111259.11534596862,111259.11534596862,0.0
2004-12-02,111348.556037534,111348.556037534,0.0
2004-12-06,111631.58465451954,111631.58465451954,0.0
2004-12-08,111688.26796160958,111688.26796160958,0.0
2004-12-09,111878.23203836606,111878.23203836606,0.0
2004-12-09,111929.90993676748,111929.90993676748,0.0
2004-12-10,112340.56745615858,112340.56745615858,0.0
2004-12-10,112692.35273454581,112692.35273454581,0.0
2004-12-10,112933.33463207571,112933.33463207571,0.0
2004-12-10,113196.8534007113,113196.8534007113,0.0
2004-12-10,112841.90062042607,113196.8534007113,-0.31357124303510764
2004-12-10,113254.84098174972,113254.84098174972,0.0
2004-12-10,113202.79516956197,113254.84098174972,-0.04595460267886678
