ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,558.7605177173626,5.5876,86.60785893116902,3.0185220869927196,6,profit_target,2,5,101897.42945893118
HOG,2004-10-19,2004-10-27,36.15902232500657,36.71676254272461,84.46922653347612,0.8447,46.2671925319208,1.5424648728190977,8,time_stop,2,5,101943.69665146309
LPX,2004-10-19,2004-10-27,19.53642762223242,19.06357192993164,156.33997714731552,1.5634,-75.48964789975506,-2.420379515867427,8,time_stop,3,4,101868.20700356334
TTC,2004-10-19,2004-10-27,6.161875511118023,6.434274673461914,495.68100531875524,4.9568,130.0662805854193,4.420718364926309,8,time_stop,2,5,101998.27328414876
MKC,2004-10-28,2004-11-01,11.019434735212055,11.431252479553223,277.68649409452473,2.7769,111.57936069106886,3.7371948220286146,4,profit_target,2,5,102109.85264483983
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,58.28472759094215,0.7,145.59456842428477,4.780949183872768,2,profit_target,3,4,102255.44721326412
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,520.673480830411,5.2067,1059.5705732141203,11.586402948966374,2,profit_target,3,4,103315.01778647825
OII,2004-11-02,2004-11-04,7.7016950167582205,8.143684387207031,1193.229116193148,11.9323,515.4622947054688,5.738858387498858,2,profit_target,3,4,103830.48008118372
MUR,2004-10-28,2004-11-05,18.6832438836169,18.803186416625977,163.78034872240215,1.6378,18.00642639565082,0.6419791646259725,8,time_stop,3,4,103848.48650757936
XRAY,2004-11-02,2004-11-05,21.18485285541303,21.61577796936035,433.795164911303,4.338,182.59527922008715,2.0341189853353816,3,profit_target,3,4,104031.08178679945
SPGI,2004-11-03,2004-11-05,29.533212829938993,30.340557098388672,311.1712494997981,3.1117,248.11061229498907,2.7336824919747373,2,profit_target,3,4,104279.19239909443
IRM,2004-11-03,2004-11-08,7.9395659914511265,8.116806983947754,1157.4797347777867,11.5748,193.5780596389701,2.2323763375412513,5,profit_target,3,4,104472.7704587334
FCN,2004-11-03,2004-11-09,18.790000915527344,19.5,489.0838898491703,4.8908,342.3582751247447,3.7786005847713398,6,profit_target,3,4,104815.12873385815
HBAN,2004-11-04,2004-11-11,11.015930602056951,11.247845649719238,835.4255833343159,8.3543,185.39350814392893,2.105269686602628,7,profit_target,3,4,105000.52224200207
TGT,2004-11-12,2004-11-15,30.6559023607619,31.58980369567871,308.2619095850135,3.0826,284.8035897695993,3.0463997566490186,3,profit_target,3,4,105285.32583177167
NTAP,2004-11-11,2004-11-17,18.46255040203192,21.70726203918457,510.9457458818383,5.1095,1652.7621501576239,17.574558045867544,6,profit_target,3,4,106938.08798192929
VFC,2004-11-11,2004-11-19,7.14983602340018,7.069633483886719,1319.3815291950007,13.1938,-119.01156452054312,-1.1217395650889372,8,time_stop,3,4,106819.07641740875
VRTX,2004-11-18,2004-11-22,10.569999694824219,10.859999656677246,910.5419296356652,9.1054,254.9517055635681,2.7436137202069246,4,profit_target,3,4,104386.6104449075
HL,2004-11-16,2004-11-24,6.350226173628309,6.229711532592773,1492.1798162419402,14.9218,-194.75131307728856,-1.897800767097366,8,time_stop,3,4,104818.17879449966
JBHT,2004-11-16,2004-11-24,16.09042188116439,16.038747787475586,588.9018569458254,5.889,-36.31998829878673,-0.32114815926170914,8,time_stop,3,4,104781.85880620088
AEP,2004-11-19,2004-11-24,14.84788884942271,15.286506652832031,842.6623084784331,8.4266,361.18006767585456,2.9540752079806656,5,profit_target,3,4,105143.03887387674
CCL,2004-11-19,2004-11-24,33.8828164261352,34.90201187133789,284.0504106072458,2.8405,286.6623805927865,3.0080009653995097,5,profit_target,3,4,105429.70125446952
DCI,2004-11-19,2004-11-24,11.81849234048618,12.532468795776367,814.3532729131264,8.1435,573.2855304193447,6.041180505269216,5,profit_target,3,4,106002.98678488887
BC,2004-11-22,2004-11-24,34.96571428075965,36.49728012084961,274.9469609107017,2.7495,418.34990355827347,4.380193202381469,2,profit_target,2,5,106421.33668844715
GME,2004-11-22,2004-11-24,1.7253312801306133,1.8078107833862305,5572.099102520761,55.721,403.8629750417749,4.780502400059261,2,profit_target,2,5,106825.19966348892
NSC,2004-11-22,2004-11-24,20.567783272693656,21.347816467285156,233.70814321857952,1.1685,181.13156884074343,3.7925000679440886,2,partial_exit,1,6,107006.33123232967
PSA,2004-11-22,2004-11-24,24.796876553470245,25.452030181884766,387.6987029731927,3.877,250.1252249547588,2.6420812597175027,2,profit_target,3,4,107256.45645728442
SYNA,2004-11-22,2004-11-24,21.34666633605957,25.799999237060547,450.3615096717441,4.5036,2001.10611326893,20.861959572011692,2,profit_target,3,4,109257.56257055336
WSM,2004-11-22,2004-11-24,11.439647044947526,11.721672058105469,840.3857951030766,8.4039,228.60595697066293,2.465329673632748,2,profit_target,3,4,109486.16852752402
CHD,2004-11-17,2004-11-26,5.800818302345262,5.956045150756836,1633.5073486146682,16.3351,237.22912409645414,2.6759474322582344,9,time_stop,3,4,109723.39765162047
JPM,2004-11-18,2004-11-26,21.617500078219578,21.32889175415039,445.2146586584542,4.4521,-132.94480307303638,-1.3350679913260226,8,time_stop,3,4,109590.45284854743
RMD,2004-11-18,2004-11-26,10.326395249119791,10.342978477478027,932.0220353945884,9.3202,6.135713893910596,0.16059068007928176,8,time_stop,3,4,109596.58856244133
XRAY,2004-11-18,2004-11-26,21.27428833379538,21.18891716003418,452.3971738732478,4.524,-43.14564947854112,-0.4012880356875802,8,time_stop,3,4,109553.4429129628
NSC,2004-11-22,2004-11-26,20.567783272693656,21.4351806640625,233.70814321857952,3.5056,199.21221162117325,4.217262404356544,4,profit_target,1,6,109752.65512458397
RYN,2004-11-23,2004-11-26,5.616312380904453,5.8192830085754395,1672.769301790285,16.7277,322.7953421152297,3.613948333092903,3,profit_target,2,5,110075.4504666992
CNP,2004-11-24,2004-11-26,4.8387046346376685,4.96569299697876,1953.24253562124,19.5324,228.5066454972894,2.6244288901630872,2,profit_target,3,4,110303.95711219648
BAC,2004-11-19,2004-11-29,28.39015028593345,28.500852584838867,339.00588131589706,3.3901,34.138671590967384,0.3899320637279818,10,time_stop,3,4,110338.09578378744
D,2004-11-19,2004-11-29,13.796657924037836,13.808810234069824,697.5912551694894,6.9759,1.5014326567284093,0.08808154916137426,10,time_stop,3,4,110339.59721644418
ETD,2004-11-19,2004-11-29,17.674664263472618,17.145715713500977,544.5324321245513,5.4453,-293.4749647060581,-2.9926936211444417,10,time_stop,3,4,110046.12225173812
LOW,2004-11-19,2004-11-29,20.347086201813777,19.926788330078125,473.0125887762591,4.7301,-203.53631025459558,-2.065641574262295,10,time_stop,3,4,109842.58594148353
USB,2004-11-19,2004-11-29,14.798005368644382,14.743597030639648,650.3868378617376,6.5039,-41.890335286828915,-0.3676734576676143,10,time_stop,3,4,109800.6956061967
BHE,2004-11-24,2004-11-29,19.922807345438606,20.347753524780273,616.7058994022517,6.1671,255.89975673443084,2.1329633518689826,5,profit_target,3,4,110056.59536293114
ABT,2004-11-22,2004-11-30,12.566217305148351,12.288009643554688,994.5579992251518,9.9456,-286.6392352759536,-2.213933237328965,8,time_stop,3,4,109769.95612765518
BBWI,2004-11-22,2004-11-30,7.578713656218985,6.9895782470703125,1268.5156497076396,12.6852,-760.0126427990813,-7.77355413956347,8,time_stop,3,4,109009.9434848561
ZION,2004-11-22,2004-11-30,43.58162991362061,43.97844314575195,220.591035640964,2.2059,85.32753147548163,0.9105057174727806,8,time_stop,3,4,109095.2710163316
UNFI,2004-11-24,2004-11-30,26.399999618530273,28.1299991607666,357.9986305396805,3.58,615.7574806494828,6.553028663765714,6,profit_target,3,4,109711.02849698107
PBI,2004-11-23,2004-12-01,15.34041805130727,15.81171989440918,612.4210506271747,6.1242,282.5109594087241,3.072288131429035,8,time_stop,2,5,109993.5394563898
CLX,2004-11-24,2004-12-02,29.92768645723964,30.73626136779785,315.80001090915084,3.158,252.18996546605695,2.701762168330297,8,time_stop,3,4,110245.72942185585
T,2004-11-24,2004-12-02,4.245487979960262,4.383196830749512,2226.1666395697553,22.2617,284.30118320481915,3.243651882640323,8,time_stop,3,4,110530.03060506067
EG,2004-11-30,2004-12-02,53.900907928133975,56.516456604003906,183.76487453365817,1.8376,478.80832551257714,4.852513206933804,2,profit_target,3,4,111008.83893057326
GE,2004-11-30,2004-12-02,100.74793551188405,102.57451629638672,49.15779927567555,0.35,89.4406915653881,1.8130205598974354,2,partial_exit,1,6,111098.27962213864
