date,equity,peak,dd
2004-10-25,100082.00268888242,100082.00268888242,0.0
2004-10-27,100125.80943736655,100125.80943736655,0.0
2004-10-27,100054.3351729228,100125.80943736655,-0.07138445606121237
2004-10-27,100177.48594925283,100177.48594925283,0.0
2004-11-01,100283.13283494065,100283.13283494065,0.0
2004-11-03,100420.94853458594,100420.94853458594,0.0
2004-11-04,100909.0012620513,100909.0012620513,0.0
2004-11-05,100926.04842431092,100926.04842431092,0.0
2004-11-05,101098.93463092043,101098.93463092043,0.0
2004-11-08,101282.22438144866,101282.22438144866,0.0
2004-11-11,101458.7432465167,101458.7432465167,0.0
2004-11-15,101725.88020432029,101725.88020432029,0.0
2004-11-19,101614.25811072977,101725.88020432029,-0.1097283143348749
2004-11-22,101849.8897610546,101849.8897610546,0.0
2004-11-24,102061.16786952836,102061.16786952836,0.0
2004-11-24,103910.60109401756,103910.60109401756,0.0
2004-11-24,104141.77030140458,104141.77030140458,0.0
2004-11-24,104309.17061703218,104309.17061703218,0.0
2004-11-24,104682.4171231533,104682.4171231533,0.0
2004-11-24,104947.35338960931,104947.35338960931,0.0
2004-11-24,105477.19216966767,105477.19216966767,0.0
2004-11-24,105811.00675598445,105811.00675598445,0.0
2004-11-24,105776.91371475198,105811.00675598445,-0.032220694498343104
2004-11-24,106163.55394149602,106163.55394149602,0.0
2004-11-26,106386.24117925657,106386.24117925657,0.0
2004-11-26,106263.37005818677,106386.24117925657,-0.11549531190105855
2004-11-26,106269.03588158166,106386.24117925657,-0.11016960123388957
2004-11-26,106229.15898062065,106386.24117925657,-0.147652738638679
2004-11-26,106413.26828935478,106413.26828935478,0.0
2004-11-26,106711.28379544373,106711.28379544373,0.0
2004-11-26,106922.25559243835,106922.25559243835,0.0
2004-11-29,107158.51554236725,107158.51554236725,0.0
2004-11-29,106887.28180819418,107158.51554236725,-0.25311449379479023
2004-11-29,106699.17431815402,107158.51554236725,-0.42865582999945806
2004-11-29,106700.56812194173,107158.51554236725,-0.4273551365541876
2004-11-29,106732.12344949094,107158.51554236725,-0.3979078010909252
2004-11-30,106467.2141083312,107158.51554236725,-0.6451203906074393
2004-11-30,105554.07374483145,107158.51554236725,-1.4972601938494197
2004-11-30,105557.00817899888,107158.51554236725,-1.4945217888308568
2004-11-30,105635.86523128016,107158.51554236725,-1.4209326280607983
2004-11-30,106204.36452726647,107158.51554236725,-0.8904108182830694
2004-12-01,106465.19217525606,107158.51554236725,-0.6470072523887068
2004-12-02,106547.96174606103,107158.51554236725,-0.5697669412607986
2004-12-02,106991.17932982263,107158.51554236725,-0.15615764337316668
2004-12-02,107224.01194860361,107224.01194860361,0.0
2004-12-02,107486.4965637034,107486.4965637034,0.0
2004-12-06,107748.48707894229,107748.48707894229,0.0
2004-12-08,107800.93191682879,107800.93191682879,0.0
2004-12-09,107848.62324663198,107848.62324663198,0.0
2004-12-10,108173.45971263439,108173.45971263439,0.0
2004-12-10,108552.65169794053,108552.65169794053,0.0
2004-12-10,108805.80076055697,108805.80076055697,0.0
2004-12-10,108757.71936524716,108805.80076055697,-0.04419010289315499
2004-12-10,108429.81733234442,108805.80076055697,-0.34555458034811803
2004-12-10,108652.33461378109,108805.80076055697,-0.14104592374960756
2004-12-13,108862.84379658411,108862.84379658411,0.0
2004-12-13,109143.75159694266,109143.75159694266,0.0
2004-12-13,109535.84401641769,109535.84401641769,0.0
2004-12-13,109871.72653793,109871.72653793,0.0
2004-12-13,110125.23511785314,110125.23511785314,0.0
2004-12-13,110696.05034621968,110696.05034621968,0.0
2004-12-13,110950.05029840855,110950.05029840855,0.0
2004-12-13,111211.07214398123,111211.07214398123,0.0
2004-12-14,111515.76810069453,111515.76810069453,0.0
2004-12-14,111776.25650981812,111776.25650981812,0.0
2004-12-14,112059.60783775379,112059.60783775379,0.0
2004-12-14,112794.90399587083,112794.90399587083,0.0
2004-12-14,113151.72427073936,113151.72427073936,0.0
2004-12-14,113494.67466000968,113494.67466000968,0.0
2004-12-15,114067.28798803157,114067.28798803157,0.0
2004-12-15,114187.2762208917,114187.2762208917,0.0
2004-12-15,114489.08748232751,114489.08748232751,0.0
2004-12-16,114733.92122380101,114733.92122380101,0.0
2004-12-16,114724.5791773107,114733.92122380101,-0.008142357892641195
2004-12-16,114113.23276057534,114733.92122380101,-0.5409807811021723
2004-12-16,114220.37784138757,114733.92122380101,-0.44759507644798063
2004-12-16,113922.94746902336,114733.92122380101,-0.7068299820379652
2004-12-16,113911.53015115867,114733.92122380101,-0.7167811087343309
