ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,529.0497358972052,5.2905,82.00268888242098,3.0185220869927196,6,profit_target,2,5,96479.27230807007
HOG,2004-10-19,2004-10-27,36.15901843617192,36.71675491333008,79.97778185490453,0.7998,43.8067484841291,1.5424546939587913,8,time_stop,2,5,96523.0790565542
LPX,2004-10-19,2004-10-27,19.536417937026634,19.06357192993164,148.02703842113687,1.4803,-71.47426444374314,-2.420331140637744,8,time_stop,3,4,96451.60479211045
TTC,2004-10-19,2004-10-27,6.161874559619411,6.434274673461914,469.3244012994397,4.6932,123.15077633003742,4.420734489267622,8,time_stop,2,5,96574.75556844048
MKC,2004-10-28,2004-11-01,11.019437521394627,11.431257247924805,262.9211029535868,2.6292,105.64688568782296,3.737211865221026,4,profit_target,2,5,96680.4024541283
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,55.18557461053741,0.7,137.81569964529425,4.780949183872768,2,profit_target,3,4,96818.21815377359
OII,2004-11-02,2004-11-04,7.7016950167582205,8.143683433532715,1129.7819768165853,11.2978,488.05272746535513,5.7388460048439445,2,profit_target,3,4,97846.10083226787
MUR,2004-10-28,2004-11-05,18.683253622348275,18.803184509277344,155.07163396784543,1.5507,17.047162259625185,0.6419164956665346,8,time_stop,3,4,97955.57306436228
XRAY,2004-11-02,2004-11-05,21.18485285541303,21.61577796936035,410.72913181213136,4.1073,172.88620660950565,2.0341189853353816,3,profit_target,3,4,98128.45927097178
IRM,2004-11-03,2004-11-08,7.9395636174293225,8.116808891296387,1095.9338120007203,10.9593,183.28975052823617,2.232430929553441,5,profit_target,3,4,98311.74902150001
HBAN,2004-11-04,2004-11-11,11.015930602056951,11.247851371765137,795.4139006464055,7.9541,176.5188650680407,2.1053216299754136,7,profit_target,3,4,98488.26788656805
TGT,2004-11-12,2004-11-15,30.65591355406059,31.589805603027344,289.14304230927195,2.8914,267.1369578035942,3.0463683534332446,3,profit_target,3,4,98755.40484437165
VFC,2004-11-11,2004-11-19,7.149831721581956,7.069633483886719,1237.5196726975973,12.3752,-111.62209359050983,-1.121680073296782,8,time_stop,3,4,98722.77518201627
VRTX,2004-11-18,2004-11-22,10.569999694824219,10.859999656677246,841.5417229539038,8.4154,235.63165032482394,2.7436137202069246,4,profit_target,3,4,96375.14185898875
JBHT,2004-11-16,2004-11-24,16.090420912170018,16.03874969482422,552.8193329036401,5.5282,-34.09304123245997,-0.32113030248150515,8,time_stop,3,4,96919.29966891021
AEP,2004-11-19,2004-11-24,14.847887890419075,15.286511421203613,778.8060205322317,7.7881,333.8145863167805,2.9541139724497065,5,profit_target,3,4,97253.11425522699
CCL,2004-11-19,2004-11-24,33.88282028804757,34.90200424194336,262.5252466938953,2.6253,264.9362664560132,3.0079667077044228,5,profit_target,3,4,97518.050521683
DCI,2004-11-19,2004-11-24,11.81849234048618,12.532464027404785,752.6421728373087,7.5264,529.8387800583641,6.0411401585697835,5,profit_target,3,4,98047.88930174136
BC,2004-11-22,2004-11-24,34.96572187463088,36.497283935546875,254.10743122188893,2.5411,386.64022674404674,4.380181442863928,2,profit_target,2,5,98434.52952848541
GME,2004-11-22,2004-11-24,1.7253321445334562,1.8078105449676514,5149.76191368883,51.4976,373.24650612110634,4.780436085626748,2,profit_target,2,5,98807.77603460652
NSC,2004-11-22,2004-11-24,20.567783272693656,21.34780502319336,215.99434534536095,1.08,167.400315627599,3.792444427082625,2,partial_exit,1,6,98975.17635023412
PSA,2004-11-22,2004-11-24,24.7968708270704,25.452030181884766,358.3133464034413,3.5831,231.16920738702052,2.6421049630953326,2,profit_target,3,4,99206.34555762114
SYNA,2004-11-22,2004-11-24,21.34666633605957,25.799999237060547,416.22657264157976,4.1623,1849.4332244892046,20.861959572011692,2,profit_target,3,4,101055.77878211034
WSM,2004-11-22,2004-11-24,11.439648942833003,11.721673011779785,776.6890234816159,7.7669,211.2781084737721,2.465321010776924,2,profit_target,3,4,101267.0568905841
