date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51013463234,100130.51013463234,0.0
2004-10-27,100056.36344354009,100130.51013463234,-0.0740500482745479
2004-10-27,100184.11614280251,100184.11614280251,0.0
2004-11-01,100293.71197365907,100293.71197365907,0.0
2004-11-03,100436.70452415205,100436.70452415205,0.0
2004-11-04,101477.42942124231,101477.42942124231,0.0
2004-11-04,101983.72928131088,101983.72928131088,0.0
2004-11-05,102001.41544260808,102001.41544260808,0.0
2004-11-05,102180.76476289089,102180.76476289089,0.0
2004-11-05,102424.46011197305,102424.46011197305,0.0
2004-11-08,102614.60007031803,102614.60007031803,0.0
2004-11-09,102950.86911143191,102950.86911143191,0.0
2004-11-11,103132.96440609291,103132.96440609291,0.0
2004-11-15,103412.70186013672,103412.70186013672,0.0
2004-11-17,105036.06674569928,105036.06674569928,0.0
2004-11-19,104919.16822703513,105036.06674569928,-0.11129369395292749
2004-11-22,105169.58531291972,105169.58531291972,0.0
2004-11-24,105394.12921292848,105394.12921292848,0.0
2004-11-24,107359.64320143919,107359.64320143919,0.0
2004-11-24,107605.3196427174,107605.3196427174,0.0
2004-11-24,107783.22870246344,107783.22870246344,0.0
2004-11-24,108179.9070192661,108179.9070192661,0.0
2004-11-24,108461.46309168558,108461.46309168558,0.0
2004-11-24,109024.55205628017,109024.55205628017,0.0
2004-11-24,109379.3145849635,109379.3145849635,0.0
2004-11-24,109343.64003224373,109379.3145849635,-0.03261544731299895
2004-11-24,109152.3546834953,109379.3145849635,-0.20749801032251394
2004-11-24,109563.2615016294,109563.2615016294,0.0
2004-11-26,109792.11276941361,109792.11276941361,0.0
2004-11-26,110117.32851459179,110117.32851459179,0.0
2004-11-26,110074.95026097969,110117.32851459179,-0.03848463650885264
2004-11-26,110270.61794567757,110270.61794567757,0.0
2004-11-26,110140.03356688572,110270.61794567757,-0.11842173484162948
2004-11-26,110373.03479718787,110373.03479718787,0.0
2004-11-26,110379.05614532105,110379.05614532105,0.0
2004-11-29,110412.5914830949,110412.5914830949,0.0
2004-11-29,110414.07144307278,110414.07144307278,0.0
2004-11-29,110125.81525994268,110414.07144307278,-0.26106833971675253
2004-11-29,109925.89908533623,110414.07144307278,-0.4421287534788896
2004-11-29,109884.75687348357,110414.07144307278,-0.47939050038755243
2004-11-29,110141.03718065248,110414.07144307278,-0.24728212523262927
