date,equity,peak,dd
2004-10-25,100080.54704280774,100080.54704280774,0.0
2004-10-27,100123.57495981536,100123.57495981536,0.0
2004-10-27,100053.36834790757,100123.57495981536,-0.0701199611939256
2004-10-27,100174.33239964294,100174.33239964294,0.0
2004-11-01,100278.10442035369,100278.10442035369,0.0
2004-11-03,100413.46129595925,100413.46129595925,0.0
2004-11-04,101398.88313847804,101398.88313847804,0.0
2004-11-04,101878.27874280218,101878.27874280218,0.0
2004-11-05,101895.02507961154,101895.02507961154,0.0
2004-11-05,102064.8439607988,102064.8439607988,0.0
2004-11-05,102295.58958875218,102295.58958875218,0.0
2004-11-08,102475.62570455244,102475.62570455244,0.0
2004-11-09,102794.02575340582,102794.02575340582,0.0
2004-11-11,102966.44462326668,102966.44462326668,0.0
2004-11-15,103231.31701458071,103231.31701458071,0.0
2004-11-17,104768.41736709226,104768.41736709226,0.0
2004-11-19,104657.73075815747,104768.41736709226,-0.10564883169606434
2004-11-22,104894.84084622515,104894.84084622515,0.0
2004-11-24,105107.45263235015,105107.45263235015,0.0
2004-11-24,106968.52051143577,106968.52051143577,0.0
2004-11-24,107201.1418696065,107201.1418696065,0.0
2004-11-24,107369.59695994272,107369.59695994272,0.0
2004-11-24,107745.19605414737,107745.19605414737,0.0
2004-11-24,108011.79042366311,108011.79042366311,0.0
2004-11-24,108544.95721423306,108544.95721423306,0.0
2004-11-24,108880.86789749206,108880.86789749206,0.0
2004-11-24,108847.08906683729,108880.86789749206,-0.031023660361134655
2004-11-24,108665.96849462247,108880.86789749206,-0.19737113325723107
2004-11-24,109055.039997037,109055.039997037,0.0
2004-11-26,109271.73026027138,109271.73026027138,0.0
2004-11-26,109579.66425649931,109579.66425649931,0.0
2004-11-26,109539.53795517037,109579.66425649931,-0.03661838316552672
2004-11-26,109724.80798890958,109724.80798890958,0.0
2004-11-26,109601.1627773769,109724.80798890958,-0.1126866510854868
2004-11-26,109821.78247687404,109821.78247687404,0.0
2004-11-26,109827.483854562,109827.483854562,0.0
2004-11-29,109859.23714673394,109859.23714673394,0.0
2004-11-29,109860.63846262041,109860.63846262041,0.0
2004-11-29,109587.70002183234,109860.63846262041,-0.2484406104020028
