ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,519.6585626502668,5.1966,80.54705738739038,3.0185220869927196,6,profit_target,2,5,94766.66666911804
HOG,2004-10-19,2004-10-27,36.159014547337264,36.71675491333008,78.55810297687161,0.7856,43.0294440762528,1.542465614660634,8,time_stop,2,5,94809.6961131943
LPX,2004-10-19,2004-10-27,19.536421811108948,19.063579559326172,145.39937844383996,1.454,-70.20496329563971,-2.4203114385762534,8,time_stop,3,4,94739.49114989866
TTC,2004-10-19,2004-10-27,6.161874083870105,6.4342756271362305,460.9934493448504,4.6099,120.96539254366331,4.420758028457436,8,time_stop,2,5,94860.45654244232
MKC,2004-10-28,2004-11-01,11.019434735212055,11.431257247924805,146.8897608978059,1.4689,59.02361281573135,3.7372380944077936,4,profit_target,2,5,94919.48015525805
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,54.2059751671099,0.7,135.35690668651634,4.780949183872768,2,profit_target,3,4,95054.83706194456
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,484.0086911392571,4.8401,984.9577233953208,11.586402948966374,2,profit_target,3,4,96039.79478533988
OII,2004-11-02,2004-11-04,7.701693107218022,8.143684387207031,1109.2045729486367,11.092,479.1667032377443,5.738884604149906,2,profit_target,3,4,96518.96148857762
MUR,2004-10-28,2004-11-05,18.683245831363177,18.803186416625977,86.63602395934304,0.8664,9.524815178932112,0.6419686726032259,8,time_stop,3,4,96528.48630375655
XRAY,2004-11-02,2004-11-05,21.184847103564756,21.61578369140625,403.2482827093778,4.0325,169.7419561766275,2.0341736984685643,3,profit_target,3,4,96698.22825993318
SPGI,2004-11-03,2004-11-05,29.533214734617452,30.34054183959961,212.05963568700946,2.1206,169.0808954058942,2.733624199860119,2,profit_target,3,4,96867.30915533907
IRM,2004-11-03,2004-11-08,7.939565041842404,8.116808891296387,788.8093018047613,7.8881,131.9235041189366,2.2324125883456767,5,profit_target,3,4,96999.23265945801
FCN,2004-11-03,2004-11-09,18.790000915527344,19.5,333.30507994354883,3.3331,233.31325081056966,3.7786005847713398,6,profit_target,3,4,97232.54591026857
HBAN,2004-11-04,2004-11-11,11.015928745518806,11.247846603393555,596.1683116125762,5.9617,132.30039464586832,2.1052955518534073,7,profit_target,3,4,97364.84630491443
TGT,2004-11-12,2004-11-15,30.65590422631168,31.58978843688965,285.8449746826009,2.8584,264.0876587823141,3.046343711422559,3,profit_target,3,4,97628.93396369675
NTAP,2004-11-11,2004-11-17,18.462548483239225,21.707258224487305,473.98272995022813,4.7398,1533.196553753361,17.574549603451068,6,profit_target,3,4,99162.1305174501
VFC,2004-11-11,2004-11-19,7.149833633501167,7.069628715515137,1223.9346508596973,12.2393,-110.40492480105983,-1.121773206165572,8,time_stop,3,4,99051.72559264905
VRTX,2004-11-18,2004-11-22,10.569999694824219,10.859999656677246,844.3322615175276,8.4433,236.41300101618805,2.7436137202069246,4,profit_target,3,4,99288.13859366524
HL,2004-11-16,2004-11-24,6.350227137148777,6.229711055755615,1383.6676810079982,13.8367,-180.5908836755274,-1.8978231611298395,8,time_stop,3,4,99107.54770998971
JBHT,2004-11-16,2004-11-24,16.09042381915313,16.03874397277832,546.0766077692516,5.4608,-33.681921276084964,-0.3211838728156651,8,time_stop,3,4,99073.86578871362
AEP,2004-11-19,2004-11-24,14.84788884942271,15.28651237487793,741.4330296509459,7.4143,317.79563905793344,2.9541137457550017,5,profit_target,3,4,99391.66142777156
CCL,2004-11-19,2004-11-24,33.88282414995994,34.90200424194336,249.92729161184738,2.4993,252.22164713801175,3.0079549670142454,5,profit_target,3,4,99643.88307490957
DCI,2004-11-19,2004-11-24,11.818489474963421,12.53246784210205,716.5249408479244,7.1652,504.4180578722251,6.041198146777886,5,profit_target,3,4,100148.3011327818
BC,2004-11-22,2004-11-24,34.96571428075965,36.49729537963867,210.1862469847602,2.1019,319.81542065632925,4.380236841670345,2,profit_target,2,5,100468.11655343813
GME,2004-11-22,2004-11-24,1.725331774075095,1.8078104257583618,4259.651603387457,42.5965,308.73380485398815,4.780451674431219,2,profit_target,2,5,100776.85035829211
NSC,2004-11-22,2004-11-24,20.56777771586881,21.347801208496094,178.66082469726507,0.8933,138.46633635254508,3.7924539218715183,2,partial_exit,1,6,100915.31669464466
PSA,2004-11-22,2004-11-24,24.796876553470245,25.4520263671875,296.3805639781592,2.9638,191.20986563992443,2.642065875936173,2,profit_target,3,4,101106.52656028458
SYNA,2004-11-22,2004-11-24,21.34666633605957,25.799999237060547,344.2838400204709,3.4428,1529.767713645915,20.861959572011692,2,profit_target,3,4,102636.29427393049
WSM,2004-11-22,2004-11-24,11.439645147062052,11.721675872802734,642.4423278288284,6.4244,174.76405268580965,2.465380019354132,2,profit_target,3,4,102811.0583266163
