date,equity,peak,dd
2004-10-25,100085.06743936459,100085.06743936459,0.0
2004-10-27,100130.51173917612,100130.51173917612,0.0
2004-10-27,100056.36680263894,100130.51173917612,-0.07404829481978135
2004-10-27,100184.1208948329,100184.1208948329,0.0
2004-11-01,100246.45697224083,100246.45697224083,0.0
2004-11-03,100389.44952954959,100389.44952954959,0.0
2004-11-04,101429.68407230436,101429.68407230436,0.0
2004-11-04,101935.74209348277,101935.74209348277,0.0
2004-11-05,101945.80145088171,101945.80145088171,0.0
2004-11-05,102125.0694965812,102125.0694965812,0.0
2004-11-05,102303.63938211376,102303.63938211376,0.0
2004-11-08,102442.96656614021,102442.96656614021,0.0
2004-11-09,102689.37359154932,102689.37359154932,0.0
2004-11-11,102829.09887225635,102829.09887225635,0.0
2004-11-15,103108.00750310681,103108.00750310681,0.0
2004-11-17,104727.2492109497,104727.2492109497,0.0
2004-11-19,104610.64820597647,104727.2492109497,-0.11133779016611219
2004-11-22,104860.32903821488,104860.32903821488,0.0
2004-11-24,105044.90109614906,105044.90109614906,0.0
2004-11-24,106660.5215325582,106660.5215325582,0.0
2004-11-24,106862.46236567634,106862.46236567634,0.0
2004-11-24,107008.69962821649,107008.69962821649,0.0
2004-11-24,107334.76000985682,107334.76000985682,0.0
2004-11-24,107601.13669174518,107601.13669174518,0.0
2004-11-24,108133.8634028155,108133.8634028155,0.0
2004-11-24,108469.49418158257,108469.49418158257,0.0
2004-11-24,108433.92198335551,108469.49418158257,-0.03279465668708023
2004-11-24,108243.19608445413,108469.49418158257,-0.20862833263480396
2004-11-24,108580.95999781304,108580.95999781304,0.0
2004-11-26,108759.83946346649,108759.83946346649,0.0
2004-11-26,109011.30259094371,109011.30259094371,0.0
2004-11-26,108969.04724661066,109011.30259094371,-0.0387623515440543
2004-11-26,109129.88216775465,109129.88216775465,0.0
2004-11-26,108999.68338457846,109129.88216775465,-0.11930626203375957
2004-11-26,109232.00274076138,109232.00274076138,0.0
2004-11-26,109238.01247019747,109238.01247019747,0.0
2004-11-29,109269.74006619318,109269.74006619318,0.0
2004-11-29,109271.14083518196,109271.14083518196,0.0
2004-11-29,108998.42464425953,109271.14083518196,-0.2495775086065698
2004-11-29,108809.28699768065,109271.14083518196,-0.4226677180921301
2004-11-29,108770.36678725506,109271.14083518196,-0.45828573226139857
2004-11-29,108970.68744027296,109271.14083518196,-0.274961341679577
2004-11-30,109452.71241827424,109452.71241827424,0.0
2004-11-30,109521.60073166768,109521.60073166768,0.0
2004-11-30,108907.99096337153,109521.60073166768,-0.5602636961082443
2004-11-30,108676.56876538777,109521.60073166768,-0.771566486094627
2004-12-01,108896.6509210078,109521.60073166768,-0.5706178566464193
2004-12-02,109094.06408511823,109521.60073166768,-0.3903674194800539
2004-12-02,109316.61880308711,109521.60073166768,-0.18716118757502961
2004-12-02,109676.81650409833,109676.81650409833,0.0
2004-12-02,109744.01546774687,109744.01546774687,0.0
2004-12-06,109956.9327786887,109956.9327786887,0.0
2004-12-08,109999.48510929031,109999.48510929031,0.0
2004-12-09,110170.76651472235,110170.76651472235,0.0
2004-12-09,110217.29630498761,110217.29630498761,0.0
2004-12-10,110622.70793809966,110622.70793809966,0.0
2004-12-10,110969.99967891749,110969.99967891749,0.0
2004-12-10,111207.89983224204,111207.89983224204,0.0
2004-12-10,111468.04400776637,111468.04400776637,0.0
2004-12-10,111212.71422737153,111468.04400776637,-0.22906096780261742
2004-12-10,111620.37379134604,111620.37379134604,0.0
2004-12-10,111582.92885264274,111620.37379134604,-0.03354668814610055
2004-12-10,111853.57755365896,111853.57755365896,0.0
2004-12-13,112340.56209343212,112340.56209343212,0.0
2004-12-13,112561.21710378236,112561.21710378236,0.0
2004-12-13,112775.9320894055,112775.9320894055,0.0
2004-12-13,112985.31412142985,112985.31412142985,0.0
2004-12-13,113199.31095555061,113199.31095555061,0.0
2004-12-13,113618.51463966521,113618.51463966521,0.0
2004-12-13,113874.8723642206,113874.8723642206,0.0
2004-12-13,113858.35798881472,113874.8723642206,-0.014502212000783466
2004-12-13,114050.46805422289,114050.46805422289,0.0
2004-12-13,114321.50023455177,114321.50023455177,0.0
2004-12-14,114561.02281500532,114561.02281500532,0.0
2004-12-14,114942.51033809518,114942.51033809518,0.0
2004-12-14,115547.10191313755,115547.10191313755,0.0
2004-12-14,115913.75640009172,115913.75640009172,0.0
2004-12-14,116192.25365104011,116192.25365104011,0.0
2004-12-14,116452.19950343079,116452.19950343079,0.0
2004-12-14,116634.91266863387,116634.91266863387,0.0
2004-12-15,117104.72905356629,117104.72905356629,0.0
