ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val,test
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,548.8223245193442,5.4882,85.06743936458815,3.0185220869927196,6,profit_target,2,5,100085.06743936459,B_TOM_SIZING
HOG,2004-10-19,2004-10-27,36.159014547337264,36.716766357421875,82.96686282953247,0.8297,45.44524929191801,1.542497264007111,8,time_stop,2,5,100130.51268865651,B_TOM_SIZING
LPX,2004-10-19,2004-10-27,19.536425685191265,19.06357192993164,153.55930753873872,1.5356,-74.14668830014755,-2.4203698408253387,8,time_stop,3,4,100056.36600035637,B_TOM_SIZING
TTC,2004-10-19,2004-10-27,6.161876462616633,6.434272289276123,486.86467802472845,4.8686,127.7512596616049,4.42066354806174,8,time_stop,2,5,100184.11726001797,B_TOM_SIZING
MKC,2004-10-28,2004-11-01,11.019431020301957,11.431259155273438,272.747613943336,2.7275,109.5976650287722,3.7372903756349842,4,profit_target,2,5,100293.71492504675,B_TOM_SIZING
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,57.24806700572456,0.7,142.992552095389,4.780949183872768,2,profit_target,3,4,100436.70747714213,B_TOM_SIZING
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,588.1246299770016,5.8812,1196.833666873547,11.586402948966374,2,profit_target,3,4,101633.54114401567,B_TOM_SIZING
OII,2004-11-02,2004-11-04,7.70169597152832,8.14368724822998,1347.8069678570366,13.4781,582.2408527919551,5.738882427138344,2,profit_target,3,4,102215.78199680764,B_TOM_SIZING
MUR,2004-10-28,2004-11-05,18.6832438836169,18.80319595336914,160.8673277789862,1.6087,17.687695644811697,0.6420302089907706,8,time_stop,3,4,102233.46969245245,B_TOM_SIZING
XRAY,2004-11-02,2004-11-05,21.184850938130275,21.61577796936035,489.9916230261891,4.8999,206.25071920802068,2.0341282196820094,3,profit_target,3,4,102439.72041166047,B_TOM_SIZING
SPGI,2004-11-03,2004-11-05,29.53320902058207,30.340547561645508,351.48227500466015,3.5148,280.25036436187355,2.7336634515429488,2,profit_target,3,4,102719.97077602234,B_TOM_SIZING
IRM,2004-11-03,2004-11-08,7.939564567038044,8.11681079864502,1307.4267999327926,13.0743,218.66220539072683,2.2324427254213965,5,profit_target,3,4,102938.63298141307,B_TOM_SIZING
