ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val,test
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,548.8223245193442,5.4882,85.06743936458815,3.0185220869927196,6,profit_target,2,5,100085.06743936459,C_VIX_RSI
HOG,2004-10-19,2004-10-27,36.159006769667975,36.716766357421875,82.96688067539934,0.8297,45.44590435598372,1.5425191054245908,8,time_stop,2,5,100130.51334372058,C_VIX_RSI
LPX,2004-10-19,2004-10-27,19.53642762223242,19.063583374023438,153.55929231329915,1.5356,-74.14522105251831,-2.4203209376461774,8,time_stop,3,4,100056.36812266806,C_VIX_RSI
TTC,2004-10-19,2004-10-27,6.161874083870105,6.434275150299072,486.8648659752849,4.8686,127.75386003871112,4.420750289948798,8,time_stop,2,5,100184.12198270677,C_VIX_RSI
MKC,2004-10-28,2004-11-01,11.019431949029482,11.431258201599121,272.74760381327184,2.7275,109.59714753763572,3.7372729780858656,4,profit_target,2,5,100293.71913024441,C_VIX_RSI
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,57.24806970440387,0.7,142.99255886906954,4.780949183872768,2,profit_target,3,4,100436.71168911348,C_VIX_RSI
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,511.41274316206665,5.1141,1040.7249713525016,11.586402948966374,2,profit_target,3,4,101477.43666046599,C_VIX_RSI
OII,2004-11-02,2004-11-04,7.70169644891337,8.14368724822998,1172.0060355008582,11.7201,506.2958240799078,5.738875872976935,2,profit_target,3,4,101983.7324845459,C_VIX_RSI
MUR,2004-10-28,2004-11-05,18.683249726855728,18.80318832397461,160.86728505057636,1.6087,17.68552364078363,0.6419578974340814,8,time_stop,3,4,102001.41800818668,C_VIX_RSI
XRAY,2004-11-02,2004-11-05,21.184847103564756,21.615779876708984,426.07976718430626,4.2608,179.35093798153707,2.034155691743064,3,profit_target,3,4,102180.76894616822,C_VIX_RSI
SPGI,2004-11-03,2004-11-05,29.533207115903608,30.340534210205078,305.6367933999714,3.0564,243.69249639321808,2.733624868891146,2,profit_target,3,4,102424.46144256144,C_VIX_RSI
IRM,2004-11-03,2004-11-08,7.939564092233683,8.116806983947754,1136.8929851641942,11.3689,190.1372704083024,2.2324007924748224,5,profit_target,3,4,102614.59871296975,C_VIX_RSI
FCN,2004-11-03,2004-11-09,18.790000915527344,19.5,480.3850070205634,4.8039,336.26906510878496,3.7786005847713398,6,profit_target,3,4,102950.86777807854,C_VIX_RSI
HBAN,2004-11-04,2004-11-11,11.015932458595096,11.247845649719238,820.566401073689,8.2057,182.09450859151553,2.105252478587905,7,profit_target,3,4,103132.96228667005,C_VIX_RSI
TGT,2004-11-12,2004-11-15,30.65589303301299,31.58978843688965,302.77919471485166,3.0278,279.73630638652713,3.0463813364398047,3,profit_target,3,4,103412.69859305659,C_VIX_RSI
NTAP,2004-11-11,2004-11-17,18.462552320824617,21.707256317138672,501.85791969705446,5.0186,1623.3618184259199,17.57451483376017,6,profit_target,3,4,105036.06041148251,C_VIX_RSI
VFC,2004-11-11,2004-11-19,7.14983411148097,7.069631576538086,1295.915115729567,12.9592,-116.8948285096074,-1.1217398011248547,8,time_stop,3,4,104919.1655829729,C_VIX_RSI
VRTX,2004-11-18,2004-11-22,10.569999694824219,10.859999656677246,894.346803213473,8.9435,250.41707078314943,2.7436137202069246,4,profit_target,3,4,105169.58265375605,C_VIX_RSI
HL,2004-11-16,2004-11-24,6.350227137148777,6.229712963104248,1465.6393657052647,14.6564,-191.28671126217006,-1.8977931252178695,8,time_stop,3,4,104978.29594249387,C_VIX_RSI
JBHT,2004-11-16,2004-11-24,16.090419943175647,16.038747787475586,578.4275927069565,5.7843,-35.67287655863477,-0.3211361535779944,8,time_stop,3,4,104942.62306593524,C_VIX_RSI
AEP,2004-11-19,2004-11-24,14.847887890419075,15.286508560180664,827.6745594283036,8.2767,354.75842400678727,2.9540947035612937,5,profit_target,3,4,105297.38148994202,C_VIX_RSI
CCL,2004-11-19,2004-11-24,33.882828011872306,34.90201950073242,278.998123584049,2.79,281.56253172896504,3.0079882603158112,5,profit_target,3,4,105578.94402167099,C_VIX_RSI
DCI,2004-11-19,2004-11-24,11.818490430137675,12.532468795776367,799.8691112806785,7.9987,563.090549684245,6.041197645834829,5,profit_target,3,4,106142.03457135524,C_VIX_RSI
BC,2004-11-22,2004-11-24,34.96572187463088,36.49727249145508,270.05662678220466,2.7006,410.90482705792573,4.380148713404379,2,profit_target,2,5,106552.93939841316,C_VIX_RSI
GME,2004-11-22,2004-11-24,1.7253314036167338,1.8078107833862305,5472.991961238986,54.7299,396.67906283404307,4.780494900666557,2,profit_target,2,5,106949.6184612472,C_VIX_RSI
NSC,2004-11-22,2004-11-24,20.567775863593862,21.347810745239258,229.5514343673329,1.1478,177.9103687664166,3.7925096365237123,2,partial_exit,1,6,107127.52883001362,C_VIX_RSI
PSA,2004-11-22,2004-11-24,24.79688609746999,25.452035903930664,380.80285021880206,3.808,245.6748851183332,2.6420648297752134,2,profit_target,3,4,107373.20371513195,C_VIX_RSI
SYNA,2004-11-22,2004-11-24,21.34666633605957,25.799999237060547,442.3512671164286,4.4235,1965.5139389778985,20.861959572011692,2,profit_target,3,4,109338.71765410985,C_VIX_RSI
WSM,2004-11-22,2004-11-24,11.439643249176575,11.721674919128418,825.4387568552233,8.2544,224.54548347029987,2.46538868222262,2,profit_target,3,4,109563.26313758014,C_VIX_RSI
CHD,2004-11-17,2004-11-26,5.800818302345262,5.9560418128967285,1604.4534388557263,16.0445,233.00436090700097,2.6758898910643296,9,time_stop,3,4,109796.26749848714,C_VIX_RSI
JPM,2004-11-18,2004-11-26,21.617509710784333,21.328895568847656,437.29576456799197,4.373,-130.58269950901388,-1.3350943091872212,8,time_stop,3,4,109665.68479897812,C_VIX_RSI
RMD,2004-11-18,2004-11-26,10.32639334673527,10.342975616455078,915.4450270889697,9.1545,6.025706081957278,0.16058142628327593,8,time_stop,3,4,109671.71050506008,C_VIX_RSI
XRAY,2004-11-18,2004-11-26,21.27429407559142,21.188913345336914,444.35060469900117,4.4435,-42.38248516522225,-0.40133284776046263,8,time_stop,3,4,109629.32801989486,C_VIX_RSI
NSC,2004-11-22,2004-11-26,20.567775863593862,21.435178756713867,229.5514343673329,3.4433,195.67030677456145,4.2172906729081845,4,profit_target,1,6,109824.99832666942,C_VIX_RSI
RYN,2004-11-23,2004-11-26,5.616311914858649,5.819279670715332,1685.3163752882956,16.8532,325.211718847902,3.6138974995264563,3,profit_target,2,5,110150.21004551732,C_VIX_RSI
CNP,2004-11-24,2004-11-26,4.8387046346376685,4.965691089630127,1956.1562760167983,19.5616,228.84378814245423,2.6243894715835947,2,profit_target,3,4,110379.05383365977,C_VIX_RSI
BAC,2004-11-19,2004-11-29,28.39013300373193,28.50083351135254,332.9764406454447,3.3298,33.5308965987002,0.3899259915621327,10,time_stop,3,4,110412.58473025847,C_VIX_RSI
D,2004-11-19,2004-11-29,13.796657924037836,13.808822631835938,685.183722687151,6.8518,1.4832225476329572,0.08817140980865232,10,time_stop,3,4,110414.0679528061,C_VIX_RSI
ETD,2004-11-19,2004-11-29,17.674664263472618,17.145715713500977,534.8472421380018,5.3485,-288.2551456066074,-2.9926936211444417,10,time_stop,3,4,110125.81280719949,C_VIX_RSI
LOW,2004-11-19,2004-11-29,20.347076523959718,19.926794052124023,464.5996895869413,4.646,-199.9091028495654,-2.0655668707039574,10,time_stop,3,4,109925.90370434993,C_VIX_RSI
USB,2004-11-19,2004-11-29,14.798001512707186,14.743600845336914,638.8190614060846,6.3882,-41.140373883402724,-0.3676217178620896,10,time_stop,3,4,109884.76333046652,C_VIX_RSI
BHE,2004-11-24,2004-11-29,19.92280545276979,20.34775161743164,617.625926211048,6.1763,256.28150927699744,2.1329634808172666,5,profit_target,3,4,110141.04483974352,C_VIX_RSI
ABT,2004-11-22,2004-11-30,12.56621635058422,12.288009643554688,976.868615877135,9.7687,-281.54008698244655,-2.2139258092321357,8,time_stop,3,4,109859.50475276107,C_VIX_RSI
BBWI,2004-11-22,2004-11-30,7.578717887084231,6.9895782470703125,1245.952817238388,12.4595,-746.4997223945355,-7.773605625536471,8,time_stop,3,4,109113.00503036653,C_VIX_RSI
ZION,2004-11-22,2004-11-30,43.58162991362061,43.978431701660156,216.66754825790525,2.1667,83.80739507630247,0.9104794584920597,8,time_stop,3,4,109196.81242544284,C_VIX_RSI
UNFI,2004-11-24,2004-11-30,26.399999618530273,28.1299991607666,358.53267331846234,3.5853,616.6760339845221,6.553028663765714,6,profit_target,3,4,109813.48845942736,C_VIX_RSI
PBI,2004-11-23,2004-12-01,15.34042659490451,15.811724662780762,617.0142909834094,6.1701,284.6275002826818,3.072261810716516,8,time_stop,2,5,110098.11595971005,C_VIX_RSI
CLX,2004-11-24,2004-12-02,29.9276998670368,30.736244201660156,316.2709623823563,3.1627,252.55638521630718,2.701658791739987,8,time_stop,3,4,110350.67234492635,C_VIX_RSI
T,2004-11-24,2004-12-02,4.245488930626146,4.383199214935303,2229.4870139826417,22.2949,284.72842041929636,3.2436849220296207,8,time_stop,3,4,110635.40076534565,C_VIX_RSI
EG,2004-11-30,2004-12-02,53.90093020520548,56.51643753051758,183.9058064088771,1.8391,479.1679257657572,4.852434485554578,2,profit_target,3,4,111114.5686911114,C_VIX_RSI
GE,2004-11-30,2004-12-02,100.74791266253864,102.5744857788086,49.19553057530878,0.35,89.50923358949562,1.8130133597786535,2,partial_exit,1,6,111204.0779247009,C_VIX_RSI
EMR,2004-11-30,2004-12-06,18.859140019257314,19.408021926879883,525.6175003449222,5.2562,283.24576126567786,2.9104291450304647,6,profit_target,3,4,111487.32368596658,C_VIX_RSI
GE,2004-11-30,2004-12-08,100.74791266253864,101.9180908203125,49.19553057530878,0.842,56.725580033569415,1.1614912178810548,8,time_stop,1,6,111544.04926600015,C_VIX_RSI
BBY,2004-12-01,2004-12-09,20.863024259430997,21.2744197845459,473.71914246233104,4.7372,190.14874394564822,1.971888255505109,8,time_stop,3,4,111734.1980099458,C_VIX_RSI
GHC,2004-12-01,2004-12-09,423.96230596656557,426.2115783691406,23.31153930964766,0.7,51.734002030734125,0.5305359393795827,8,time_stop,3,4,111785.93201197653,C_VIX_RSI
OKE,2004-12-02,2004-12-10,4.230339045780626,4.218092918395996,2342.3253619014417,23.4233,-52.107668377109405,-0.2894833546933913,8,time_stop,3,4,111733.82434359942,C_VIX_RSI
PCG,2004-12-02,2004-12-10,19.96303313353644,19.257230758666992,496.35896359495547,4.9636,-355.2949249290078,-3.53554677862931,8,time_stop,3,4,111378.52941867041,C_VIX_RSI
ALKS,2004-12-08,2004-12-10,13.569999694824219,14.010000228881836,961.239289948787,9.6124,413.3334080351432,3.2424505818186518,2,profit_target,3,4,111791.86282670556,C_VIX_RSI
CVS,2004-12-08,2004-12-10,14.452249144339632,14.76628589630127,902.5596459750286,9.0256,274.4113032138932,2.172926503170846,2,profit_target,3,4,112066.27412991946,C_VIX_RSI
DIS,2004-12-08,2004-12-10,21.47308701382246,21.917301177978516,607.4588559559002,6.0746,263.7672393980844,2.0687019238086686,2,profit_target,3,4,112330.04136931755,C_VIX_RSI
IART,2004-12-08,2004-12-10,15.004521369934082,15.375226020812988,668.7223727004545,6.6872,241.21126997983126,2.4706196335040764,2,profit_target,3,4,112571.25263929738,C_VIX_RSI
NVRI,2004-12-08,2004-12-10,18.179455673733962,18.827425003051758,551.9339694110924,5.5193,352.1169442929035,3.564294448342559,2,profit_target,3,4,112923.36958359029,C_VIX_RSI
OLN,2004-12-08,2004-12-10,10.012835408349428,10.433024406433105,1002.0996773171796,10.021,411.05026261871046,4.196503597105905,2,profit_target,3,4,113334.419846209,C_VIX_RSI
DTE,2004-12-03,2004-12-13,15.659252457592137,16.026121139526367,639.1344057021499,6.3913,228.08705294174376,2.342823726277941,10,time_stop,3,4,113562.50689915074,C_VIX_RSI
