ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val,test
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,548.8223245193442,5.4882,85.06743936458815,3.0185220869927196,6,time_stop,2,5,100085.06743936459,G_COMBO_ACD
TTC,2004-10-19,2004-10-25,6.161876462616633,6.139331817626953,486.86467802472845,4.8686,-15.844838104329758,-0.36587304413608246,6,time_stop,2,5,100069.22260126026,G_COMBO_ACD
HOG,2004-10-19,2004-10-27,36.159014547337264,36.716766357421875,82.96686282953247,0.8297,45.44524929191801,1.542497264007111,8,time_stop,2,5,100114.66785055218,G_COMBO_ACD
LPX,2004-10-19,2004-10-27,19.536425685191265,19.06357192993164,153.55930753873872,1.5356,-74.14668830014755,-2.4203698408253387,8,time_stop,3,4,100040.52116225204,G_COMBO_ACD
MKC,2004-10-28,2004-11-01,11.019431020301957,11.431259155273438,272.35667879205266,2.7236,109.44057628603721,3.7372903756349842,4,profit_target,2,5,100149.96173853808,G_COMBO_ACD
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,510.6797026219419,5.1068,1039.2332337974212,11.586402948966374,2,profit_target,3,4,101189.1949723355,G_COMBO_ACD
MUR,2004-10-28,2004-11-05,18.6832438836169,18.80319595336914,160.63675310149375,1.6064,17.662343481788945,0.6420302089907706,8,time_stop,3,4,101206.8573158173,G_COMBO_ACD
ZBRA,2004-11-01,2004-11-09,52.5,55.939998626708984,57.166012092715455,0.7,195.95100309337036,6.552378336588542,8,profit_target,3,4,101402.80831891067,G_COMBO_ACD
XRAY,2004-11-02,2004-11-10,21.184850938130275,22.046716690063477,425.46896283538064,4.2547,362.44243795000096,4.0683116178171606,8,time_stop,3,4,101765.25075686067,G_COMBO_ACD
FCN,2004-11-03,2004-11-11,18.790000915527344,19.549999237060547,479.6964405158712,4.797,359.7715252323554,4.044695500281585,8,time_stop,3,4,102125.02228209302,G_COMBO_ACD
SPGI,2004-11-03,2004-11-11,29.53320902058207,29.74021339416504,305.19868498498784,3.052,60.12547575381327,0.7009206938490989,8,time_stop,3,4,102185.14775784683,G_COMBO_ACD
HBAN,2004-11-04,2004-11-12,11.015935243402312,11.326701164245605,818.2234515101031,8.1822,246.09372984901378,2.8210579853346336,8,time_stop,3,4,102431.24148769585,G_COMBO_ACD
OII,2004-11-02,2004-11-15,7.70169597152832,7.90059232711792,1170.326196955785,11.7033,221.07035345598416,2.5825007417182047,13,time_stop,3,4,102652.31184115184,G_COMBO_ACD
IRM,2004-11-03,2004-11-15,7.939564567038044,8.257631301879883,1135.2633359628976,11.3526,349.7368690957435,4.006097968676105,12,time_stop,3,4,103002.04871024757,G_COMBO_ACD
NTAP,2004-11-11,2004-11-17,18.46254656444653,21.70725440979004,496.07850878788156,4.9608,1604.6690442824695,17.574541161032837,6,profit_target,3,4,104606.71775453005,G_COMBO_ACD
