ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val,test
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,548.8223245193442,5.4882,85.06743936458815,3.0185220869927196,6,profit_target,2,5,100085.06743936459,H_COMBO_BCD
HOG,2004-10-19,2004-10-27,36.159006769667975,36.716766357421875,82.96688067539934,0.8297,45.44590435598372,1.5425191054245908,8,time_stop,2,5,100130.51334372058,H_COMBO_BCD
LPX,2004-10-19,2004-10-27,19.53642762223242,19.063583374023438,153.55929231329915,1.5356,-74.14522105251831,-2.4203209376461774,8,time_stop,3,4,100056.36812266806,H_COMBO_BCD
TTC,2004-10-19,2004-10-27,6.161874083870105,6.434275150299072,486.8648659752849,4.8686,127.75386003871112,4.420750289948798,8,time_stop,2,5,100184.12198270677,H_COMBO_BCD
MKC,2004-10-28,2004-11-01,11.019431949029482,11.431258201599121,272.74760381327184,2.7275,109.59714753763572,3.7372729780858656,4,profit_target,2,5,100293.71913024441,H_COMBO_BCD
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,65.83528016006444,0.7,164.54644269942995,4.780949183872768,2,profit_target,3,4,100458.26557294384,H_COMBO_BCD
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,588.1246546363766,5.8812,1196.8337170553766,11.586402948966374,2,profit_target,3,4,101655.09928999921,H_COMBO_BCD
OII,2004-11-02,2004-11-04,7.70169644891337,8.14368724822998,1347.806940825987,13.4781,582.2401976918941,5.738875872976935,2,profit_target,3,4,102237.3394876911,H_COMBO_BCD
MUR,2004-10-28,2004-11-05,18.683249726855728,18.80318832397461,160.86728505057636,1.6087,17.68552364078363,0.6419578974340814,8,time_stop,3,4,102255.02501133189,H_COMBO_BCD
XRAY,2004-11-02,2004-11-05,21.184847103564756,21.615779876708984,489.9917322619522,4.8999,206.2535786787677,2.034155691743064,3,profit_target,3,4,102461.27859001065,H_COMBO_BCD
SPGI,2004-11-03,2004-11-05,29.533207115903608,30.340534210205078,351.4823124099671,3.5148,280.2463708522008,2.733624868891146,2,profit_target,3,4,102741.52496086285,H_COMBO_BCD
IRM,2004-11-03,2004-11-08,7.939564092233683,8.116806983947754,1307.4269329388233,13.0743,218.65786096954776,2.2324007924748224,5,profit_target,3,4,102960.1828218324,H_COMBO_BCD
FCN,2004-11-03,2004-11-09,18.790000915527344,19.5,552.442758073648,5.5244,386.7094248751026,3.7786005847713398,6,profit_target,3,4,103346.8922467075,H_COMBO_BCD
HBAN,2004-11-04,2004-11-11,11.015932458595096,11.247845649719238,943.8538703718334,9.4385,209.45362432908655,2.105252478587905,7,profit_target,3,4,103556.3458710366,H_COMBO_BCD
TGT,2004-11-12,2004-11-15,30.65589303301299,31.58978843688965,304.02217016991193,3.0402,280.88468569658886,3.0463813364398047,3,profit_target,3,4,103837.23055673318,H_COMBO_BCD
NTAP,2004-11-11,2004-11-17,18.462552320824617,21.707256317138672,503.788432962894,5.0379,1629.6064574018685,17.57451483376017,6,profit_target,3,4,105466.83701413505,H_COMBO_BCD
VFC,2004-11-11,2004-11-19,7.14983411148097,7.069631576538086,1300.9001547697562,13.009,-117.34449166782167,-1.1217398011248547,8,time_stop,3,4,105349.49252246722,H_COMBO_BCD
VRTX,2004-11-18,2004-11-22,10.569999694824219,10.859999656677246,898.0147214119677,8.9801,251.44408773880798,2.7436137202069246,4,profit_target,3,4,105600.93661020603,H_COMBO_BCD
HL,2004-11-16,2004-11-24,6.350227137148777,6.229712963104248,1471.6561389490714,14.7166,-192.0719854524987,-1.8977931252178695,8,time_stop,3,4,105408.86462475354,H_COMBO_BCD
JBHT,2004-11-16,2004-11-24,16.090419943175647,16.038747787475586,580.802165705413,5.808,-35.81932159431673,-0.3211361535779944,8,time_stop,3,4,105373.04530315922,H_COMBO_BCD
AEP,2004-11-19,2004-11-24,14.847887890419075,15.286508560180664,831.0690396993239,8.3107,356.2133684140445,2.9540947035612937,5,profit_target,3,4,105729.25867157326,H_COMBO_BCD
CCL,2004-11-19,2004-11-24,33.882828011872306,34.90201950073242,280.14235789132533,2.8014,282.7172832531301,3.0079882603158112,5,profit_target,3,4,106011.9759548264,H_COMBO_BCD
DCI,2004-11-19,2004-11-24,11.818490430137675,12.532468795776367,803.1495551299084,8.0315,565.3999111837953,6.041197645834829,5,profit_target,3,4,106577.37586601019,H_COMBO_BCD
BC,2004-11-22,2004-11-24,34.96572187463088,36.49727249145508,271.1642665641989,2.7116,412.5901570514381,4.380148713404379,2,profit_target,2,5,106989.96602306163,H_COMBO_BCD
GME,2004-11-22,2004-11-24,1.7253314036167338,1.8078107833862305,5495.439488985425,54.9544,398.3060457224635,4.780494900666557,2,profit_target,2,5,107388.27206878409,H_COMBO_BCD
NSC,2004-11-22,2004-11-24,20.567775863593862,21.347810745239258,230.49294172358142,1.1525,178.64006980883497,3.7925096365237123,2,partial_exit,1,6,107566.91213859293,H_COMBO_BCD
PSA,2004-11-22,2004-11-24,24.79688609746999,25.452035903930664,382.36471667260815,3.8236,246.6825229587236,2.6420648297752134,2,profit_target,3,4,107813.59466155166,H_COMBO_BCD
SYNA,2004-11-22,2004-11-24,21.34666633605957,25.799999237060547,444.1655749781234,4.4417,1973.5755127923119,20.861959572011692,2,profit_target,3,4,109787.17017434398,H_COMBO_BCD
WSM,2004-11-22,2004-11-24,11.439643249176575,11.721674919128418,828.8243016410956,8.2882,225.46645887209752,2.46538868222262,2,profit_target,3,4,110012.63663321607,H_COMBO_BCD
CHD,2004-11-17,2004-11-26,5.800818302345262,5.9560418128967285,1611.0400745232225,16.1104,233.9608952613583,2.6758898910643296,9,time_stop,3,4,110246.59752847743,H_COMBO_BCD
JPM,2004-11-18,2004-11-26,21.617509710784333,21.328895568847656,439.08921324720717,4.3909,-131.11824864746515,-1.3350943091872212,8,time_stop,3,4,110115.47927982996,H_COMBO_BCD
RMD,2004-11-18,2004-11-26,10.32639334673527,10.342975616455078,919.1994738679108,9.192,6.0504188633049365,0.16058142628327593,8,time_stop,3,4,110121.52969869327,H_COMBO_BCD
XRAY,2004-11-18,2004-11-26,21.27429407559142,21.188913345336914,446.17298687069496,4.4617,-42.556305307561196,-0.40133284776046263,8,time_stop,3,4,110078.9733933857,H_COMBO_BCD
NSC,2004-11-22,2004-11-26,20.567775863593862,21.435178756713867,230.49294172358142,3.4574,196.47285036892146,4.2172906729081845,4,profit_target,1,6,110275.44624375463,H_COMBO_BCD
RYN,2004-11-23,2004-11-26,5.616311914858649,5.819279670715332,1692.2287150352727,16.9223,326.5455775365951,3.6138974995264563,3,profit_target,2,5,110601.99182129123,H_COMBO_BCD
CNP,2004-11-24,2004-11-26,4.8387046346376685,4.965691089630127,1964.1794679683371,19.6418,229.7823929265888,2.6243894715835947,2,profit_target,3,4,110831.77421421782,H_COMBO_BCD
BAC,2004-11-19,2004-11-29,28.39013300373193,28.50083351135254,334.34205222019966,3.3434,33.668414377490606,0.3899259915621327,10,time_stop,3,4,110865.44262859531,H_COMBO_BCD
D,2004-11-19,2004-11-29,13.796657924037836,13.808822631835938,687.9938158598736,6.8799,1.489305578237341,0.08817140980865232,10,time_stop,3,4,110866.93193417354,H_COMBO_BCD
ETD,2004-11-19,2004-11-29,17.674664263472618,17.145715713500977,537.0407714554922,5.3704,-289.4373450515892,-2.9926936211444417,10,time_stop,3,4,110577.49458912195,H_COMBO_BCD
LOW,2004-11-19,2004-11-29,20.347076523959718,19.926794052124023,466.5051178283437,4.6651,-200.72897522318155,-2.0655668707039574,10,time_stop,3,4,110376.76561389877,H_COMBO_BCD
USB,2004-11-19,2004-11-29,14.798001512707186,14.743600845336914,641.4390026329751,6.4144,-41.30909984688536,-0.3676217178620896,10,time_stop,3,4,110335.45651405188,H_COMBO_BCD
BHE,2004-11-24,2004-11-29,19.92280545276979,20.34775161743164,620.1591243102961,6.2016,257.33265011260926,2.1329634808172666,5,profit_target,3,4,110592.7891641645,H_COMBO_BCD
ABT,2004-11-22,2004-11-30,12.56621635058422,12.288009643554688,980.8752516468983,9.8088,-282.6948262839167,-2.2139258092321357,8,time_stop,3,4,110310.09433788058,H_COMBO_BCD
BBWI,2004-11-22,2004-11-30,7.578717887084231,6.9895782470703125,1251.0631043781814,12.5106,-749.561497991839,-7.773605625536471,8,time_stop,3,4,109560.53283988875,H_COMBO_BCD
ZION,2004-11-22,2004-11-30,43.58162991362061,43.978431701660156,217.5562122347058,2.1756,84.15113189149525,0.9104794584920597,8,time_stop,3,4,109644.68397178025,H_COMBO_BCD
UNFI,2004-11-24,2004-11-30,26.399999618530273,28.1299991607666,360.00319819124485,3.6,619.2053360925552,6.553028663765714,6,profit_target,3,4,110263.8893078728,H_COMBO_BCD
PBI,2004-11-23,2004-12-01,15.34042659490451,15.811724662780762,619.5449804554606,6.1954,285.7949024465338,3.072261810716516,8,time_stop,2,5,110549.68421031933,H_COMBO_BCD
CLX,2004-11-24,2004-12-02,29.9276998670368,30.736244201660156,317.56815048077266,3.1757,253.59224742323846,2.701658791739987,8,time_stop,3,4,110803.27645774257,H_COMBO_BCD
T,2004-11-24,2004-12-02,4.245488930626146,4.383199214935303,2238.6312743292992,22.3863,285.89623650796494,3.2436849220296207,8,time_stop,3,4,111089.17269425053,H_COMBO_BCD
EG,2004-11-30,2004-12-02,53.90093020520548,56.51643753051758,184.66009745808725,1.8466,481.13323661989165,4.852434485554578,2,profit_target,3,4,111570.30593087043,H_COMBO_BCD
GE,2004-11-30,2004-12-02,100.74791266253864,102.5744857788086,49.39730641424884,0.35,89.87779191241636,1.8130133597786535,2,partial_exit,1,6,111660.18372278284,H_COMBO_BCD
EMR,2004-11-30,2004-12-06,18.859140019257314,19.408021926879883,527.7733244788101,5.2777,284.40749588744615,2.9104291450304647,6,profit_target,3,4,111944.59121867028,H_COMBO_BCD
GE,2004-11-30,2004-12-08,100.74791266253864,101.9180908203125,49.39730641424884,0.844,56.95967595467417,1.1614912178810548,8,time_stop,1,6,112001.55089462495,H_COMBO_BCD
BBY,2004-12-01,2004-12-09,20.863024259430997,21.2744197845459,547.0114208493034,5.4701,219.5679365156545,1.971888255505109,8,time_stop,3,4,112221.1188311406,H_COMBO_BCD
GHC,2004-12-01,2004-12-09,423.96230596656557,426.2115783691406,26.918224527877793,0.7,59.846419556874565,0.5305359393795827,8,time_stop,3,4,112280.96525069748,H_COMBO_BCD
OKE,2004-12-02,2004-12-10,4.230339045780626,4.218092918395996,2704.722291037236,27.0472,-60.169596626463075,-0.2894833546933913,8,time_stop,3,4,112220.79565407101,H_COMBO_BCD
PCG,2004-12-02,2004-12-10,19.96303313353644,19.257230758666992,573.1540011595986,5.7315,-410.26499519596786,-3.53554677862931,8,time_stop,3,4,111810.53065887505,H_COMBO_BCD
ALKS,2004-12-08,2004-12-10,13.569999694824219,14.010000228881836,965.1818325080723,9.6518,415.02870344118065,3.2424505818186518,2,profit_target,3,4,112225.55936231623,H_COMBO_BCD
CVS,2004-12-08,2004-12-10,14.452249144339632,14.76628589630127,906.2615127773516,9.0626,275.5368067726662,2.172926503170846,2,profit_target,3,4,112501.0961690889,H_COMBO_BCD
DIS,2004-12-08,2004-12-10,21.47308701382246,21.917301177978516,609.950360847204,6.0995,264.84908611195266,2.0687019238086686,2,profit_target,3,4,112765.94525520084,H_COMBO_BCD
IART,2004-12-08,2004-12-10,15.004521369934082,15.375226020812988,671.465151155607,6.7147,242.20060292493525,2.4706196335040764,2,profit_target,3,4,113008.14585812578,H_COMBO_BCD
NVRI,2004-12-08,2004-12-10,18.179455673733962,18.827425003051758,554.1977378473935,5.542,353.5611591239413,3.564294448342559,2,profit_target,3,4,113361.70701724972,H_COMBO_BCD
OLN,2004-12-08,2004-12-10,10.012835408349428,10.433024406433105,1006.209809588905,10.0621,412.73619365724085,4.196503597105905,2,profit_target,3,4,113774.44321090696,H_COMBO_BCD
DTE,2004-12-03,2004-12-13,15.659252457592137,16.026121139526367,738.0192028071481,7.3802,263.3759401479382,2.342823726277941,10,time_stop,3,4,114037.8191510549,H_COMBO_BCD
EIX,2004-12-03,2004-12-13,14.688272164646444,14.669496536254883,786.8065682445913,7.8681,-22.640853423845563,-0.1278273453888762,10,time_stop,3,4,114015.17829763105,H_COMBO_BCD
NUE,2004-12-03,2004-12-13,13.750331486003212,14.178497314453125,840.4763933925516,8.4048,351.4585073355913,3.113858228696182,10,time_stop,3,4,114366.63680496663,H_COMBO_BCD
BALL,2004-12-07,2004-12-13,8.7073089241651,9.086153984069824,1157.0754290937675,11.5708,426.7815559583759,4.350885712270171,6,profit_target,3,4,114793.418360925,H_COMBO_BCD
PCAR,2004-12-08,2004-12-13,10.87869808868424,11.186638832092285,926.1230643177892,9.2612,275.92979427017855,2.8306764366257884,5,profit_target,3,4,115069.34815519518,H_COMBO_BCD
TXT,2004-12-08,2004-12-13,31.897509263231175,32.597286224365234,315.85579696951356,3.1586,217.8700517902075,2.193829478531431,5,profit_target,3,4,115287.21820698539,H_COMBO_BCD
AGCO,2004-12-09,2004-12-13,16.43409030642607,17.224111557006836,797.3779631445198,7.9738,621.971755997531,4.807210109292448,4,profit_target,2,5,115909.18996298291,H_COMBO_BCD
AZTA,2004-12-10,2004-12-13,13.26493743752276,13.547842979431152,990.3456383571853,9.9035,270.27081311247946,2.132731822075026,3,profit_target,3,4,116179.4607760954,H_COMBO_BCD
LMT,2004-12-10,2004-12-13,32.29222097253816,33.1878547668457,312.93254437830325,3.1293,277.14363664007016,2.773528011805705,3,profit_target,3,4,116456.60441273547,H_COMBO_BCD
WOR,2004-12-10,2004-12-13,7.0505956047894,7.25930643081665,1433.2529390422492,14.3325,284.80287542306934,2.960187163272772,3,profit_target,3,4,116741.40728815855,H_COMBO_BCD
ETD,2004-12-08,2004-12-14,16.19532989714215,16.68556785583496,808.7218510377875,8.0872,388.3789308926572,3.0270328656862815,6,profit_target,3,4,117129.78621905121,H_COMBO_BCD
FBP,2004-12-08,2004-12-14,325.2413543585244,345.1346740722656,30.977036206085593,0.7,615.536085031798,6.116479176818379,6,profit_target,3,4,117745.322304083,H_COMBO_BCD
R,2004-12-08,2004-12-14,30.368063584096994,31.50324058532715,331.76343897529114,3.3176,373.29259138402136,3.7380618559578442,6,profit_target,3,4,118118.61489546702,H_COMBO_BCD
TFX,2004-12-08,2004-12-14,38.409827529863904,39.50076675415039,262.30300570464505,2.623,283.53360751439294,2.840260668804811,6,profit_target,3,4,118402.1485029814,H_COMBO_BCD
GWW,2004-12-09,2004-12-14,42.93944931055179,44.36371612548828,234.75241863521495,2.3475,332.002555401864,3.3169191449935536,5,profit_target,3,4,118734.15105838327,H_COMBO_BCD
ARW,2004-12-10,2004-12-14,24.219999313354492,24.799999237060547,542.3977418153005,5.424,309.1666714530577,2.394714864365222,4,profit_target,3,4,119043.31772983633,H_COMBO_BCD
T,2004-12-10,2004-12-14,4.248848420712206,4.358006477355957,2378.358998005603,23.7836,235.83345624341422,2.569120990799042,4,profit_target,2,5,119279.15118607975,H_COMBO_BCD
HLX,2004-12-07,2004-12-15,19.799999237060547,20.75,508.8390706006933,5.0884,478.3091145780539,4.797983836086691,8,time_stop,3,4,119757.4603006578,H_COMBO_BCD
GATX,2004-12-10,2004-12-15,16.532732870510507,17.081497192382812,611.2290661024111,6.1123,329.3084133073079,3.3192595935009503,5,profit_target,2,5,120086.76871396511,H_COMBO_BCD
AMT,2004-12-13,2004-12-15,12.68351379754763,13.291626930236816,1049.5206666034398,10.4952,627.7320937242273,4.794516270457847,2,profit_target,3,4,120714.50080768934,H_COMBO_BCD
HBAN,2004-12-08,2004-12-16,11.057676407278558,11.089287757873535,911.1329395612075,9.1113,19.69081339548914,0.2858769729793247,8,time_stop,3,4,120734.19162108483,H_COMBO_BCD
KEY,2004-12-08,2004-12-16,16.249585618737825,16.23977279663086,620.016623566238,6.2002,-12.284279066079431,-0.06038813750210556,8,time_stop,3,4,120721.90734201875,H_COMBO_BCD
KMT,2004-12-08,2004-12-16,15.77838320082471,15.768942832946777,638.5326735602239,6.3853,-12.413310076090363,-0.05983102170721015,8,time_stop,3,4,120709.49403194265,H_COMBO_BCD
LHX,2004-12-08,2004-12-16,20.36432023152769,19.7199649810791,494.73849827220664,4.9474,-323.7347339434677,-3.16413827283568,8,time_stop,3,4,120385.75929799919,H_COMBO_BCD
LUV,2004-12-08,2004-12-16,13.4315265297363,13.44003677368164,750.1018731843377,7.501,-1.1174688071870493,0.06336021394515745,8,time_stop,3,4,120384.641829192,H_COMBO_BCD
PGR,2004-12-08,2004-12-16,11.781468173874462,11.013335227966309,855.1576985983614,8.5516,-665.4263792263794,-6.519840605362723,8,time_stop,3,4,119719.21544996562,H_COMBO_BCD
TFC,2004-12-08,2004-12-16,18.7073556790815,18.698469161987305,538.5589167445065,5.3856,-10.17150218732553,-0.04750279647556233,8,time_stop,3,4,119709.0439477783,H_COMBO_BCD
USB,2004-12-08,2004-12-16,14.58038880674934,14.976057052612305,690.9975682552819,6.91,266.4958200445885,2.7137016104797382,8,time_stop,3,4,119975.53976782288,H_COMBO_BCD
WY,2004-12-08,2004-12-16,11.833632125257397,11.980608940124512,851.3880694479659,8.5139,116.62042596884419,1.2420262292370166,8,time_stop,3,4,120092.16019379171,H_COMBO_BCD
