ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val,put_lower_otm,put_upper_otm
SPY_PUT_SPREAD,2004-01-02,2004-01-02,73.83389282226562,73.83389282226562,0.0,0.0,-750.0,-0.75,0,put_premium,0,0,99250.0,0.05,0.15
SPY_PUT_SPREAD,2004-04-05,2004-04-05,76.7838363647461,76.7838363647461,0.0,0.0,-744.375,-0.75,0,put_premium,0,0,98505.625,0.05,0.15
SPY_PUT_SPREAD,2004-04-05,2004-07-06,76.7838363647461,72.4940414428711,0.0,0.0,578.08,0.5868,62,put_payout,0,0,99083.70161680148,0.05,0.15
SPY_PUT_SPREAD,2004-07-08,2004-07-08,74.50357818603516,74.50357818603516,0.0,0.0,-743.1277621260111,-0.75,0,put_premium,0,0,98340.57385467547,0.05,0.15
SPY_PUT_SPREAD,2004-10-07,2004-10-07,76.16312408447266,76.16312408447266,0.0,0.0,-737.554303910066,-0.75,0,put_premium,0,0,97603.01955076541,0.05,0.15
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,535.6671606995808,5.3567,83.0283894743545,3.0185220869927196,6,profit_target,2,5,97686.04794023976,,
HOG,2004-10-19,2004-10-27,36.15903010267586,36.716766357421875,80.97812851197789,0.8098,44.35465682749252,1.5424535812003002,8,time_stop,2,5,97730.40259706725,,
LPX,2004-10-19,2004-10-27,19.536421811108948,19.063568115234375,149.8785506800416,1.4988,-72.36941212818255,-2.420370016814928,8,time_stop,3,4,97658.03318493906,,
TTC,2004-10-19,2004-10-27,6.161876462616633,6.434274673461914,475.1946268782468,4.7519,124.69021989614271,4.420702240589989,8,time_stop,2,5,97782.72340483521,,
MKC,2004-10-28,2004-11-01,11.019443093759776,11.431257247924805,266.2096148766596,2.6621,106.96679123226305,3.737159406887232,4,profit_target,2,5,97889.69019606747,,
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,57.83149641371682,0.7,144.45695893018268,4.780949183872768,2,profit_target,3,4,98034.14715499766,,
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,574.0273741794362,5.7403,1168.1457502499659,11.586402948966374,2,profit_target,3,4,99202.29290524762,,
OII,2004-11-02,2004-11-04,7.701694061988121,8.143688201904297,1315.5005708805847,13.155,568.2885376767964,5.73892102644855,2,profit_target,3,4,99770.58144292442,,
MUR,2004-10-28,2004-11-05,18.683238040378075,18.803186416625977,157.01141824587566,1.5701,17.263150488514118,0.6420106407072997,8,time_stop,3,4,99787.84459341294,,
XRAY,2004-11-02,2004-11-05,21.184854772695786,21.615785598754883,478.24651355888113,4.7825,201.3087000122228,2.0341457644283887,3,profit_target,3,4,99989.15329342516,,
SPGI,2004-11-03,2004-11-05,29.53320330654668,30.340553283691406,377.3631025778976,3.7736,300.89046121574904,2.7337027032409913,2,profit_target,3,4,100290.04375464091,,
IRM,2004-11-03,2004-11-08,7.939566466255487,8.11680793762207,1403.6964456673213,14.037,234.7562589254464,2.232382235477089,5,profit_target,3,4,100524.80001356636,,
