date,Baseline_V47+I3,Idea_A_VIX_calls,Idea_B_CDaR,Idea_B2_CDaR_comb,Idea_C_VVIX,Idea_D_Dyn_strike,Idea_E_Gap_regime,Idea_G_D+A_combo
2004-01-31,99250.0,98952.25,99250.0,99250.0,99250.0,99250.0,99250.0,98952.25
2004-02-29,99250.0,98655.39325,99250.0,99250.0,99250.0,99250.0,99250.0,98655.39325
2004-03-31,99250.0,98359.42707024999,99250.0,99250.0,99250.0,99250.0,99250.0,98359.42707024999
2004-04-30,98505.625,97515.35502127175,98505.625,98505.625,98505.625,98505.625,98505.625,97515.35502127175
2004-05-31,98505.625,97222.80895435823,98505.625,98505.625,98505.625,98505.625,98505.625,97222.80895435823
2004-06-30,98505.625,96931.14052564545,98505.625,98505.625,98505.625,98505.625,98505.625,96931.14052564545
2004-07-31,98340.59703405523,96482.46176220523,98340.59703405523,98340.59703405523,98340.59703405523,100295.94119030522,98340.59703405523,98414.43512839724
2004-08-31,98340.59703405523,96193.01438571382,98340.59703405523,98340.59703405523,98340.59703405523,100295.94119030522,98340.59703405523,98119.19181792521
2004-09-30,98340.59703405523,95904.43535135187,98340.59703405523,98340.59703405523,98340.59703405523,100295.94119030522,98340.59703405523,97824.83423738461
2004-10-31,97782.7477792553,95074.3243560881,97782.7477792553,97782.7477792553,97782.7477792553,99727.00004581374,97782.7477792553,96978.10098565592
2004-11-30,107545.81679356807,104257.10517465386,107545.81679356807,107545.81679356807,107545.81679356807,109684.20601837644,107511.65105777673,106344.77395808915
2004-12-31,121410.68100302391,117347.3869328702,121410.68100302391,121410.68100302391,121410.68100302391,123824.7956909689,120992.01184792156,119697.22352164339
2005-01-31,119591.7639980089,115238.7379350014,119591.7639980089,119591.7639980089,119591.7639980089,122140.05446864408,119172.91582795882,117711.99737902316
2005-02-28,127673.9093194822,122652.61580461668,127673.9093194822,127673.9093194822,127673.9093194822,130394.44724121602,127256.69695990393,125285.02426703833
2005-03-31,126588.83111889617,121224.39526908331,126588.83111889617,126588.83111889617,126588.83111889617,129286.30637581596,126175.15298102265,123826.20972208849
2005-04-30,123942.66135722217,118325.34486764259,123942.66135722217,123942.66135722217,123942.66135722217,126583.76475917382,123909.73195281358,120864.95267427184
2005-05-31,136475.157843726,129906.17135589398,136475.157843726,136475.157843726,136475.157843726,139383.34845570073,136178.20884564405,132694.37011967142
2005-06-30,148644.45511428497,141084.49774513676,148644.45511428497,148644.45511428497,148644.45511428497,151811.9640005244,148385.44481803392,144112.618880911
2005-07-31,148354.24141518766,140382.06531339957,148354.24141518766,148354.24141518766,148354.24141518766,152975.04854339085,148097.1136807944,144788.65748385602
2005-08-31,154925.43417579887,146163.1923530843,154925.43417579887,154925.43417579887,154925.43417579887,159750.95958213048,154656.91472444806,150751.29959582965
2005-09-30,154668.62426466888,145488.36784938542,154668.62426466888,154668.62426466888,154668.62426466888,159486.1507349454,154400.549920691,150055.29213944124
2005-10-31,148501.62855713794,139681.72811519456,148501.62855713794,148501.62855713794,148501.62855713794,153127.07655935574,148244.2417421148,144066.40216302307
2005-11-30,155585.3019937575,145906.80152838162,155585.3019937575,155585.3019937575,155585.3019937575,160431.3876480782,154890.85668477623,150486.88356422877
2005-12-31,166147.17353560316,155363.9607332758,166147.17353560316,166147.17353560316,166147.17353560316,171322.23349395618,165405.58597170774,160240.9074532704
2006-01-31,176284.20055663318,164361.57134866036,176284.20055663318,176284.20055663318,176284.20055663318,181775.09024216342,175267.09617665477,169521.05894099316
2006-02-28,189407.22067621798,176059.89601473237,189407.22067621798,189407.22067621798,189407.22067621798,195306.88700017388,188314.45688996383,181586.6297214255
2006-03-31,225903.52688238083,209408.62936313378,225903.52688238083,225903.52688238083,225903.52688238083,232939.97906038247,224600.20174153088,215982.22049522933
2006-04-30,234716.7986840616,216920.59746462354,234716.7986840616,234716.7986840616,234716.7986840616,242027.76638852214,233362.6263577872,223729.99844005724
2006-05-31,181469.57661582503,167114.03449436286,181469.57661582503,181469.57661582503,181469.57661582503,187122.05625441528,184348.81396686033,172360.0018183903
2006-06-30,162947.72218977206,149804.8061066313,164820.9823301426,165085.00217541106,162947.72218977206,168023.2780668909,165533.3341993286,154507.40363723523
2006-07-31,162180.42194844395,148954.68389691206,164380.80050929173,164676.41412599443,162180.42194844395,171834.92045437143,164694.19031470895,157872.65535529805
2006-08-31,172709.85680144178,158160.00098279153,173197.685849772,173434.57774852615,172709.85680144178,182991.164837626,175386.82940422962,167629.09832536528
2006-09-30,189764.25059320725,173248.5320763958,187303.73447667892,187439.11585790545,189764.25059320725,201060.79417723135,192611.40342321276,183620.98559480556
2006-10-31,200125.42447744287,182160.34959783003,195504.60573981743,195564.59461467108,200125.42447744287,212038.844212004,203128.28336877708,193066.44088684887
2006-11-30,223872.80956997693,203164.98414193574,215830.2913087793,215771.2730765115,223872.80956997693,237199.90400091253,227231.9950230847,215328.6410997949
2006-12-31,227643.22471369212,205934.5179601207,219465.12746762866,219405.11055645096,227643.22471369212,241194.81181765773,231058.99510989807,218264.03041502874
2007-01-31,234093.7403457867,211139.36020130373,225683.85724583926,225622.13931906025,234093.7403457867,248029.4097347637,237364.04420317928,223780.5762142826
2007-02-28,243780.9128280894,219217.1276597353,235022.98916427034,234958.71705905852,243780.9128280894,258293.3051395769,247186.55726533852,232342.01480487542
2007-03-31,235091.50728512186,210702.26493242546,226645.72872864408,226583.74737452235,235091.50728512186,249086.65747818854,238375.76970762838,223317.3950232506
2007-04-30,255190.80798248743,228730.41849451742,246022.90843561888,245955.62757475977,255190.80798248743,272377.64946684,258755.87009010342,244230.4564626708
2007-05-31,282247.24442300224,252216.84814873777,272107.32134519133,272032.90687887376,282247.24442300224,301262.7837004011,284658.6178046873,269314.3660033442
2007-06-30,298730.3082435858,266148.6166670753,287998.1678546853,287919.4072473988,298730.3082435858,318856.43984126934,301282.55121377826,284190.6530496331
2007-07-31,291469.8593020094,258907.63843115018,280998.53335787717,280921.6868053195,291469.8593020094,311106.88240197476,293960.0772598324,276458.8714235062
2007-08-31,278320.23119516997,251185.0180978903,268321.31787479634,268247.9382453118,277761.3688158931,297071.33316099236,280698.10338603036,268212.73863878526
2007-09-30,291573.9736092628,262358.96140733914,281098.8910159663,281022.0168235992,290988.49793661037,311218.01113308966,293826.6884238026,280144.20683220064
2007-10-31,295438.8860275308,267236.9281565413,284824.9526441466,284747.05945815676,294845.64967530244,315343.3117209037,297721.45663167053,285352.852099439
2007-11-30,276718.05420225003,250526.3794855083,266776.6851625913,266703.7277697352,276162.40896761196,295361.21376490046,278420.3166736351,267509.4986599434
2007-12-31,279443.0909447304,255835.37291436084,269403.82227297,269330.1464175066,278881.9738818328,298269.842592409,281162.1167621873,273178.37872939714
2008-01-31,302194.85260678665,277268.9284259839,291338.20409788773,291258.5303160792,301588.0509511264,322554.44357870246,304092.96507254854,296064.92328990024
2008-02-29,302194.85260678665,279828.88572709204,291338.20409788773,291258.5303160792,301588.0509511264,322554.44357870246,304092.96507254854,298798.42076629744
2008-03-31,302194.85260678665,282139.1513722061,291338.20409788773,291258.5303160792,301588.0509511264,322554.44357870246,304092.96507254854,301265.2953357252
2008-04-30,302387.8855922832,285552.6457486912,291524.2996506395,291444.5783270695,301780.69227285834,320135.28535759874,304287.20554431743,302500.5859199835
2008-05-31,308450.50310615246,290705.588767196,297369.11165204394,297287.7919045269,307831.1361520303,326553.72266194934,310354.6190610666,307961.9052422436
2008-06-30,308450.50310615246,291254.20694936696,297369.11165204394,297287.7919045269,307831.1361520303,326553.72266194934,310354.6190610666,308543.0907096026
2008-07-31,327305.4124091699,311154.73772204167,315546.64815853396,315460.3505133457,326648.19188185234,346515.24965403817,329328.21279412985,329624.73987944366
2008-08-31,327305.4124091699,311710.392672163,315546.64815853396,315460.3505133457,326648.19188185234,346515.24965403817,329328.21279412985,330213.3788328843
2008-09-30,327305.4124091699,316842.3952936093,315546.64815853396,315460.3505133457,326648.19188185234,346515.24965403817,329328.21279412985,335650.00880795886
2008-10-31,357335.68270323914,351951.9699996254,344498.0483044944,344403.84259202355,356618.16427238553,378308.01899515116,359544.07506720163,372843.68054649315
2008-11-30,357335.68270323914,358660.02224345057,344498.0483044944,344403.84259202355,356618.16427238553,378308.01899515116,359544.07506720163,379949.92090952373
2008-12-31,357335.68270323914,366191.880914396,344498.0483044944,344403.84259202355,356618.16427238553,378308.01899515116,359544.07506720163,387928.8724001779
2009-01-31,393069.25270323915,409077.11007743137,378947.8583044944,378844.22259202355,392279.98427238554,423704.9789951512,395498.48506720166,440816.6208321358
2009-02-28,390121.2332517893,415009.20165333425,376105.74935884675,376002.8908989202,389337.8843947501,420527.19176273234,392532.24646882777,447044.90609785926
