ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val,put_lo,put_hi
SPY_PUT_SPREAD,2004-01-02,2004-01-02,73.8338851928711,73.8338851928711,0.0,0.0,-750.0,-0.75,0,put_premium,0,0,99250.0,0.05,0.15
SPY_PUT_SPREAD,2004-04-05,2004-04-05,76.78386688232422,76.78386688232422,0.0,0.0,-744.375,-0.75,0,put_premium,0,0,98505.625,0.03,0.13
SPY_PUT_SPREAD,2004-04-05,2004-07-06,76.78386688232422,72.49404907226562,0.0,0.0,2548.22,2.5869,62,put_payout,0,0,101053.8412926362,0.03,0.13
SPY_PUT_SPREAD,2004-07-08,2004-07-08,74.50359344482422,74.50359344482422,0.0,0.0,-757.9038096947716,-0.75,0,put_premium,0,0,100295.93748294143,0.05,0.15
SPY_PUT_SPREAD,2004-10-07,2004-10-07,76.1631088256836,76.1631088256836,0.0,0.0,-752.2195311220607,-0.75,0,put_premium,0,0,99543.71795181937,0.03,0.13
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,546.3181467761548,5.4632,84.67929190992058,3.0185220869927196,6,profit_target,2,5,99628.3972437293,,
HOG,2004-10-19,2004-10-27,36.15901843617192,36.71674728393555,82.58829104628582,0.8259,45.23598949354923,1.5424335943967424,8,time_stop,2,5,99673.63323322285,,
LPX,2004-10-19,2004-10-27,19.536425685191265,19.063581466674805,152.858643985129,1.5286,-73.80691249848545,-2.420321025636124,8,time_stop,3,4,99599.82632072436,,
TTC,2004-10-19,2004-10-27,6.161874083870105,6.4342732429504395,484.643388992941,4.8464,127.17001772559126,4.420719335914249,8,time_stop,2,5,99726.99633844994,,
MKC,2004-10-28,2004-11-01,11.019436592667105,11.431260108947754,271.50298157207067,2.715,109.09628273596955,3.737246571704917,4,profit_target,2,5,99836.09262118592,,
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,58.981394977311815,0.7,147.34320239473956,4.780949183872768,2,profit_target,3,4,99983.43582358066,,
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,585.4411223581194,5.8544,1191.3727286643857,11.586402948966374,2,profit_target,3,4,101174.80855224504,,
OII,2004-11-02,2004-11-04,7.701696926298419,8.143685340881348,1341.6569991230483,13.4166,579.5802799652548,5.738844553512653,2,profit_target,3,4,101754.3888322103,,
MUR,2004-10-28,2004-11-05,18.683239988124352,18.80318260192871,160.13335438902382,1.6013,17.60547953878891,0.6419797309278139,8,time_stop,3,4,101771.99431174909,,
XRAY,2004-11-02,2004-11-05,21.184847103564756,21.61577796936035,487.75596707299394,4.8776,205.31154151700315,2.0341466883803134,3,profit_target,3,4,101977.3058532661,,
SPGI,2004-11-03,2004-11-05,29.533214734617452,30.340553283691406,384.8663021299515,3.8487,306.8687389277535,2.73366294976222,2,profit_target,3,4,102284.17459219384,,
IRM,2004-11-03,2004-11-08,7.93956219301624,8.116811752319336,1431.6077975836024,14.3161,239.43577324073343,2.232485305789373,5,profit_target,3,4,102523.61036543458,,
FCN,2004-11-03,2004-11-09,18.790000915527344,19.5,604.914241144571,6.0491,423.4394149856713,3.7786005847713398,6,profit_target,3,4,102947.04978042025,,
HBAN,2004-11-04,2004-11-11,11.015929673787877,11.24785041809082,939.3928532753871,9.3939,208.4707611917396,2.1053215767598163,7,profit_target,3,4,103155.52054161199,,
TGT,2004-11-12,2004-11-15,30.655894898562774,31.589784622192383,302.8454031260505,3.0285,279.7957557966242,3.046362622000611,3,profit_target,3,4,103435.31629740862,,
NTAP,2004-11-11,2004-11-17,18.46255423961731,21.707263946533203,501.83925582497676,5.0184,1623.3043121284998,17.574543937985187,6,profit_target,3,4,105058.62060953712,,
VFC,2004-11-11,2004-11-19,7.149833633501167,7.069634914398193,1295.8671425338848,12.9587,-116.88555638418723,-1.1216865064831125,8,time_stop,3,4,104941.73505315292,,
VRTX,2004-11-18,2004-11-22,10.569999694824219,10.859999656677246,894.5388957284719,8.9454,250.4708566800213,2.7436137202069246,4,profit_target,3,4,105192.20590983295,,
HL,2004-11-16,2004-11-24,6.3502252101078405,6.229709625244141,1465.960364988171,14.6596,-191.33067442343403,-1.8978159179594394,8,time_stop,3,4,105000.87523540952,,
JBHT,2004-11-16,2004-11-24,16.09042188116439,16.03874969482422,578.5540326735742,5.7855,-35.68069211090141,-0.3211363053237149,8,time_stop,3,4,104965.19454329862,,
