date,equity
2004-01-31,98952.25
2004-02-29,98655.39325
2004-03-31,98359.42707024999
2004-04-30,97515.35502127175
2004-05-31,97222.80895435823
2004-06-30,96931.14052564545
2004-07-31,98414.45493649211
2004-08-31,98119.21157164802
2004-09-30,97824.85393689846
2004-10-31,96978.12222060973
2004-11-30,106801.93710770117
2004-12-31,120314.59221332212
2005-01-31,118047.14136461927
2005-02-28,126260.1466480027
2005-03-31,124755.00196056238
2005-04-30,121897.37564499075
2005-05-31,133899.02357844432
2005-06-30,145481.58343304272
2005-07-31,146628.08181720707
2005-08-31,152682.64247582722
2005-09-30,153055.9698518295
2005-10-31,147407.97646513456
2005-11-30,154754.22852678638
2005-12-31,165216.20087685264
2006-01-31,175914.73439165624
2006-02-28,187461.63782616623
2006-03-31,222923.6511613866
2006-04-30,233191.6254809408
2006-05-31,181137.1863046705
2006-06-30,163068.879556399
2006-07-31,167587.67994333516
2006-08-31,177672.13105812654
2006-09-30,193512.85992386326
2006-10-31,203327.37190441048
2006-11-30,226476.43793759498
2006-12-31,229553.42129855507
2007-01-31,235133.17913327736
2007-02-28,243162.15712360645
2007-03-31,234463.6192467636
2007-04-30,256527.4800989166
2007-05-31,282262.5960478723
2007-06-30,296882.18695329764
2007-07-31,289765.285113844
2007-08-31,284389.67995550303
2007-09-30,299535.34467499785
2007-10-31,306709.86924827367
2007-11-30,288632.73577049846
2007-12-31,296236.81534971314
2008-01-31,321159.828113388
2008-02-29,324998.27332975913
2008-03-31,326231.1697989342
2008-04-30,326611.7852755383
2008-05-31,332311.56142043654
2008-06-30,333900.66182929825
2008-07-31,354669.5713797198
2008-08-31,354759.20048620866
2008-09-30,361638.2269436239
2008-10-31,399536.5564996785
2008-11-30,406642.73589852586
2008-12-31,415915.748114749
2009-01-31,471749.61216601275
2009-02-28,478488.99066142144
2009-03-31,487159.7591038292
2009-04-30,495718.12873892736
2009-05-31,540517.8136500858
2009-06-30,512342.5721491314
2009-07-31,562432.1774809207
2009-08-31,572491.8233508078
2009-09-30,648246.983635731
2009-10-31,590196.7086043317
2009-11-30,593804.9253819415
2009-12-31,703182.9094215628
2010-01-31,677659.4312421458
2010-02-28,648685.2405799213
2010-03-31,701849.9699585945
2010-04-30,764903.7730435675
2010-05-31,732126.1015970684
2010-06-30,721050.5139869602
2010-07-31,728784.6545906604
2010-08-31,727657.0055064325
2010-09-30,755184.439233925
2010-10-31,772074.3332527791
