date,Baseline_V7.3,Idea_H_ConvexExit,Idea_I_TLT_Bear,Idea_J_QQQ/IWM,Idea_K_VIX_ScaleUp,Idea_L_DBC_Tilt,Idea_M_Tier1_Size,Ideas_H+I+K,Ideas_H+I+J+K,All_6_combined
2004-01-31,98952.25,98952.25,98952.25,98952.25,98952.25,98952.25,98952.25,98952.25,98952.25,98952.25
2004-02-29,98655.39325,98655.39325,98655.39325,98655.39325,98655.39325,98655.39325,98655.39325,98655.39325,98655.39325,98655.39325
2004-03-31,98359.42707024999,98359.42707024999,98296.79997025,98359.42707024999,98359.42707024999,98359.42707024999,98359.42707024999,98296.79997025,98296.79997025,98296.79997025
2004-04-30,97515.35502127175,97515.35502127175,97427.9091368995,97515.35502127175,97515.35502127175,97515.35502127175,97515.35502127175,97427.9091368995,97427.9091368995,97427.9091368995
2004-05-31,97222.80895435823,97222.80895435823,97135.6254076658,97222.80895435823,97222.80895435823,97222.80895435823,97222.80895435823,97135.6254076658,97135.6254076658,97135.6254076658
2004-06-30,96931.14052564545,96931.14052564545,96979.14092961975,96931.14052564545,96931.14052564545,96931.14052564545,96931.14052564545,96979.14092961975,96979.14092961975,96979.14092961975
2004-07-31,98414.44503244468,98414.44503244468,98579.74081951464,98414.44503244468,98414.44503244468,98414.44503244468,98414.44503244468,98579.74081951464,98579.74081951464,98579.74081951464
2004-08-31,98119.20169478662,98119.20169478662,98607.52341599287,98119.20169478662,98119.20169478662,98119.20169478662,98119.20169478662,98607.52341599287,98607.52341599287,98607.52341599287
2004-09-30,97824.84408714154,97824.84408714154,98388.53541807014,97824.84408714154,97824.84408714154,97824.84408714154,97824.84408714154,98388.53541807014,98388.53541807014,98388.53541807014
2004-10-31,96978.11252837411,96902.85670942864,97686.85017585238,96978.11252837411,96978.11252837411,96978.11252837411,96978.11252837411,97611.10630288669,97611.10630288669,97611.10630288669
2004-11-30,106816.93554513568,106800.00004729518,107597.58305196778,107374.04587251054,106816.93554513568,106816.93554513568,106816.93554513568,107580.59242307613,108141.72814215862,108141.72814215862
2004-12-31,120382.80542740264,118341.29480120543,121262.6126893297,121219.59795243072,120382.80542740264,120382.80542740264,120382.80542740264,119206.25810752924,120037.53658203255,120037.53658203255
2005-01-31,118086.72829917935,115769.39792630564,118949.43315973616,118432.21727954221,118086.72829917935,118086.72829917935,118086.72829917935,116615.24136394872,116959.20224937022,116959.20224937022
2005-02-28,126307.95867034848,124259.84115698129,127230.73681084985,126797.36537830641,126307.95867034848,126307.95867034848,126307.95867034848,125167.7296782832,125655.1928929617,125655.1928929617
2005-03-31,124765.95732421833,122689.4423066965,125677.48988064838,125011.60012871733,124765.95732421833,124765.95732421833,124765.95732421833,123585.8763377117,123834.1459818374,123834.1459818374
2005-04-30,121881.18968677045,119451.0239387304,122942.91586078635,122057.1221002816,121881.18968677045,121881.18968677045,121881.18968677045,120491.65022401951,120671.24857243,120671.24857243
2005-05-31,134094.28519340543,130870.7566549558,135262.43215172683,134777.42664338852,134094.28519340543,134094.28519340543,134094.28519340543,132010.89910934598,132691.2873702472,132691.2873702472
2005-06-30,145804.9124729131,141599.85352777038,147075.07593409688,146254.6599886324,145804.9124729131,145804.9124729131,145804.9124729131,142833.46846589656,143282.58029181484,143282.58029181484
2005-07-31,146957.51377850317,141944.46920158257,148235.75861610952,147970.71371793022,146957.51377850317,146957.51377850317,146957.51377850317,143179.15730670642,144174.94562604686,144174.94562604686
2005-08-31,153087.78108342475,148099.91452977125,154419.359708364,153952.28274516625,153087.78108342475,153087.78108342475,153087.78108342475,149388.1586854073,150241.1749567339,150241.1749567339
2005-09-30,153476.7651599374,147149.5397929688,154811.72768866806,154333.4698024426,153476.7651599374,153476.7651599374,153476.7651599374,148429.5164236415,149267.3842075588,149267.3842075588
2005-10-31,147705.91674692696,141579.5012241548,148990.6896361686,148827.11772697527,147705.91674692696,147705.91674692696,147705.91674692696,142811.03298187003,143904.07860417824,143904.07860417824
2005-11-30,155236.62082408948,148505.8804859347,156586.89691464778,156967.4033852064,155236.62082408948,155236.62082408948,155236.62082408948,149797.66191226724,151478.07008940875,151478.07008940875
2005-12-31,166021.61736268646,159922.44636041528,167465.70378535223,167674.01389527577,166021.61736268646,166021.61736268646,166021.61736268646,161313.5363340862,162930.1180058788,162930.1180058788
2006-01-31,177127.80854597778,170284.76254324586,178668.52393128735,179310.15141003343,177127.80854597778,177127.80854597778,177127.80854597778,171766.01504264743,173893.9554752238,173893.9554752238
2006-02-28,189120.04947660922,179514.24026617626,190765.08343826796,191485.72053528499,189120.04947660922,189120.04947660922,189120.04947660922,181075.78453783438,183352.419292867,183352.419292867
2006-03-31,225954.40523590698,214439.96794660142,227919.83789037063,229405.79394765088,225954.40523590698,225954.40523590698,225954.40523590698,216305.3251553973,219622.64561256068,219622.64561256068
2006-04-30,236704.8145059349,224414.8649901459,238763.7576608467,240348.87612632258,236704.8145059349,236704.8145059349,236704.8145059349,226366.99155949167,229866.81020376482,229866.81020376482
2006-05-31,181175.1976413229,171733.8468397759,182751.13850360908,183120.87566991133,181175.1976413229,181175.1976413229,181175.1976413229,173227.7273366472,175099.8259380621,175099.8259380621
2006-06-30,162275.57368120085,154350.27829054237,163564.52743340234,164610.55825462218,162275.57368120085,162275.57368120085,162275.57368120085,155576.33533806063,157825.60854847895,157825.60854847895
2006-07-31,167012.1832917134,158755.31685624103,168321.9524932374,169815.18048094938,166500.17689971445,167079.67886500928,167012.1832917134,159509.71947648097,162197.78933843816,162263.38077390625
2006-08-31,177683.8531181,168646.20593822462,179077.31313738468,180977.5924824053,177139.1310552356,177755.63254948973,177683.8531181,169447.60924980612,172601.29136816695,172671.0659668406
2006-09-30,194442.2447005767,183555.44653562727,195967.1292699183,198122.91294680806,193846.146569849,194520.79400541482,194442.2447005767,184427.69853620467,187936.89445072244,188012.86896707542
2006-10-31,204840.49059952988,194362.0050431748,206446.93234104078,209297.50997940198,204212.51059716556,204923.24076800956,204840.49059952988,195285.61622307837,199553.1282105768,199633.7991981125
2006-11-30,229386.1835370596,218071.55131356764,231185.12120616494,234832.05433133597,228682.95311964743,229478.84890445208,229465.97782871863,219107.8309127224,224333.9130799138,224520.18109275072
2006-12-31,232632.10528318054,220436.67932789054,234456.50440144062,237866.17744078,231918.92225739692,232726.082418414,232689.48045955278,221484.2014712618,226491.6282059056,226656.86231616786
2007-01-31,238565.72335101335,225486.30439569135,240436.66693699488,244184.58545943798,237834.34521195525,238662.09769425806,238624.5619428512,226557.8297320652,231919.1871459118,232088.38174527045
2007-02-28,247120.93745905,233947.9497579805,249058.98078566688,252852.6322751453,245621.1952973261,247220.76865316238,247181.88678625287,234352.3876330861,239816.6338694551,239991.5905484383
2007-03-31,237657.89452187356,222046.2828428275,239521.729609652,243200.78002987494,236139.54193401313,237753.90234819538,237716.50942958661,222351.6891991984,227558.85387012013,227724.8684369222
2007-04-30,261140.91653679512,243854.32163062296,263188.9250433149,267474.65759541,259478.90539809008,261246.4141773635,261205.32885426361,244195.85132574177,250141.3950610508,250323.89283400332
2007-05-31,288303.59633671655,271811.27075660764,290564.6280426492,295820.8857186506,285600.40837044263,288420.0665713029,288374.7079482495,271366.71716497105,278466.4213502796,278669.5834317321
2007-06-30,303866.14291648427,285852.5373334614,306249.2352588858,311865.76757602853,301017.0241248135,303988.90095277823,303941.0931050336,285385.01645973534,292930.04109588993,293143.7567226749
2007-07-31,296000.6039604409,274923.10382770427,298322.01528417686,303695.4250872213,293225.22820632317,296120.18400530575,296073.61420259654,274473.45693270286,281644.8638430582,281850.3470482309
