date,Baseline_V7.4,Idea_N_PDBC_Commod,Idea_O_HYG_Credit,Idea_P_WiderPut,Idea_Q_ZROZ_Panic,Idea_R_SPY_Call,Idea_S_DBMF_MgdFut,Idea_T_USMV_LateCyc,N+O+P+Q,P+Q+S,N+P+Q+S,All_7_combined
2004-01-31,98952.25,98952.25,98952.25,98952.25,98952.25,98952.25,99003.18420000002,98952.25,98952.25,99003.18420000002,99003.18420000002,99003.18420000002
2004-02-29,98655.39325,98655.39325,98655.39325,98655.39325,98655.39325,98655.39325,98746.55228926196,98655.39325,98655.39325,98746.55228926196,98746.55228926196,98746.55228926196
2004-03-31,98296.79647025,98296.79647025,98296.79647025,98296.79647025,98296.79647025,98296.79647025,98454.48899529729,98296.79647025,98296.79647025,98454.48899529729,98454.48899529729,98454.48899529729
2004-04-30,97427.91250225337,97427.91250225337,97427.91250225337,97427.91250225337,97427.91250225337,97427.91250225337,97433.7761800334,97427.91250225337,97427.91250225337,97433.7761800334,97433.7761800334,97433.7761800334
2004-05-31,97135.62876320345,97135.62876320345,97135.62876320345,97135.62876320345,97135.62876320345,97135.62876320345,97100.83197114355,97135.62876320345,97135.62876320345,97100.83197114355,97100.83197114355,97100.83197114355
2004-06-30,96979.14637537069,96979.14637537069,96979.14637537069,96979.14637537069,96979.14637537069,96979.14637537069,96939.9456967756,96979.14637537069,96979.14637537069,96939.9456967756,96939.9456967756,96939.9456967756
2004-07-31,98579.70351252405,98579.70351252405,98579.70351252405,98579.70351252405,98579.70351252405,98579.70351252405,98649.9290045604,98579.70351252405,98579.70351252405,98649.9290045604,98649.9290045604,98649.9290045604
2004-08-31,98607.4766294406,98607.4766294406,98607.4766294406,98607.4766294406,98607.4766294406,98607.4766294406,98793.30465268751,98607.4766294406,98607.4766294406,98793.30465268751,98793.30465268751,98793.30465268751
2004-09-30,98388.48635799764,98388.48635799764,98388.48635799764,98388.48635799764,98388.48635799764,98388.48635799764,98582.44421580165,98388.48635799764,98388.48635799764,98582.44421580165,98582.44421580165,98582.44421580165
2004-10-31,97686.80005542398,97686.80005542398,97686.80005542398,97686.80005542398,97686.80005542398,97491.42628214062,97904.95106742911,97686.80005542398,97686.80005542398,97904.95106742911,97904.95106742911,97709.14159171055
2004-11-30,108158.68613025769,108158.68613025769,108158.68613025769,108158.68613025769,108158.68613025769,107726.47169843088,108229.23545009978,108158.68613025769,108158.68613025769,108229.23545009978,108229.23545009978,107796.7386790171
2004-12-31,122105.49306270122,122105.49306270122,122105.49306270122,122105.49306270122,122105.49306270122,121377.826027773,122211.9808637419,122105.49306270122,122105.49306270122,122211.98086374189,122211.9808637419,121483.67938715976
2005-01-31,119297.43783190912,119297.43783190912,119297.43783190912,119297.43783190912,119297.43783190912,118351.82567167742,119588.43027054566,119297.43783190912,119297.43783190912,119588.43027054565,119588.43027054566,118640.51202772459
2005-02-28,127723.73191710479,127723.73191710479,127723.73191710479,127723.73191710479,127723.73191710479,126712.00716614092,127927.20249928978,127723.73191710479,127723.73191710479,127927.20249928976,127927.20249928978,126913.86684468236
2005-03-31,125924.9893312381,125924.98933123807,125924.98933123804,125924.9893312381,125924.98933123812,124682.77842765884,126159.89836458497,125924.9893312381,125924.98933123804,126159.89836458492,126159.89836458497,124915.37223179385
2005-04-30,123120.43402826913,123120.4340282691,123120.43402826907,123120.43402826913,123120.43402826914,121658.41512611634,123538.07483072436,123120.43402826913,123120.43402826907,123538.07483072432,123538.07483072436,122071.10094953363
2005-05-31,135825.2774425924,135825.2774425924,135825.27744259237,135825.2774425924,135825.27744259243,133946.05676675908,136327.91334054642,135825.2774425924,135825.27744259237,136327.91334054637,136327.91334054642,134441.7447499057
2005-06-30,147391.7672808191,147391.76728081907,147391.76728081907,147391.7672808191,147391.7672808191,145061.26451061628,148030.16485979536,147391.7672808191,147391.76728081904,148030.1648597953,148030.16485979536,145689.57524418193
2005-07-31,149120.48822371487,149120.48822371484,149120.48822371484,149120.48822371487,149120.48822371487,146477.27179635424,149499.9943744955,149120.48822371487,149120.4882237148,149499.99437449544,149499.9943744955,146850.05434964516
2005-08-31,155148.51951524217,155148.51951524214,155148.51951524214,155148.51951524217,155148.51951524217,152096.69664399308,155735.82353708852,155148.51951524217,155148.5195152421,155735.82353708846,155735.82353708852,152672.45039104208
2005-09-30,155532.63155899718,155532.63155899715,155532.63155899715,155532.63155899718,155532.63155899718,152170.99639592972,155932.24098991352,155532.63155899718,155532.63155899712,155932.24098991347,155932.24098991352,152561.9737472011
2005-10-31,149983.50207517747,149983.50207517744,149983.50207517744,149983.50207517747,149983.50207517747,146737.8230639512,150337.76701061268,149983.50207517747,149983.5020751774,150337.76701061262,150337.76701061268,147084.42811303522
2005-11-30,158186.99970191382,158186.9997019138,158186.9997019138,158186.99970191382,158186.99970191382,154461.297380216,158458.31249556888,158186.99970191382,158186.99970191377,158458.31249556883,158458.31249556888,154726.22734693676
2005-12-31,168976.9424358609,168976.94243586087,168976.94243586087,168976.9424358609,168976.9424358609,164664.74340055464,169433.0779937591,168976.9424358609,168976.94243586084,169433.07799375904,169433.0779937591,165109.2513328963
2006-01-31,180703.49931052653,180703.4993105265,180703.4993105265,180703.49931052653,180703.49931052653,175738.25963114272,181034.37213395015,180703.49931052653,180703.49931052647,181034.3721339501,181034.37213395015,176060.0524158868
2006-02-28,192973.60432805587,192973.60432805584,192973.60432805584,192973.60432805587,192973.60432805587,187295.8347168774,193368.29662715518,192973.60432805587,192973.6043280558,193368.29662715513,193368.29662715518,187678.92480253792
2006-03-31,231188.23909794944,231188.2390979494,231188.2390979494,231188.23909794944,231188.23909794944,223960.63129695767,231272.83210498272,231188.23909794944,231188.23909794938,231272.83210498266,231272.83210498275,224042.60066963325
2006-04-30,242216.34417186276,242216.34417186273,242216.34417186273,242216.34417186276,242216.34417186276,234183.9793638597,242045.67624020038,242216.34417186276,242216.3441718627,242045.67624020032,242045.6762402004,234018.99826318846
2006-05-31,184543.774162825,184543.77416282496,184543.77416282496,184543.774162825,184543.774162825,178423.88578334264,184593.7539978978,184543.774162825,184543.77416282494,184593.75399789767,184593.7539978978,178472.22942305577
2006-06-30,165765.38181802168,165765.38181802165,165765.38181802165,165765.38181802168,165765.38181802168,160268.2287284166,165856.1614245512,165765.38181802168,165765.38181802162,165856.16142455107,165856.1614245512,160356.009297713
2006-07-31,170465.36551426168,170465.36551426165,170465.36551426165,170465.36551426168,170465.36551426168,164811.9890668024,170642.609573019,170465.36551426168,170465.36551426162,170642.60957301888,170642.609573019,164983.35752404187
2006-08-31,181670.54151448596,181670.54151448593,181670.54151448593,181670.54151448596,181670.54151448596,175301.9680420644,181946.19391726973,181670.54151448596,181670.5415144859,181946.19391726961,181946.19391726973,175567.96124392617
2006-09-30,198881.48039417889,198881.48039417886,198881.48039417886,198881.48039417889,198881.48039417889,191522.49247431444,199189.89819568233,198881.48039417889,198881.48039417883,199189.8981956822,199189.89819568233,191819.5025002913
2006-10-31,210098.85634587583,210098.8563458758,210098.8563458758,210098.85634587583,210098.85634587583,201925.3059253827,210351.70387740384,210098.85634587583,210098.85634587577,210351.7038774037,210351.70387740384,202168.32464888654
2006-11-30,235731.16330555707,235731.16330555704,235731.16330555704,235731.16330555707,235731.16330555707,226117.62882864897,236090.5474622129,235731.16330555707,235731.163305557,236090.54746221277,236090.5474622129,226462.36666809383
2006-12-31,238776.79088807665,238776.79088807662,238776.7908880766,238776.79088807665,238776.79088807665,228567.18320506232,238878.94689095562,238776.79088807665,238776.79088807656,238878.94689095547,238878.9468909556,228664.9751484068
2007-01-31,245119.3201588708,245119.32015887077,245119.32015887075,245119.3201588708,245119.3201588708,234167.53724435766,245079.9163476653,245119.3201588708,245119.32015887072,245079.91634766516,245079.91634766528,234129.89674871668
2007-02-28,253055.84078440166,253055.84078440163,253055.8407844016,253055.84078440166,253055.84078440166,241265.20235905834,253365.16506840193,253055.84078440166,253055.84078440157,253365.16506840178,253365.1650684019,241560.1159536364
2007-03-31,243317.41990436,243317.41990435997,243317.41990435994,243317.41990436,243317.41990436,231527.4616703524,243480.67209839623,243317.41990436,243317.4199043599,243480.67209839608,243480.6720983962,231682.81321729397
2007-04-30,267609.4487700395,267609.4487700394,267609.44877003937,267609.4487700395,267609.4487700395,254145.77693291922,267636.32770739606,267609.4487700395,267609.44877003937,267636.3277073959,267636.327707396,254171.3233260716
2007-05-31,295392.65406310046,295392.65406310046,295433.71891551686,295392.65406310046,295392.6540631005,279973.84722371394,295029.34690184396,295392.65406310046,295433.7189155168,295029.34690184373,295029.34690184385,279668.4022508532
