date,equity
2004-01-31,98952.25
2004-02-29,98655.39325
2004-03-31,98296.79287024999
2004-04-30,97427.90963190158
2004-05-31,97135.62590125183
2004-06-30,96979.13642179403
2004-07-31,98579.71848523665
2004-08-31,98607.4945513197
2004-09-30,98388.5050151912
2004-10-31,97686.82070751034
2004-11-30,108158.7139490787
2004-12-31,122105.47627238724
2005-01-31,119297.40019851917
2005-02-28,127723.70931280768
2005-03-31,125924.96485528912
2005-04-30,123120.42170174037
2005-05-31,135951.59831264257
2005-06-30,147528.81495694077
2005-07-31,149257.91230700442
2005-08-31,155291.50071998735
2005-09-30,155676.01841074403
2005-10-31,150121.80268689696
2005-11-30,158332.839560878
2005-12-31,169132.7681945219
2006-01-31,180870.12905632355
2006-02-28,193151.63102324374
2006-03-31,231401.4441811002
2006-04-30,242439.64226836167
2006-05-31,184713.87314815656
2006-06-30,165918.1987240595
2006-07-31,170622.55366089402
2006-08-31,181838.0772584345
2006-09-30,199064.91100372284
2006-10-31,210292.6324346429
2006-11-30,235948.54825505553
2006-12-31,238996.94454963302
2007-01-31,245345.354761272
2007-02-28,253289.22240980822
2007-03-31,243541.81219500507
2007-04-30,267856.258624009
2007-05-31,295386.0274780389
2007-06-30,311187.0532016688
2007-07-31,303034.4642883982
2007-08-31,303367.8333354935
2007-09-30,321201.8530276676
2007-10-31,333719.52477444673
2007-11-30,313674.8550652801
2007-12-31,324737.28668808355
2008-01-31,354258.7608566192
2008-02-29,358486.8571466809
2008-03-31,364195.5510495147
2008-04-30,369649.7330493725
2008-05-31,376565.15026981966
2008-06-30,379070.33568348683
2008-07-31,405129.674060985
2008-08-31,406262.4105702593
2008-09-30,413990.9258775892
2008-10-31,469679.9638030827
2008-11-30,493245.7169098205
2008-12-31,520758.05797299
2009-01-31,609241.3215439114
2009-02-28,618469.4554867257
2009-03-31,644373.05457598
2009-04-30,658174.1387644351
2009-05-31,720197.4412997847
2009-06-30,682278.1891637077
2009-07-31,760373.0958845996
2009-08-31,774936.0022919377
2009-09-30,890644.5737745466
2009-10-31,803082.2084418104
2009-11-30,813529.6156702437
2009-12-31,975483.931623815
2010-01-31,934034.7363663779
2010-02-28,892933.255092644
2010-03-31,977274.648364722
2010-04-30,1079425.0209602413
2010-05-31,1033528.5822271841
2010-06-30,1053732.4492086843
2010-07-31,1063649.2340138857
2010-08-31,1077946.1981740855
2010-09-30,1114904.5838160906
2010-10-31,1145362.2888253261
